ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,dividend_yield,payout_ratio,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,earnings_surprise_pct,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,volatility,bb_position,sentiment_raw,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_sentiment,score_total,company_type,rank,data_quality,sector_signal,sector_adjustment,piotroski_f,piotroski_label,piotroski_boost,insider_signal,earnings_signal,analyst_signal,extra_composite,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_sector_pct,score_global_pct,score_total_sector,sector_rank,sector_return_3m,relative_strength,rs_label,prev_score,prev_rank,prev_price,prev_rsi,prev_ma200,prev_trend_capped,prev_short,score_delta,rank_delta,is_new,short_delta,price_change_1w,delta_flag
HOFI.ST,Hoist Finance AB (publ),Financial Services,Credit Services,Sweden,SEK,13838998796.59262,12.347895,13.26907,,2.0275638,3.018979,5.141,,0.17713,0.01988,0.26527,0.34318,0.70637,0.158,0.537,0.296,133.297,0.828,0.815,,97000000.0,9824000000.0,2.06,0.1559,1.076,165.50311827761539,78.03115919140014,158.3000030517578,167.0,1.66667,2.0,,,0.53397,0.2449,,160528.0,209416.0,0.5454132520449453,-0.027099898680749135,0.0882306786810676,0.7037100840839845,,-0.043522534806716084,62.13514409566577,0.07166716201284196,0.3823369597608215,True,0.421121177740056,0.6590337158125822,0.5,60.57495406176738,67.08691985292778,84.73053892215569,73.09114383945004,24.03802204055069,65.08875739644971,69.07164480322906,62.525227043390515,71.93988130316929,standard,15,0.875,NEUTRAL,0,5,NEUTRAL,0,0.5,1.0,0.833,0.8,UPPTREND,False,6,0.8571428571428571,HÖG,OK,63.1578947368421,91.13924050632912,77.14856762158561,34,-0.012382164864004008,0.101,🟢 STARK,71.93988130316929,16,158.3000030517578,62.13514409566577,0.3823369597608215,False,,0.0,1,False,,0.0,
MTG-B.ST,Modern Times Group MTG AB,Communication Services,Electronic Gaming & Multimedia,Sweden,SEK,16542849215.723114,1735.0001,14.781682,0.52,1.5140111,1.3625132,1.616,9.728,0.00093999994,0.0307,0.00090000004,0.11776,0.66185,0.235,1.105,1.123,38.502,0.851,0.851,1209374976.0,1380999936.0,4380000256.0,,0.0,0.802,139.1999969482422,82.9000015258789,138.8000030517578,161.25,1.0,4.0,,,0.14987999,0.56157,,336406.0,233881.0,0.9194355682670579,0.4742432374109522,0.46723049990035825,0.1104000244140626,,-0.002873519434293592,91.03774535524553,0.38245637118748776,0.30934134473722263,True,0.33165074020862456,0.9057484286215208,0.5,72.10231382754382,35.88309237451334,87.02594810379242,86.84542608038437,44.781176482629455,59.76331360946746,14.076690211907165,62.525227043390515,79.51026469114925,standard,2,0.875,UPPTREND,5,8,STARK,8,0.5,0.227,1.0,0.541,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,75.0,99.36708860759494,87.18354430379748,16,0.02695555257166693,0.44,🟢 STARK,79.51026469114925,2,138.8000030517578,91.03774535524552,0.3093413447372226,False,,0.0,0,False,,0.0,
INVE-A.ST,Investor AB (publ),Financial Services,Asset Management,Sweden,SEK,450954328318.4795,5.814178,,4.91,1.1617823,4.3317423,4.701,5.973,0.21205,0.119049996,0.7452,0.69545,0.86774004,3.573,,,12.396,3.514,2.737,126124376064.0,28041000960.0,122116997120.0,1.55,0.0836,0.783,379.8385128444261,267.6073830755457,361.70001220703125,380.0,,1.0,,,0.49436,0.28337,,404380.0,384410.0,0.45226500763582916,-0.01225618165667175,0.01179518520418732,0.16846952414697247,,-0.04775318990579547,37.420493474061665,0.01567756849111457,0.12131344531291366,False,0.1768585876103754,0.28442345682128944,0.5,79.00598604164256,90.82720257365668,68.86227544910179,99.0343347639485,82.28615588264563,22.485207100591715,69.07164480322906,62.525227043390515,73.93129485058087,holding,9,0.875,NEUTRAL,0,8,STARK,8,0.5,0.5,0.5,0.5,UPPTREND,False,7,1.0,HÖG,OK,94.73684210526315,94.9367088607595,94.83677548301132,4,-0.012382164864004008,0.024,⚪ NORMAL,73.93129485058087,10,361.7000122070313,37.42049347406167,0.1213134453129136,False,,0.0,1,False,,-1.1102230246251565e-16,
MYCR.ST,Mycronic AB (publ),Industrials,Specialty Industrial Machinery,Sweden,SEK,58815369154.068726,35.602837,18.399511,0.42,8.273362,7.0870433,6.807,23.163,0.22172001,0.12514,0.19941999,0.37435,0.53126997,0.169,0.152,0.153,5.097,2.349,1.592,1486125056.0,2721999872.0,401000000.0,1.08,0.3247,0.723,303.6000061035156,172.10615932907666,301.20001220703125,260.25,,4.0,,,0.002,0.82117,,283795.0,229337.0,0.602468614353024,0.25211508111701453,0.5983328287457972,0.4117495774644664,,-0.00790511807719163,68.47963909871004,0.2456851522971939,0.3866918135066171,False,0.35749542179824756,0.8070114538437351,0.5,25.679053122333237,77.60592575446313,95.20958083832336,61.6837374317737,66.40707631547929,44.37869822485207,69.07164480322906,62.525227043390515,77.98710490549593,standard,4,0.875,UPPTREND,5,7,STARK,8,0.5,0.267,0.5,0.407,UPPTREND,False,6,0.8571428571428571,HÖG,VÄNTA,97.67441860465115,98.10126582278481,97.88784221371799,1,-0.00045499464118392563,0.599,🟢 STARK,77.98710490549593,4,301.20001220703125,68.47963909871004,0.3866918135066171,False,,0.0,0,False,,0.0,
INSTAL.ST,Instalco AB (publ),Industrials,Engineering & Construction,Sweden,SEK,10276043916.269318,27.539568,15.883817,0.3793,3.183368,0.7477294,1.006,14.534,0.11755,0.04571,0.0278,0.05032,0.53051996,0.044,0.687,0.776,96.04,0.983,0.838,1008000000.0,102000000.0,3444000000.0,1.31,0.4892,1.172,39.900001525878906,21.36397926357217,38.279998779296875,43.625,1.6,4.0,,,0.2001,0.58533,,553360.0,369879.0,0.510955848910708,0.11038299351786995,0.45550200919131867,0.6527951164263659,,-0.04060157104333206,53.966799813875916,0.12415593744439501,0.3750705906407654,False,0.47916893813938977,0.6484247697698049,0.5,59.74402732993626,40.95652710666165,92.31536926147704,68.44171417888587,25.52074472278574,72.18934911242604,69.07164480322906,62.525227043390515,78.79710519666067,standard,3,0.875,UPPTREND,5,7,STARK,8,0.5,0.333,0.85,0.538,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,93.02325581395348,98.73417721518987,95.87871651457168,2,-0.00045499464118392563,0.456,🟢 STARK,78.79710519666067,3,38.27999877929688,53.96679981387592,0.3750705906407654,False,,0.0,0,False,,-2.220446049250313e-16,
CAST.ST,Castellum AB (publ),Real Estate,Real Estate - Development,Sweden,SEK,57178897032.44229,26.93654,13.483023,0.92,0.8621776,5.786166,12.036,18.15,0.02851,0.02605,0.22617,0.65592,0.69065005,0.0,653.833,648.5,77.867,0.326,0.171,2778625024.0,104000000.0,60651999232.0,2.01,0.407,1.46,127.5999984741211,100.25,123.0999984741211,127.75,2.45455,12.0,,,0.30322,0.49148998,,1997060.0,1543111.0,0.5648156921772672,0.03969591965938357,0.10701440514803018,0.17263723411925036,,-0.035266458101977594,45.36081541735947,0.06223248689859462,0.12126372786969353,False,0.2467552590749086,0.6020759614756339,0.5,54.961743352436315,60.87181762358985,78.2435129740519,74.37272945006366,33.92945995761598,45.562130177514796,69.07164480322906,62.525227043390515,70.55491267888462,standard,21,0.875,UPPTREND,5,6,NEUTRAL,0,0.5,0.531,0.636,0.553,UPPTREND,False,5,0.7142857142857143,HÖG,OK,93.33333333333333,87.34177215189874,90.33755274261603,9,0.006034066781841929,0.101,🟢 STARK,70.55491267888462,21,123.0999984741211,45.36081541735947,0.1212637278696935,False,,0.0,0,False,,0.0,
PRU.L,Prudential plc,Financial Services,Insurance - Life,Hong Kong,GBp,36531364347484.336,10.238937,11.829177,5.2226,1.9678901,2.0110207,2.262,5.04,0.20577998,0.01894,0.27573,0.45484,0.41388,0.188,0.308,0.244,28.254,2.392,1.012,2782500096.0,3851000064.0,6034999808.0,1.71,0.1538,0.907,15152.425788331884,10484.114977013067,14568.226798057556,1411.87,1.5,14.0,,,0.00271,0.63523,,6947479.0,6959692.0,0.028607600693209778,0.04405758848488328,0.03552130872481518,0.06723413811082968,0.29003727635591714,-0.038554816135393355,60.41445978528804,0.062057809866939095,0.08043434230906676,True,0.22745009278072983,0.8567612695647409,0.5,75.38144175355424,63.81638820035856,64.6416843731891,69.7461097250554,70.36839364904534,12.42603550295858,69.07164480322906,62.525227043390515,71.44582459612246,standard,17,1.0,NEUTRAL,0,7,STARK,8,0.5,0.5,0.028,0.358,UPPTREND,False,7,1.0,HÖG,OK,73.68421052631578,89.87341772151899,81.77881412391739,24,-0.012382164864004008,0.048,⚪ NORMAL,71.44582459612246,18,14568.226798057556,60.41445978528804,0.0804343423090667,False,,0.0,1,False,,0.0,
INDU-C.ST,AB Industrivärden (publ),Financial Services,Asset Management,Sweden,SEK,105962948002.91656,5.1627855,,5.47,1.0166692,5.1263766,5.286,5.301,0.21636999,0.1302,0.99083,0.99728996,1.0,0.593,0.602,0.602,3.576,1.82,0.125,24360249344.0,337000000.0,7276000256.0,1.83,0.0889,0.932,504.20001220703125,328.9330467320045,478.8999938964844,475.0,3.0,1.0,,,0.2718,0.31315002,,572079.0,470307.0,0.7077023687495136,-0.0071525078539976805,-0.002480736091976743,0.22725246485234352,,-0.05017853569618391,41.76470588235294,0.009853843497642512,0.15070055908808455,False,0.1929413995914299,0.29990716047778004,0.5,79.46278650218856,92.71042740318515,69.06187624750498,83.99586582637842,75.22896162207826,34.9112426035503,69.07164480322906,62.525227043390515,72.31173402870368,holding,14,0.875,NEUTRAL,0,9,STARK,8,0.5,0.5,0.5,0.5,UPPTREND,False,7,1.0,HÖG,STARK,84.21052631578947,91.77215189873418,87.99133910726182,13,-0.012382164864004008,0.01,⚪ NORMAL,72.31173402870368,15,478.8999938964844,41.76470588235294,0.1507005590880845,False,,0.0,1,False,,0.0,
LOOMIS.ST,Loomis AB (publ),Industrials,Security & Protection Services,Sweden,SEK,30355931647.66098,17.760376,13.43602,1.58,2.340654,1.0034024,1.191,6.589,0.13317001,0.061669998,0.05718,0.121750005,0.29204,-0.023,0.417,0.387,104.264,1.166,0.983,3010625024.0,7856000000.0,13521999872.0,3.31,0.5484,0.483,467.3999938964844,336.4557089595699,453.6000061035156,507.5,2.5,4.0,,,0.00217,0.71454,,135315.0,131999.0,0.562256634596588,0.05893407016327479,0.11252580238706034,0.31603661989688847,,-0.029525006361093453,70.24693129030145,0.08400458766734542,0.1711335787191839,True,0.2531104855433546,0.811976814987851,0.5,74.2151960169734,43.62841267238709,83.23353293413174,55.10708155220531,54.319593646373164,49.70414201183432,69.07164480322906,62.525227043390515,68.37678064910956,standard,26,0.875,UPPTREND,5,4,NEUTRAL,0,0.5,0.277,0.625,0.448,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,95.34883720930233,84.17721518987342,89.76302619958787,12,-0.00045499464118392563,0.113,🟢 STARK,68.37678064910956,25,453.6000061035156,70.24693129030145,0.1711335787191839,False,,0.0,-1,False,,0.0,
RIO.L,Rio Tinto Group,Basic Materials,Other Industrial Metals & Mining,United Kingdom,GBp,130505752399918.8,18.400892,13.381565,5.63,2.9186027,2.3311167,2.664,7.57,0.16399999,0.07861,0.17291,0.25318,0.28124002,0.146,-0.056,-0.053,35.432,1.445,0.917,3495749888.0,9420000256.0,23747999744.0,3.63,0.6054,0.63,104130.71358680725,53398.09719333658,104029.98254585266,7229.599,2.5,20.0,,,0.17701,0.58517,,2915777.0,2047897.0,0.06143225882539454,0.14688102854235718,0.1800995994225929,0.5597715632201037,0.718501484977377,-0.0009673518742442377,82.37008112036807,0.169297029880497,0.40305499434781544,True,0.24687478112023384,1.0457532256219289,0.5,65.29171222204293,60.95750273000931,92.64052540081128,42.27115227432392,66.71650172388975,2.9585798816568047,69.07164480322906,62.525227043390515,62.590763828252804,standard,46,1.0,NEUTRAL,0,5,NEUTRAL,0,0.15,0.5,0.545,0.408,UPPTREND,False,6,0.8571428571428571,HÖG,VÄNTA,83.33333333333334,71.51898734177216,77.42616033755274,31,-0.015184431616981575,0.195,🟢 STARK,67.5907638282528,28,104029.98254585266,82.37008112036807,0.4030549943478154,False,,-5.0,-18,False,,0.0,⬇ -18
