ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,dividend_yield,payout_ratio,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,earnings_surprise_pct,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,volatility,bb_position,sentiment_raw,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_sentiment,score_total,company_type,rank,data_quality,sector_signal,sector_adjustment,piotroski_f,piotroski_label,piotroski_boost,insider_signal,earnings_signal,analyst_signal,extra_composite,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_sector_pct,score_global_pct,score_total_sector,sector_rank,sector_return_3m,relative_strength,rs_label,prev_score,prev_rank,prev_price,prev_rsi,prev_ma200,prev_trend_capped,prev_short,score_delta,rank_delta,is_new,short_delta,price_change_1w,delta_flag,predicted_return,ml_rank,score_fcf_yield
MYCR.ST,Mycronic AB (publ),Industrials,Specialty Industrial Machinery,Sweden,SEK,58815369154.068726,35.602837,18.399511,0.42,8.273362,7.0870433,6.807,23.163,0.22172001,0.12514,0.19941999,0.37435,0.53126997,0.169,0.152,0.153,5.097,2.349,1.592,1486125056.0,2721999872.0,401000000.0,1.08,0.3247,0.723,303.6000061035156,172.10615932907666,303.3999938964844,260.25,,4.0,,,0.002,0.82117,,283795.0,249233.0,1.72,21.72,60.41,,,0.0,68.6,24.43,,False,0.3848,0.8070114538437351,0.5,43.42723004694836,79.59203418527775,99.0506329113924,69.27298768231502,69.88262784439061,45.56962025316456,63.29113924050633,62.65822784810126,68.71345635191902,standard,1,0.875,UPPTREND,5,7,STARK,8,0.5,0.267,0.5,0.407,UPPTREND,False,6,0.8571428571428571,HÖG,VÄNTA,97.67441860465117,98.1012658227848,97.887842213718,1,-0.0004549946411839,0.599,🟢 STARK,77.98710490549593,4,301.20001220703125,68.47963909871004,0.3866918135066171,False,,0.0,0,False,,0.0,,1.3412967,50.3,52.38095238095239
INVE-A.ST,Investor AB (publ),Financial Services,Asset Management,Sweden,SEK,450954328318.4795,5.814178,,4.91,1.1617823,4.3317423,4.701,5.973,0.21205,0.119049996,0.7452,0.69545,0.86774004,3.573,,,12.396,3.514,2.737,126124376064.0,28041000960.0,122116997120.0,1.55,0.0836,0.783,379.8385128444261,267.6073830755457,362.0,380.0,,1.0,,,0.49436,0.28337,,404380.0,382609.0,0.96,-1.86,2.83,,,-4.45,39.2,1.64,,False,0.1966,0.2844234568212894,0.5,96.88128772635815,92.11803595904217,60.91772151898735,99.0506329113924,86.42718272161176,22.151898734177212,63.29113924050633,62.65822784810126,68.04532459489229,holding,2,0.875,NEUTRAL,0,8,STARK,8,0.5,0.5,0.5,0.5,UPPTREND,False,7,1.0,HÖG,OK,94.73684210526316,94.9367088607595,94.83677548301132,4,-0.012382164864004,0.024,⚪ NORMAL,73.93129485058087,10,361.7000122070313,37.42049347406167,0.1213134453129136,False,,0.0,1,False,,-1.1102230246251563e-16,,1.3412967,50.3,97.95918367346938
CLAS-B.ST,Clas Ohlson AB (publ),Consumer Cyclical,Specialty Retail,Sweden,SEK,23526224337.0,23.458212,31.896551,3.14,8.644492,2.1125193,2.098,16.159,0.41338003,0.12434,0.09064999,0.16165,0.40995,0.057,0.204,0.206,62.599,1.434,0.684,1701762560.0,2056999936.0,1873400064.0,1.72,0.4032,0.948,445.0,253.74374511423105,415.0,390.0,3.0,3.0,,,0.36146,0.33835,,85039.0,65285.0,1.01,3.39,20.57,,,-0.72,59.4,6.67,,False,0.3925,0.5296577177738323,0.5,71.40509725016767,68.15447875513988,82.59493670886076,67.17639082693778,43.89662013940358,56.32911392405063,63.29113924050633,62.65822784810126,67.7744782416432,standard,3,0.875,UPPTREND,5,7,STARK,8,0.5,0.753,0.5,0.601,UPPTREND,False,4,0.5714285714285714,MEDEL,STARK,86.95652173913044,94.30379746835445,90.63015960374244,7,0.0247189178438278,0.186,🟢 STARK,73.61871523866436,11,407.0,48.47561060708547,0.1632657099148491,False,,0.0,1,False,,0.0,,1.3412967,50.3,82.99319727891157
INVE-B.ST,Investor AB (publ),Financial Services,Asset Management,Sweden,SEK,664103396118.0,5.8752613,23.206348,5.08,1.1739879,4.3772783,4.746,6.03,0.21205,0.119049996,0.7452,0.69545,0.86774004,3.573,,,12.396,3.514,2.737,126124376064.0,28041000960.0,122116997120.0,1.53,0.0836,0.783,382.9175915228024,267.7573998140343,364.5,375.6,2.66667,5.0,,,0.00254,0.45060003,,3456933.0,2950427.0,1.21,-1.99,2.06,,,-4.45,38.2,1.32,,False,0.2006,0.2508597215562382,0.5,95.24144869215291,92.11803595904217,59.651898734177216,99.0506329113924,86.1107270254092,18.9873417721519,63.29113924050633,62.65822784810126,67.3863012777744,holding,4,0.875,NEUTRAL,0,7,STARK,8,0.5,0.5,0.583,0.525,UPPTREND,False,7,1.0,HÖG,OK,89.47368421052632,90.50632911392404,89.99000666222518,11,-0.012382164864004,0.026,⚪ NORMAL,71.68423254609817,17,365.5,37.19031926896945,0.1266740726676782,False,,0.0,1,False,,0.0,,1.3412967,50.3,95.91836734693877
INDU-A.ST,AB Industrivärden (publ),Financial Services,Asset Management,Sweden,SEK,102158412470.0,5.22742,17.909897,4.62,1.0296191,5.179671,5.351,5.367,0.21636999,0.1302,0.99083,0.99728996,1.0,0.593,0.602,0.602,3.576,1.82,0.125,24360249344.0,337000000.0,7276000256.0,1.8,0.0889,0.932,509.0,329.0638928186325,482.0,512.0,,3.0,,,0.50771,0.18264,,217208.0,153042.0,0.82,-2.63,1.17,,,-4.84,44.3,0.92,,False,0.2302,0.3228794347482842,0.5,96.61636485580146,95.16407320809483,57.91139240506329,91.46881696651052,75.67195930864249,36.075949367088604,63.29113924050633,62.65822784810126,66.93306626167,holding,5,0.875,NEUTRAL,0,9,STARK,8,0.5,0.5,0.5,0.5,UPPTREND,False,7,1.0,HÖG,OK,78.94736842105263,88.60759493670885,83.77748167888075,20,-0.012382164864004,0.025,⚪ NORMAL,70.81662075846864,19,485.0,43.3649187993425,0.1626168168058477,False,,0.0,0,False,,0.0,,1.3412967,50.3,97.27891156462584
LOOMIS.ST,Loomis AB (publ),Industrials,Security & Protection Services,Sweden,SEK,30355931647.66098,17.760376,13.43602,1.58,2.340654,1.0034024,1.191,6.589,0.13317001,0.061669998,0.05718,0.121750005,0.29204,-0.023,0.417,0.387,104.264,1.166,0.983,3010625024.0,7856000000.0,13521999872.0,3.31,0.5484,0.483,467.3999938964844,336.4557089595699,457.3999938964844,507.5,2.5,4.0,,,0.00217,0.71454,,135315.0,130541.0,0.9,3.73,12.93,,,-1.97,70.9,9.17,,True,0.2934,0.811976814987851,0.5,88.89336016096578,43.69184874627106,77.21518987341773,66.70957195421775,51.98628730635815,51.26582278481012,63.29113924050633,62.65822784810126,66.66448728465294,standard,6,0.875,UPPTREND,5,4,NEUTRAL,0,0.5,0.277,0.625,0.448,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,95.34883720930232,84.17721518987342,89.76302619958787,12,-0.0004549946411839,0.113,🟢 STARK,68.37678064910956,25,453.6000061035156,70.24693129030145,0.1711335787191839,False,,0.0,-1,False,,0.0,,1.3412967,50.3,87.75510204081633
TELIA.ST,Telia Company AB (publ),Communication Services,Telecom Services,Sweden,SEK,194088916756.92905,41.83051,25.31282,2.5747,3.8004313,2.398647,3.427,10.535,0.09139,0.03244,0.05783,0.15554,0.50043,-0.003,2.263,2.263,153.159,0.739,0.572,21657374720.0,10220000256.0,89617997824.0,4.21,1.6949,0.235,49.52000045776367,31.40352059246304,49.369998931884766,44.84632,3.05,19.0,,,0.42,0.30295,,6944181.0,6432162.0,1.04,4.38,12.35,,,-0.04,62.5,4.49,,True,0.1771,0.8808498404631333,0.5,81.86787391012743,44.906071111827785,90.82278481012659,78.61829400478422,54.300597940877495,30.37974683544304,21.518987341772153,62.65822784810126,66.41031785515162,standard,7,0.875,UPPTREND,5,5,NEUTRAL,0,0.5,0.802,0.488,0.617,UPPTREND,False,3,0.4285714285714285,LÅG,OK,62.5,81.0126582278481,71.75632911392405,40,0.0269555525716669,0.13,🟢 STARK,67.06991340203574,30,49.36000061035156,67.23716130572699,0.2502038748498947,False,,0.0,-1,False,,0.0,,1.3412967,50.3,87.07482993197279
INDU-C.ST,AB Industrivärden (publ),Financial Services,Asset Management,Sweden,SEK,105962948002.91656,5.1627855,,5.47,1.0166692,5.1263766,5.286,5.301,0.21636999,0.1302,0.99083,0.99728996,1.0,0.593,0.602,0.602,3.576,1.82,0.125,24360249344.0,337000000.0,7276000256.0,1.83,0.0889,0.932,504.2000122070313,328.9330467320045,473.8999938964844,475.0,3.0,1.0,,,0.2718,0.31315002,,572079.0,471392.0,1.02,-3.82,-0.56,,,-5.73,41.7,-0.0,,False,0.2284,0.29990716047778,0.5,96.35144198524479,95.16407320809483,43.98734177215189,91.46881696651052,75.83018715674375,35.44303797468354,63.29113924050633,62.65822784810126,64.738351634243,holding,8,0.875,NEUTRAL,0,9,STARK,8,0.5,0.5,0.5,0.5,UPPTREND,False,7,1.0,HÖG,STARK,84.21052631578947,91.77215189873418,87.99133910726182,13,-0.012382164864004,0.01,⚪ NORMAL,72.31173402870368,15,478.8999938964844,41.76470588235294,0.1507005590880845,False,,0.0,1,False,,0.0,,1.3412967,50.3,96.5986394557823
MTG-B.ST,Modern Times Group MTG AB,Communication Services,Electronic Gaming & Multimedia,Sweden,SEK,16542849215.723114,1735.0001,14.781682,0.52,1.5140111,1.3625132,1.616,9.728,0.00093999994,0.0307,0.00090000004,0.11776,0.66185,0.235,1.105,1.123,38.502,0.851,0.851,1209374976.0,1380999936.0,4380000256.0,,0.0,0.802,139.1999969482422,82.9000015258789,136.6999969482422,161.25,1.0,4.0,,,0.14987999,0.56157,,336406.0,233217.0,0.97,37.39,55.52,,,-1.51,90.6,34.83,,True,0.3538,0.9057484286215208,0.5,78.7424547283702,34.364266709667014,83.54430379746836,92.0779915860992,47.53541522431093,61.39240506329114,8.544303797468354,62.65822784810126,64.55786723575477,standard,9,0.875,UPPTREND,5,8,STARK,8,0.5,0.227,1.0,0.541,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,75.0,99.36708860759494,87.18354430379748,16,0.0269555525716669,0.44,🟢 STARK,79.51026469114925,2,138.8000030517578,91.03774535524552,0.3093413447372226,False,,0.0,0,False,,0.0,,1.3412967,50.3,79.59183673469387
INSTAL.ST,Instalco AB (publ),Industrials,Engineering & Construction,Sweden,SEK,10276043916.269318,27.539568,15.883817,0.3793,3.183368,0.7477294,1.006,14.534,0.11755,0.04571,0.0278,0.05032,0.53051996,0.044,0.687,0.776,96.04,0.983,0.838,1008000000.0,102000000.0,3444000000.0,1.31,0.4892,1.172,39.900001525878906,21.36397926357217,38.400001525878906,43.625,1.6,4.0,,,0.2001,0.58533,,553360.0,365756.0,0.9,9.32,22.47,,,-3.47,58.7,12.44,,False,0.5495,0.6484247697698049,0.5,74.20523138832998,42.34902846085624,78.16455696202532,81.74952344762285,24.44560473724144,72.78481012658227,63.29113924050633,62.65822784810126,63.91475900925852,standard,10,0.875,UPPTREND,5,7,STARK,8,0.5,0.333,0.85,0.538,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,93.02325581395348,98.73417721518987,95.87871651457168,2,-0.0004549946411839,0.456,🟢 STARK,78.79710519666067,3,38.27999877929688,53.96679981387592,0.3750705906407654,False,,0.0,0,False,,-2.220446049250313e-16,,1.3412967,50.3,83.6734693877551
