ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_surprise_pct,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,insider_recent_date,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_total,company_type,rank,data_quality,piotroski_f,piotroski_label,piotroski_boost,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,predicted_return,ml_rank,exchange_group,est_daily_turnover_usd,low_liquidity
CLAS-B.ST,Clas Ohlson AB (publ),Consumer Cyclical,Specialty Retail,Sweden,SEK,24081143003.40756,3.313853999999999,17.626290499999996,3.14,6.221959499999999,2.1623478,2.139,1.016,0.27936003,0.07604000200000001,0.014029988000000007,0.028834999999999972,-0.016400000000000026,0.057,0.204,0.206,13.192499999999995,-0.1180000000000001,0.684,626137600.0,2056999936.0,1873400064.0,26195456000.0,1.69,0.4032,7.0,5.03,3.5,1768176000.0,0.948,445.0,253.74374511423105,421.6000061035156,390.0,3.0,3.0,,,0.36146,0.33835998,False,False,,83998.0,60055.0,0.32,2.58,17.5,,,0.0,0.3922,62.0,7.68,,False,0.8405421635728513,,80.75198344256641,69.44985710419931,90.37418655097613,52.10239505364561,49.406036064029536,66.84723726977249,67.80155642023347,76.92307692307693,50.0,69.48605850253307,standard,1,0.875,8,STARK,8,UPPTREND,False,4,0.5714285714285714,MEDEL,STARK,0.013850197196006775,46.5,Nordic,2405323,False
2303.TW,United Microelectronics Corporation,Technology,Semiconductors,Taiwan,TWD,1394185959570.0,9.9653995,9.059827499999999,1.0866,1.66651985,5.7914405,5.558,0.43900000000000006,0.013680000000000012,0.016739999999999998,0.07567500500000002,0.012010010000000015,-0.06182499999999996,0.055,1.081,1.079,-6.538,1.192,2.178,26436545024.0,134263775232.0,76035743744.0,1338076561408.0,2.59,0.72339994,2.85,5.74,2.850164,1750723200.0,1.187,118.0,40.09999847412109,113.0,75.37273,2.86957,22.0,,,0.07643,0.3884,False,False,,160459766.0,297653804.0,0.92,46.94,83.74,,,0.0,0.6027,80.7,56.83,,True,0.9368191723693884,,79.71120309685331,58.013804054566585,98.4002169197397,70.86118968793475,37.78755549468453,10.18418201516793,67.80155642023347,72.64957264957265,50.0,67.20311003240603,standard,2,0.875,8,STARK,8,UPPTREND,False,3,0.4285714285714285,LÅG,VÄNTA,-0.027430791407823563,2.3,Asia,1042681275,False
V,Visa Inc.,Financial Services,Credit Services,United States,USD,550069343952.969,3.6599070000000005,6.2199924999999965,1.6656,12.92241275,14.648602,14.513,6.699000000000002,0.46964999999999996,0.1433050085,0.39932003000000005,0.511185,0.5352,0.171,0.355,0.315,-0.457499999999996,-0.347,0.669,19955287104.0,13912999936.0,23975999488.0,624446996480.0,0.82,0.2197,2.68,0.69,0.67,1778544000.0,0.784,372.5671703158168,293.2820187246287,331.42498779296875,398.74313,1.34211,35.0,3.26,0.0139,0.00084,0.9174,False,False,,7305777.0,6862880.0,0.3670653653558332,4.76,3.95,-0.98,,-0.1104288992719696,0.2220991633107949,65.80715759352151,0.0637793895305967,0.0050753052936296,True,0.8432752267623737,,74.323329883868,97.65108801725549,56.46127664197753,70.3532377161457,53.74718650621573,14.409534127843987,67.80155642023347,83.88278388278388,50.0,67.18508042917512,standard,3,0.875,7,STARK,8,UPPTREND,False,3,0.4285714285714285,LÅG,OK,0.003275619586929679,13.7,US,2274529920,False
CBOE,"Cboe Global Markets, Inc.",Financial Services,Financial Data & Stock Exchanges,United States,USD,38494799963.45679,6.123023,9.509368499999997,3.8164,3.54443505,8.033139,7.813,6.967000000000002,0.11756,0.057304998499999996,0.14027000000000003,0.23495500000000002,0.09849000000000008,0.065,0.544,0.539,-38.201499999999996,-0.050000000000000044,0.59,118612480.0,2136199936.0,1584600064.0,37439815680.0,0.79,0.2383,2.88,1.3,0.72,1780012800.0,0.372,368.5400085449219,217.6026705500393,366.2799987792969,330.57144,3.11765,14.0,2.87,0.0298,0.00252,0.91796,False,False,,899078.0,981620.0,0.66,20.33,28.66,,,-0.11,0.2657,80.0,19.48,,True,0.8483894741137057,,51.710168257253464,80.71998042605846,77.87418655097613,65.32265404374078,64.50550330654517,57.52979414951246,67.80155642023347,51.77045177045178,50.0,65.48719492422464,standard,4,0.875,7,STARK,8,UPPTREND,False,5,0.7142857142857143,HÖG,VÄNTA,0.0030856360681355,13.2,US,359547772,False
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,United States,USD,463203943775.81134,13.854966000000005,8.639622499999998,1.493,6.08305275,7.625259,7.932,14.366,0.11845,0.024684993500000002,0.07938,0.08808497999999998,0.20018004,0.12,0.371,0.354,-3.6255000000000024,-0.51,0.659,8787412032.0,16640000000.0,31303000064.0,481828929536.0,1.42,0.55,1.68,2.82,0.42,1783296000.0,0.912,119.38999938964844,60.89827585099847,118.87999725341797,119.78174,1.85185,23.0,3.4,0.0156,0.00054000004,0.82665,False,False,,22804791.0,32230370.0,0.77,35.54,52.88,,,0.0,0.3612,92.9,37.32,,True,1.0373289094890557,,59.75336322869955,74.92543005341847,96.99023861171366,67.6735842324755,33.80372480613056,15.492957746478872,67.80155642023347,71.42857142857143,50.0,65.09518716114685,standard,5,0.875,7,STARK,8,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,0.020758621394634247,63.8,US,3831546297,False
B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",Financial Services,Financial Data & Stock Exchanges,Brazil,BRL,83029713476.23122,3.5082939999999994,3.987864,1.21,2.8485470999999998,7.8673615,7.988,3.523999999999999,0.09824,0.02983999999999999,0.377110004,0.52701,0.65646,0.203,0.389,0.335,0.3610000000000042,0.5370000000000001,1.859,2865900160.0,14980616192.0,15579192320.0,84300668928.0,3.63,0.66120005,0.61,3.01,0.07434,1775001600.0,0.203,20.32999992370605,11.671482586327327,16.719999313354492,19.67857,2.07143,14.0,,,0.0,0.77254,False,False,,36503676.0,31295410.0,1.0,-15.47,-3.3,,,-15.73,0.387,26.2,-7.05,,False,0.0913471331020855,,81.40834004062702,90.11403277751332,22.396963123644248,72.72159859641837,73.51550153381545,40.520043336944745,67.80155642023347,85.83638583638583,50.0,64.64809701458299,standard,6,0.875,8,STARK,8,VARNING,False,5,0.7142857142857143,HÖG,VÄNTA,-0.006081817671656609,5.0,LatAm,94186662,False
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,United States,USD,1341103085497.1594,-3.0442639999999983,0.7907994999999985,0.8893,2.73978045,7.211426,7.279,0.29800000000000004,0.19546002,0.1153250085,0.2109,0.24389499999999997,0.37683,0.331,0.624,0.609,-32.0825,0.9129999999999998,2.11,24673786944.0,81180000256.0,86769000448.0,1564764798976.0,0.34,0.0764,2.1,,0.525,1773619200.0,1.243,794.3843975355859,520.260009765625,610.6900024414062,826.69104,1.34921,58.0,1.69,0.013200001,0.00102,0.79083,False,False,,15389613.0,14494160.0,0.5824888424915798,-11.31,-4.39,0.3,,-0.2312411921282111,0.3481659982410842,26.086249202225204,-0.0168120443867267,-0.0909538159734655,False,0.3256034956516682,,76.79966271894523,90.81462649492002,41.44403358322188,81.4679719153221,46.230536397502696,10.292524377031418,67.80155642023347,68.00976800976801,50.0,64.35877327686384,standard,7,0.875,7,STARK,8,NEDTREND,True,3,0.4285714285714285,LÅG,EJ AKTUELL,0.007984114810824394,26.9,US,8851438606,False
UNP,Union Pacific Corporation,Industrials,Railroads,United States,USD,163122705271.75,-2.6218649999999997,3.979159499999998,3.2314,5.205462749999999,6.6041584,7.737,1.1669999999999998,0.27302,0.042754988499999994,0.17455,0.24129499999999998,0.12268000000000001,0.032,0.062,0.046,94.55550000000001,-0.519,0.656,3149912384.0,1035000000.0,31505000448.0,191105040384.0,2.04,0.45099998,5.52,2.21,1.38,1780012800.0,0.994,276.2850036621094,208.52409945290452,274.75,291.04544,1.82609,22.0,9.31,0.055,0.00074,0.90241,False,False,,2946203.0,2466580.0,0.5340896545820232,9.4,5.09,25.43,,-0.0055558703576493,0.2057266953185524,59.54261073306912,0.0852648839197105,0.1658443787507253,True,0.8822784984585937,,74.92736959104671,83.68808041119334,79.24688763257767,37.08668431839871,43.76135679291425,26.76056338028169,67.80155642023347,68.98656898656898,50.0,64.30021262068891,standard,8,0.875,6,NEUTRAL,0,UPPTREND,False,3,0.4285714285714285,LÅG,VÄNTA,-0.0019791412632912397,6.7,US,677692855,False
AAPL,Apple Inc.,Technology,Consumer Electronics,United States,USD,4342127113623.535,10.556378000000002,14.7434245,2.5713,37.10064775,9.618349,9.804,13.648,1.2808699000000001,0.21366499850000004,0.15405001999999998,0.16047499999999998,0.036040000000000016,0.166,0.218,0.194,11.857500000000002,-0.365,0.906,100206283840.0,68507000832.0,84710998016.0,4425788686336.0,0.36,0.1259,1.08,0.51,0.27,1778457600.0,1.065,303.20001220703125,192.6955373289648,295.6370849609375,308.06512,1.95833,43.0,3.11,0.0092,0.01633,0.65738,False,False,,43706772.0,48295900.0,0.4311968477445093,9.5,12.14,8.51,,-0.0249436904406508,0.2258130510336326,78.44454497058231,0.1083351338725979,0.1410342473120733,True,0.7751208792316745,,62.91019891916753,83.35970291031717,74.45948021684481,63.126328177720815,56.02787895482619,7.150595882990249,67.80155642023347,75.45787545787546,50.0,64.24423610930525,standard,9,0.875,7,STARK,8,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,0.011423364281654358,38.7,US,14278059092,False
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,United States,USD,86221198559.17267,17.354340999999998,18.130829499999997,2.5296,6.258266749999999,9.805579,9.358,15.138000000000002,0.13269999999999998,0.12862499849999998,0.11361000000000002,0.14791500000000002,0.11213002999999999,0.269,0.289,0.286,-66.6085,1.822,2.682,799877952.0,2984993024.0,94469000.0,82284199936.0,,0.0,,,0.005208,,0.501,88.7699966430664,58.09000015258789,88.54000091552734,88.24522,2.0,23.0,4.32,0.028199999,0.28487,0.70824,False,False,,5666662.0,6544640.0,0.73,14.64,6.44,,,0.0,0.2912,79.0,15.18,,True,0.910827411579558,,51.517381472538425,80.74087560440033,82.42950108459871,72.25667178867052,71.92151447434294,39.54496208017335,12.305447470817121,59.95115995115995,50.0,64.16331584074582,standard,10,0.875,9,STARK,8,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,0.02007334493100643,62.8,US,579462432,False
