ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,insider_recent_date,earnings_surprise,exchange_group,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_total,company_type,rank,data_quality,est_daily_turnover_usd,low_liquidity,piotroski_f,piotroski_label,piotroski_boost,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,predicted_return,ml_rank
MU,"Micron Technology, Inc.",Technology,Semiconductors,United States,USD,1095029763521.0,19.479774000000003,-7.065007999999999,0.3346,11.5879113,18.841166,18.776,15.1305,0.26333002000000005,0.15037,0.29724,0.5127399899999999,0.13102999999999992,1.963,7.56,7.708,-52.485,1.4614999999999998,2.232,2073241952.0,14588999680.0,10798000128.0,1091238756352.0,0.06,0.0217,0.6,0.33,0.15,1774828800.0,1.919,981.0,91.9997871101281,971.0,702.975,1.47727,40.0,0.77,0.0313,0.00265,0.81313,False,False,,47807274.0,55649190.0,1.0794680295788173,87.29,135.57,332.82,,-0.010193679918450549,0.6606166637901427,70.09411461700584,0.7415928010457318,1.8677253903739741,True,0.9791060697056609,,1.0,US,44.67803302225413,90.53958428838857,98.40863881784598,97.49550905868907,31.62450017810255,16.89419795221843,24.332220367278797,50.050251256281406,50.0,61.69201520912547,72.25997703772492,standard,10,0.875,54035363490,False,5,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,0.039317917078733444,82.6
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,United States,USD,264575084503.17383,0.6334359999999997,7.31296,1.0694,6.217334299999999,5.9473786,6.07,6.253500000000001,0.22593,0.07584,0.10546000999999999,0.05708999000000001,0.09464999999999996,-0.035,1.73,1.621,-11.408000000000001,0.9305000000000001,1.448,8769366880.0,9799000064.0,15269999616.0,270046085120.0,1.47,0.38279998,3.68,2.12,0.89,1780531200.0,1.493,259.9200134277344,121.98999786376953,251.02000427246094,177.8125,2.64103,32.0,1.88,0.053600002,0.0012800001,0.84546995,False,False,,19200152.0,25036700.0,0.9866062984334772,60.91,77.46,55.49,,-0.03424133847141364,0.4475610119078431,60.01254388037494,0.5151936068127112,0.5559016099806413,True,0.9131539336520522,,0.87,US,75.70289417009862,77.85336506890175,90.73600454674623,68.57864792793342,37.09237821396461,25.170648464163826,67.15358931552588,84.2211055276382,50.0,40.3041825095057,70.33945368471366,standard,15,0.875,6284712541,False,5,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,OK,0.13637742400169373,96.2
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,United States,USD,474627555142.31757,13.752984000000001,8.944841,1.6712,6.211578299999999,7.8133135,8.083,14.3495,0.11739000000000002,0.022290000000000004,0.07923,0.08642,0.18962996999999998,0.12,0.371,0.354,0.15399999999999636,-0.5105,0.704,8468117344.0,16640000000.0,33001000960.0,490988568576.0,1.4,0.55,1.68,2.79,0.42,1783296000.0,0.912,121.43000030517578,60.898275850998466,120.41999816894531,125.40818,1.88462,22.0,2.53,0.015,0.00054000004,0.82812,False,False,,23316119.0,27801110.0,1.490432401174636,34.44,52.37,59.49,,-0.008317566776679164,0.2950315927087948,80.47533880421857,0.2938954304950965,0.5385095702172786,True,0.764762046911626,,0.85,US,58.93206634677144,74.04768065171716,93.7766410912191,71.15611754082494,54.46637287241517,20.563139931740615,67.15358931552588,69.84924623115577,50.0,85.93155893536122,69.86485441557372,standard,16,0.875,3347809615,False,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,0.03795310854911804,82.4
BHP,BHP Group Limited,Basic Materials,Other Industrial Metals & Mining,Australia,USD,225862091432.74158,-4.3249809999999975,0.42564700000000144,5.95,0.9493012999999997,4.183561,8.745,3.4374999999999982,0.11222999,0.071170006,0.07210998999999998,0.24377998999999997,0.37750999999999996,0.108,0.275,0.277,-14.747999999999998,0.21350000000000002,1.232,7316866912.0,13509000192.0,29195999232.0,472141070336.0,2.99,0.5464,2.66,7.08,1.46,1772755200.0,0.797,91.44999694824219,44.85666350667274,88.91000366210938,68.07143,3.125,7.0,6.29,0.0061000003,5e-05,0.04302,False,False,,3063641.0,2441250.0,1.2175422174638788,15.38,11.14,68.89,,-0.02777466780639004,0.3079670822279822,59.18457450651425,0.1255342689405543,0.37156673636796445,True,0.7826967841845782,,0.5,US,69.49387917028753,84.30960645103801,84.76840011366865,56.60433514321693,54.54118347697503,26.535836177474405,67.15358931552588,67.93969849246231,50.0,95.43726235741445,69.37420437785082,standard,17,0.875,217051546,False,6,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,-0.01526468526571989,18.5
STX,Seagate Technology Holdings plc,Technology,Computer Hardware,Singapore,USD,199056608894.93335,56.927374,16.9796,0.6086,414.62789230000004,18.079618,18.193,42.4825,17.7448,0.19556,0.09836999999999999,0.19317999,-0.03763,0.441,1.083,1.2,314.166,-0.10949999999999993,0.772,789742048.0,1146000000.0,4177999872.0,200308670464.0,0.34,0.277,2.96,3.02,0.74,1782259200.0,2.009,905.3900146484375,115.18541842153802,879.7999877929688,829.0455,1.54167,22.0,2.04,0.0476,0.0025,0.88052005,False,False,,3995053.0,3439870.0,1.1074350600507223,36.76,116.1,237.41,,-0.02826409220495474,0.6288888609025552,65.3046402834745,0.4272396277610626,1.3975623058483118,True,0.9273066085850412,,0.969,US,40.149506933162044,80.33874802681562,95.5953395851094,89.38606298211575,16.29642687277712,28.498293515358363,67.15358931552588,52.361809045226124,50.0,45.05703422053232,69.24785786659528,standard,18,0.875,3026397584,False,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,0.04036150872707367,82.9
NVDA,NVIDIA Corporation,Technology,Semiconductors,United States,USD,5114021925216.675,5.996418000000002,0.3933789999999995,0.6505,29.095620299999997,20.174374,19.998,16.106499999999997,1.0079799999999999,0.47619,0.51204,0.49245998999999996,0.28810995,0.852,2.145,2.106,-60.832,2.0054999999999996,2.139,45515615072.0,53171998720.0,12814000128.0,5069230047232.0,0.47,0.0061000003,1.0,0.05,0.01,1780531200.0,2.244,236.5399932861328,132.88868890141003,211.13999938964844,296.81033,1.29508,58.0,1.92,0.0128,0.039839998,0.70779,False,False,,166355890.0,181215710.0,1.7347511897506698,0.9,19.17,18.75,,-0.10738139264999058,0.33611059313175257,46.25184888841307,0.059148582859318344,0.12523370433671688,False,0.39072234595995253,,0.889,US,50.31903880303774,95.87629068893166,68.74111963626031,90.3806541245079,44.784824342059316,9.470989761092149,67.15358931552588,58.99497487437186,50.0,89.63878326996198,77.2433494876074,standard,1,0.875,38261884899,False,7,STARK,8,UPPTREND,False,4,0.5714285714285714,MEDEL,STARK,0.0028263137210160494,31.4
WDC,Western Digital Corporation,Technology,Computer Hardware,United States,USD,183098602382.09198,5.364929,13.871803,0.4726,21.8705303,15.547134,15.419,31.7085,0.72430995,0.0954,0.43524,0.20658996999999998,0.0009400199999999859,0.455,4.829,5.163,-49.577,0.05449999999999999,1.107,1254742112.0,3236999936.0,1724000000.0,181585592320.0,0.11,0.0269,0.6,3.23,0.125,1780617600.0,2.158,553.5,50.9500740270909,531.2100219726562,518.26086,1.52,23.0,3.82,0.097399995,0.0054400004,1.01238,False,False,,7958238.0,6495600.0,1.0962234002212452,28.7,90.01,242.25,,-0.04027096301236455,0.633670947545829,63.7417486451924,0.33409519314964076,1.3055183074708423,True,0.8899942314658679,,0.997,US,43.923319605546524,84.77579686945867,93.70559818130151,94.67868446239554,21.914651487077112,29.351535836177472,33.51419031719532,55.57788944723618,50.0,23.00380228136882,69.10463652964958,standard,19,0.875,3450527819,False,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,OK,0.020897958427667618,72.1
NTAP,"NetApp, Inc.",Technology,Software - Infrastructure,United States,USD,34392714091.1499,1.103518000000001,1.4736019999999996,1.9828,26.275362299999998,4.9848285,4.8,3.019499999999999,0.9324399999999999,0.047159999999999994,0.06664001,0.10908999,0.25409999999999994,0.125,0.235,0.188,116.69900000000001,0.0004999999999999449,1.211,578117088.0,3584000000.0,2487000064.0,33238130688.0,1.19,0.32759997,2.08,2.29,0.52,1775088000.0,1.267,192.8300018310547,92.32393731157319,174.2899932861328,163.06667,2.47368,15.0,11.04,0.1402,0.00592,1.05087,False,False,,2674819.0,5228050.0,4.266871943148428,60.41,76.9,57.91,,-0.09614690851460683,0.39883800475661,93.5748437681241,0.5566491197974577,0.5839048697855092,True,1.2969844525985081,,0.893,US,72.11304643518343,81.15694541217411,82.86445012787725,67.257004783553,31.415630834175342,59.72696245733788,67.15358931552588,70.15075376884423,50.0,13.11787072243346,68.97763441035113,standard,20,0.875,911196799,False,5,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,VÄNTA,0.060191553086042404,88.2
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,United States,USD,985374253630.0,12.825191999999998,8.560388,1.4813,28.1184893,13.638586,14.166,13.740499999999999,0.9396899999999999,0.15631001,0.23224,0.33035999000000005,0.3749799999999999,0.555,1.699,1.681,71.62799999999999,0.06150000000000011,0.721,8336341856.0,5281999872.0,43370000384.0,1023462277120.0,0.63,0.22129999,6.92,0.89,1.73,1778803200.0,0.481,1149.0999755859375,619.3983893784804,1105.0,1215.1034,1.74194,29.0,2.44,0.0095,0.00156,0.85387003,False,False,,3105058.0,3257280.0,1.3869110421125614,30.04,5.22,-0.11,,-0.03837784050378257,0.37918389746584125,80.51205627099631,0.15926553082406691,0.18237973354145387,True,0.943080821426847,,1.0,US,50.743888616012384,94.63908932374395,61.693662972435355,93.50127425519803,51.49342225315286,17.235494880546078,67.15358931552588,57.58793969849246,50.0,94.3916349809886,76.83283177871323,standard,3,0.875,3599294400,False,7,STARK,8,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,0.011277320794761181,53.4
AVGO,Broadcom Inc.,Technology,Semiconductors,United States,USD,2115307652549.0618,60.533219,7.939432,0.9719,22.9629693,30.978994,31.739,43.7095,0.19880999000000002,0.05555,0.24809997,0.28593000999999996,0.31391995999999994,0.295,0.316,0.335,15.316999999999993,0.4664999999999999,1.671,24683492192.0,14174000128.0,66056998912.0,2167190716416.0,0.58,0.47169998,2.6,1.87,0.65,1774224000.0,1.44,448.8999938964844,233.01200461099728,446.7699890136719,481.9678,1.29787,44.0,2.7,0.0115,0.01949,0.80155,False,False,,23788206.0,20447520.0,2.1324412828413943,10.19,40.11,16.5,,-0.004744942997935708,0.42875742949802315,57.75168111857335,0.15841832889021168,0.2714442906555825,False,1.1712133116878143,,0.853,US,47.423659651641664,88.73296691420268,84.25689116226201,75.9670646609719,46.81164647726854,13.993174061433447,67.15358931552588,62.914572864321606,50.0,91.15969581749049,76.81018316404861,standard,4,0.875,9135338286,False,7,STARK,8,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,0.01425561960786581,61.2
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,United States,USD,101083499400.61618,27.08973,23.984869999999997,3.1127,98.8236423,14.218088,13.834,27.130500000000005,1.18902,0.08478001,0.15728999999999999,0.14931998999999999,0.34969999999999996,0.201,0.286,0.233,-10.076999999999998,-0.2825,1.034,992792032.0,3294899968.0,567200000.0,98355798016.0,,0.0,,,,,0.919,138.11000061035156,70.12000274658203,137.97000122070312,107.86111,2.69767,36.0,3.28,0.0324,0.17387,0.72461,False,False,,6109744.0,6134640.0,1.4421574692516592,60.23,74.58,70.61,,-0.0010136803202500655,0.4447046078806396,79.74116643149979,0.43496630664308444,0.6188455958034305,True,0.8134644361243889,,1.0,US,48.469905920580345,88.51986568568404,96.03580562659847,76.49049933928316,33.10272960539185,39.249146757679185,11.936560934891485,60.7035175879397,50.0,59.6958174904943,76.77328321561068,standard,5,0.875,846396288,False,8,STARK,8,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,0.0972621738910675,93.1
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,United States,USD,397906671620.54443,33.87434400000001,23.77365,1.8527,34.0641673,18.352068,18.305,36.0535,0.53272,0.17670000000000002,0.19176998,0.18692996999999997,0.04644999999999999,0.238,0.408,0.372,-32.105000000000004,1.1005,1.695,3532083552.0,4750936064.0,3734479104.0,396890210304.0,0.33,0.1909,1.04,0.99,0.26,1781654400.0,1.819,333.3299865722656,78.91180728005533,318.17999267578125,313.6875,1.52778,32.0,3.46,0.0294,0.0027599998,0.88131,False,False,,9822890.0,8994960.0,1.1838528257227912,27.91,36.2,110.02,,-0.045450438024722595,0.49810971900608575,62.23011345180696,0.2065663586396429,0.6518652750057863,True,0.8348421808851099,,0.931,US,45.44149318018665,84.63410066988962,89.62773515203183,79.22774099359327,34.29716573485491,21.843003412969285,67.15358931552588,58.79396984924623,50.0,65.20912547528516,68.68654126022402,standard,21,0.875,2862016307,False,6,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,0.006346662994474173,38.7
AAPL,Apple Inc.,Technology,Consumer Electronics,United States,USD,4583336277502.197,11.346958000000004,16.191813999999997,2.7155,39.4554823,10.1526575,10.189,14.230500000000001,1.2798099,0.21121,0.15390001999999997,0.15924998999999998,0.02527999999999997,0.166,0.218,0.194,12.161000000000001,-0.36549999999999994,0.906,100270488416.0,68507000832.0,84710998016.0,4599540350976.0,0.35,0.1259,1.08,0.5,0.27,1778457600.0,1.065,315.0,194.2991796996429,312.05999755859375,310.507,1.97917,43.0,2.84,0.0095,0.01633,0.65804,False,False,,44266930.0,47308910.0,1.426412066987729,15.61,18.23,12.88,,-0.009333341083829327,0.22078727743869792,84.27675447719227,0.13431283656994197,0.18748067414434488,True,0.8433390514544271,,0.911,US,61.92927041221142,83.03499376060402,78.6587098607559,69.60732059850626,56.717386705299276,10.06825938566553,67.15358931552588,73.96984924623115,50.0,94.3916349809886,68.08431532362465,standard,22,0.875,14763218339,False,6,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,VÄNTA,0.010838760063052177,51.2
ADI,"Analog Devices, Inc.",Technology,Semiconductors,United States,USD,201580974476.94336,35.381642,11.725679,0.9057,2.4462013,15.822442,16.236,19.1175,-0.03850999999999999,0.003819997999999998,0.14245997999999999,0.21725999,0.19156999999999996,0.372,1.105,1.065,-41.577,0.3165,1.232,3048696672.0,3439308032.0,8708730880.0,206850392064.0,1.06,0.6057,4.4,1.66,1.1,1780358400.0,1.194,435.7200012207031,207.63216900167276,413.8500061035156,446.03226,1.55882,31.0,2.74,0.0217,0.00244,0.93543,False,False,,3887290.0,5718060.0,1.211139696989687,6.3,16.68,65.31,,-0.05019277300999958,0.3029015799244703,48.87314053376225,0.10768041597975464,0.39066708381848114,False,0.5373465721221797,,0.892,US,54.55191370385763,65.67088447687665,84.00113668655868,86.27272064392764,47.2836935987994,28.15699658703072,67.15358931552588,66.73366834170854,50.0,77.3764258555133,67.99673849724437,standard,23,0.875,2366419166,False,6,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,-0.022409245371818542,13.8
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,United States,USD,2214972767751.5215,2.6023120000000013,9.961568,1.4975,6.097461299999999,10.906531,10.834,13.853499999999999,0.25394996999999997,0.09533000000000001,0.26157,0.19770998999999997,0.15033999999999997,0.218,0.82,0.812,-47.361000000000004,0.48649999999999993,1.707,27101492064.0,126839996416.0,95875997696.0,4577235566592.0,0.23,0.0641,0.88,,0.21,1780876800.0,1.267,408.6099853515625,161.63565348702906,380.3399963378906,430.7213,1.4375,53.0,3.02,0.014099999,0.01181,0.81103,False,False,,28293636.0,28327910.0,1.622295397113993,8.69,22.08,17.75,,-0.06918575176117825,0.2904698589646997,35.00880331686261,0.09426804403430533,0.26908533043904725,False,0.09057056786920947,,1.0,US,48.11240412589262,86.35912725039643,73.99829497016198,86.19110979406894,49.118673253585406,13.651877133105803,67.15358931552588,54.07035175879397,50.0,87.83269961977186,67.97431456083453,standard,24,0.875,10774237186,False,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,0.010869086720049381,51.5
CRDO,Credo Technology Group Holding Ltd,Technology,Semiconductors,Cayman Islands,USD,43535719113.04138,103.299794,26.504287,,19.990345299999998,40.758514,39.555,106.1055,0.14054000000000003,0.09572000000000001,0.20046999999999998,0.20410999,0.22491997000000002,2.015,4.125,4.352,-66.507,9.3795,9.351,-648016832.0,1301464064.0,16277000.0,42250530816.0,,0.0,,,,,3.176,240.80999755859375,59.209999084472656,236.02999877929688,211.86333,1.33333,18.0,1.73,0.0683,0.11137,0.76462,False,False,,7290006.0,7164120.0,1.1790922594127593,34.28,110.23,53.09,,-0.019849669148947258,0.8594561203246041,65.20848519366636,0.4839567481470175,0.6252263537896925,True,0.9930431587812091,,1.0,US,27.031775418445605,85.66802870515804,93.08042057402672,96.55023296074123,34.18817211999797,55.11945392491467,11.936560934891485,36.68341708542713,50.0,31.368821292775667,67.60148858016734,standard,25,0.875,1690947235,False,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,OK,0.18973320722579956,98.0
ROST,"Ross Stores, Inc.",Consumer Cyclical,Apparel Retail,United States,USD,74651388959.67462,5.977509000000001,10.768004999999999,2.8141,8.543798299999999,3.1524098,3.134,7.1945,0.25491998000000005,0.07053,-0.020220005,-0.02973001,-0.12593997,0.206,0.374,0.356,7.524000000000001,0.10549999999999993,0.884,1224289888.0,4130980096.0,4723149824.0,74504077312.0,0.77,0.2318,1.78,1.03,0.445,1780963200.0,0.875,237.41000366210938,123.61247221578536,231.72999572753906,256.17648,1.57895,17.0,3.27,0.0271,0.021389998,0.94111,False,False,,2864255.0,4162560.0,3.2004272638538462,2.95,12.93,31.87,,-0.023924888787139387,0.24258346173350984,54.84769070180703,0.0462304307364656,0.25426843239500996,True,0.7737384991438777,,0.946,US,63.472909661087385,58.5007547396685,81.69934640522877,78.16664754684533,66.63162192934094,44.88054607508533,67.15358931552588,68.84422110552764,50.0,68.25095057034221,67.51706863330098,standard,26,0.875,964590011,False,5,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,OK,-0.013978593982756138,19.4
