ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,insider_recent_date,earnings_surprise,exchange_group,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_total,company_type,rank,data_quality,est_daily_turnover_usd,low_liquidity,piotroski_f,piotroski_label,piotroski_boost,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,predicted_return,ml_rank,_fundamentals_neutralized,score_options_flow
000660.KS,SK hynix Inc.,Technology,Semiconductors,South Korea,KRW,1656091460703000.0,,-9.4130717,3.2986,,12.538186,12.265,1.4130000000000007,0.4944500020000001,0.24073,0.447344996,0.5647200299999999,0.30682001,1.981,3.966,3.975,-6.608999999999998,1.177,2.174,25799818138624.0,54361531088896.0,21832415576064.0,1620016566894592.0,0.13,0.028399998,3000.0,1.08,375.0,1779926400.0,2.027,2379000.0,202155.24179216867,2333000.0,2076603.1,1.36842,38.0,,,0.20716,0.44962,False,False,,4939750.0,5950658.0,1.4418000312733703,80.6,129.64,309.7,,-0.0193358554014291,0.6912505457345729,76.07521215405593,0.721074165210492,2.038697632820109,True,0.9344527196121204,,1.0,Asia,79.20268077177376,95.4313548216008,95.81566522216326,96.81774732964845,32.01184454510059,0.36231884057971014,36.79577464788733,75.19685039370079,50.0,,77.88260974107092,standard,1,0.625,10134506133,False,7,STARK,8,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,0.07879605144262314,86.0,True,50.0
MU,"Micron Technology, Inc.",Technology,Semiconductors,United States,USD,1095029763521.0,12.643825,-13.087300999999998,0.3346,6.683485999999999,18.841166,18.776,10.015,0.18951002,0.13123,0.2903199950000001,0.51244,0.0858550099999999,1.963,7.56,7.708,-52.639,1.2979999999999998,2.232,1831056160.0,14588999680.0,10798000128.0,1091238756352.0,0.06,0.0217,0.6,0.33,0.15,1774828800.0,1.919,981.0,91.9997871101281,971.0,702.975,1.47727,40.0,0.77,0.0313,0.00265,0.81313,False,False,,47807274.0,55649190.0,0.82,90.84,172.64,,,0.0,0.7818,70.9,81.74,,True,0.9791060697056608,,1.0,US,51.377952755905504,88.0099796077429,98.18750164391489,97.93939267702743,31.115108959861683,19.92753623188406,30.01760563380282,51.96850393700787,50.0,61.434108527131784,73.42412045725693,standard,2,0.875,54035363490,False,5,NEUTRAL,0,UPPTREND,False,3,0.4285714285714285,LÅG,VÄNTA,0.05737065151333809,83.5,True,50.0
GTT.PA,Gaztransport & Technigaz SA,Energy,Oil & Gas Equipment & Services,France,EUR,7335067292.276154,-8.9799055,-4.664940000000001,,7.6217425,9.133442,8.861,-3.2239999999999998,0.61964996,0.292439999,0.41631,0.613134995,0.56716999,0.196,0.314,0.316,-37.306,0.6759999999999999,1.916,-192024992.0,346700000.0,126400000.0,7116367360.0,4.99,0.7054,9.88,3.68,4.94,1781654400.0,0.442,215.0,143.86042038667915,197.8999938964844,214.81818,2.0,11.0,,,0.01476,0.51550996,False,False,,104323.0,83521.0,1.5982558813864027,-2.89,2.97,18.71,22.79,-0.079534912109375,0.2403298440696942,37.38872860374433,-0.0261977214644852,0.1209154970529651,False,0.008044643680851,,0.5,Europe,,98.02733928793118,57.98853136844742,59.7580999393916,78.88179334683188,89.4927536231884,68.83802816901408,27.95275590551181,50.0,,72.74847493760481,standard,3,1.0,17851110,False,5,NEUTRAL,0,VARNING,False,5,0.7142857142857143,HÖG,VÄNTA,0.014866315759718418,59.2,True,50.0
V,Visa Inc.,Financial Services,Credit Services,United States,USD,541662909095.3628,-4.744781000000003,-0.3342359999999988,1.6948,7.857892999999999,14.424734,14.54,1.118000000000002,0.3947699999999999,0.12171001,0.3922500250000001,0.50966,0.47926501,0.171,0.355,0.315,-0.3079999999999926,-0.5109999999999999,0.669,19777305888.0,13912999936.0,23975999488.0,625596497920.0,0.82,0.2197,2.68,0.7,0.67,1778544000.0,0.784,372.5671703158168,293.2820187246287,326.3599853515625,398.74313,1.34211,35.0,3.54,0.0156,0.00084,0.91697,False,False,,7315293.0,8496990.0,1.8282451529694643,-2.34,2.15,-2.04,,-0.1240237697945462,0.2205539139388841,60.15749419548084,0.0367540424028538,-0.0094987882734018,False,0.554548032840719,,0.869,US,90.26897878223237,96.36080356218059,48.11368589175347,70.65283120805555,56.04779432490071,23.731884057971016,68.83802816901408,89.37007874015748,50.0,85.07751937984496,72.73296411950966,standard,4,0.875,2773077532,False,7,STARK,8,NEDTREND,True,4,0.5714285714285714,MEDEL,EJ AKTUELL,0.013737253844738007,56.3,True,50.0
005930.KS,"Samsung Electronics Co., Ltd.",Technology,Consumer Electronics,South Korea,KRW,1827248833251000.0,,-9.7716194,0.1813,,5.3602686,5.109,-2.145999999999999,0.071280002,0.06421,0.093034996,0.27688,0.10018004,0.692,4.921,4.867,-14.108999999999998,1.0990000000000002,1.959,67558967268352.0,147378078220288.0,28138794909696.0,1984145639079936.0,0.47,0.1344,1488.0,2.24,372.0,1774828800.0,1.327,323000.0,54636.35338680927,317000.0,385641.06,1.37838,37.0,,,0.0967,0.48646,False,False,,30287023.0,31741924.0,1.1194713744879867,41.2,56.1,217.3,,-0.0185758513931888,0.5401618558700543,65.90163934426229,0.3688831532540826,1.1987844768698803,True,0.8822176307518483,,0.838,Asia,,77.8819790773679,92.70843602572626,89.58192048161625,40.109959648736044,0.18115942028985507,68.83802816901408,91.33858267716536,50.0,,72.63151781825633,standard,5,0.625,7345398633,False,6,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,0.002475412329658866,30.9,True,50.0
2330.TW,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,Taiwan,TWD,61070731507785.0,11.286902,3.692853,1.162,7.736431200000001,14.88113,14.333,4.341000000000001,0.244830002,0.13507001,0.343494996,0.4304199999999999,0.24213001,0.351,0.584,0.583,-1.443999999999999,1.0479999999999998,2.187,709922509824.0,3383596154880.0,1094369804288.0,58822932561920.0,1.02,0.2785,24.0,1.71,7.0,1781136000.0,1.264,2375.0,932.0916137695312,2355.0,2589.5757,1.33333,33.0,,,0.00022,0.43594003,False,False,,36626153.0,34023378.0,2.55956239208102,8.03,17.25,64.05,,-0.0084210526315789,0.3003564876792287,63.333333333333336,0.1280896723510252,0.4429289601815169,False,1.0733078603303703,,0.927,Asia,68.28785237723147,92.05977333447929,83.37249699109196,82.58313757599656,55.60223184519614,2.355072463768116,68.83802816901408,68.11023622047244,50.0,,72.49652734691288,standard,6,0.875,2483876711,False,5,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,VÄNTA,-0.015609965659677982,16.3,True,50.0
6861.T,Keyence Corporation,Technology,Scientific & Technical Instruments,Japan,JPY,19428688644960.0,17.072580000000002,19.371109,3.0843,2.8671290000000003,16.615814,15.338,13.6955,,,0.30192503,0.4144899975,0.4917599350000001,0.179,0.254,0.254,,8.751,9.963,,1493889056768.0,0.0,17934799863808.0,0.69,0.2996,550.0,0.5,275.0,1789603200.0,0.985,84170.0,51271.96903921346,80110.0,83256.25,1.6875,16.0,,,0.22763,0.37519002,False,False,,849006.0,783440.0,1.3414177167185108,26.8,26.27,51.57,,-0.0482357134370916,0.3812957111314571,45.67706277141729,0.191166707915555,0.3439791801502614,False,0.7174462527886496,,0.75,Japan,,96.70893719806764,80.68389804026607,64.4909687006746,63.07099271873313,5.434782608695652,68.83802816901408,,50.0,,70.42530978723165,standard,7,0.625,407948960,False,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,-0.04373777657747269,2.4,True,50.0
AVGO,Broadcom Inc.,Technology,Semiconductors,United States,USD,2115307652549.0613,53.69727,1.9171390000000008,0.9719,18.058544,30.978994,31.739,38.594,0.12498999,0.03641,0.2411799650000001,0.2856300199999999,0.2687449699999999,0.295,0.316,0.335,15.162999999999997,0.3029999999999999,1.671,24441306400.0,14174000128.0,66056998912.0,2167190716416.0,0.58,0.47169998,2.6,1.87,0.65,1774224000.0,1.44,448.8999938964844,233.01200461099728,446.7699890136719,481.9678,1.29787,44.0,2.7,0.0115,0.01949,0.80155,False,False,,23788206.0,20447520.0,1.34,9.18,46.87,,,0.0,0.4323,63.2,18.4,,False,1.1712133116877068,,0.853,US,51.93514455731201,84.7529530574061,91.79004247876063,73.6402553734725,48.96602062246587,15.942028985507244,68.83802816901408,67.32283464566929,50.0,92.82945736434108,69.65657506054741,standard,8,0.875,9135338286,False,7,STARK,8,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,0.012316979467868805,53.0,True,50.0
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,United States,USD,101083499400.61618,20.253781,17.962577000000003,3.1127,93.919217,14.218088,13.834,22.015000000000008,1.1152,0.06564001,0.150369995,0.1490199999999999,0.3045250099999999,0.201,0.286,0.233,-10.230999999999996,-0.446,1.034,750606240.0,3294899968.0,567200000.0,98355798016.0,,0.0,,,,,0.919,138.11000061035156,70.12000274658203,137.97000122070312,107.86111,2.69767,36.0,3.28,0.0324,0.17387,0.72461,False,False,,6109744.0,6134640.0,1.09,70.52,81.43,,,0.0,0.4662,83.0,51.02,,True,0.8134644361243889,,1.0,US,51.533329326200636,87.39614640700331,95.60129474736317,73.7127920128614,35.56507727352146,44.565217391304344,14.612676056338028,61.023622047244096,50.0,58.52713178294574,69.65430422235363,standard,9,0.875,846396288,False,8,STARK,8,UPPTREND,False,3,0.4285714285714285,LÅG,VÄNTA,0.09746433794498444,88.2,True,50.0
6098.T,"Recruit Holdings Co., Ltd.",Communication Services,Internet Content & Information,Japan,JPY,14710331003620.0,3.79988,11.398799,2.8191,6.591354400000001,3.9786136,3.849,4.7485,0.1762799999999998,0.097410008,0.0555949999999999,0.0189399974999999,0.253399995,0.115,0.609,0.522,-18.137,-0.011,1.559,339007373312.0,725499969536.0,186199998464.0,14229874671616.0,0.25,0.0719,26.0,0.37,13.0,1790640000.0,0.86,10855.0,6028.418262645158,10570.0,10475.0,1.625,16.0,,,0.03449,0.53362,False,False,,6519531.0,9555850.0,2.1501929655617427,44.64,71.84,37.63,,-0.0262551819438047,0.4787078327729812,86.51399491094148,0.3791874175162861,0.3285539132634758,True,0.897241248962832,,0.943,Japan,78.21106569694055,76.67573115717978,85.37875330447808,74.14935441825602,45.0254493535249,6.340579710144928,68.83802816901408,83.26771653543307,50.0,,69.53588785868061,standard,10,0.875,656534674,False,6,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,VÄNTA,0.06875639408826828,84.8,True,50.0
WDC,Western Digital Corporation,Technology,Computer Hardware,United States,USD,183098602382.092,-1.4710200000000029,7.84951,0.4726,16.966105,15.547134,15.419,26.593000000000004,0.65048995,0.07626,0.4283199950000001,0.2062899799999999,-0.04423497,0.455,4.829,5.163,-49.731,-0.1090000000000001,1.107,1012556320.0,3236999936.0,1724000000.0,181585592320.0,0.11,0.0269,0.6,3.23,0.125,1780617600.0,2.158,553.5,50.9500740270909,531.2100219726562,518.26086,1.52,23.0,3.82,0.097399995,0.0054400004,1.01238,False,False,,7958238.0,6495600.0,0.93,26.58,118.05,,,0.0,0.74,59.2,35.61,,True,0.8899942314658611,,0.997,US,47.036575103684555,81.99204033494429,97.14394447513087,94.38501892539915,18.911745614860937,34.78260869565217,36.267605633802816,56.889763779527556,50.0,24.031007751937985,69.43758377116795,standard,11,0.875,3450527819,False,6,NEUTRAL,0,UPPTREND,False,3,0.4285714285714285,LÅG,OK,0.0384364053606987,78.6,True,50.0
MA,Mastercard Incorporated,Financial Services,Credit Services,United States,USD,433238366530.8078,-4.652695000000001,-0.5936319999999977,1.5766,56.77085699999999,12.860508,13.177,1.2840000000000025,2.11204,0.1800999999999999,0.3342199950000001,0.44456,0.50148501,0.158,0.212,0.184,214.5180000000001,-0.6180000000000001,0.564,15085680928.0,8218999808.0,18959998976.0,447216746496.0,0.7,0.1823,3.48,0.54,0.87,1775692800.0,0.759,599.0458118803059,479.6756969999703,493.9800109863281,646.9722,1.33333,36.0,1.94,0.0081,0.00114,0.91459,False,False,,3476884.0,3332040.0,1.04,-0.04,-5.38,,,-14.39,0.2406,47.4,-1.18,,False,0.3364232041552761,,0.899,US,90.7988219029873,97.98380097421511,26.11408111733607,64.32381441111221,43.19809041136538,25.181159420289855,68.83802816901408,90.94488188976378,50.0,96.89922480620154,68.86683399142774,standard,12,0.875,1645961156,False,6,NEUTRAL,0,NEDTREND,True,4,0.5714285714285714,MEDEL,EJ AKTUELL,0.00963118951767683,46.5,True,50.0
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,United States,USD,474627555142.3176,6.917034999999997,2.922548000000001,1.6712,1.2780939999999994,7.8133135,8.083,9.234000000000002,0.04357,0.00315,0.0723099950000001,0.08612001,0.1444549799999999,0.12,0.371,0.354,0.0,-0.6739999999999999,0.704,8225931552.0,16640000000.0,33001000960.0,490988568576.0,1.4,0.55,1.68,2.79,0.42,1783296000.0,0.912,121.43000030517578,60.89827585099847,120.41999816894533,125.40818,1.88462,22.0,2.53,0.015,0.00054000004,0.82812,False,False,,23316119.0,27801110.0,0.87,32.1,54.49,,,0.0,0.3626,79.8,29.17,,True,0.7647620469116255,,0.85,US,69.31267656428442,66.21982463834229,93.24194810489493,67.4061047411831,53.315066935853054,24.456521739130434,68.83802816901408,76.77165354330708,50.0,86.04651162790698,68.84953350458517,standard,13,0.875,3347809615,False,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,0.044430967420339584,80.0,True,50.0
