ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,insider_recent_date,earnings_surprise,exchange_group,_fundamentals_neutralized,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,piotroski_f,piotroski_label,piotroski_boost,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_delta_4w,predicted_return,ml_rank,data_quality,data_fetched_date,data_stale_days
EXEL,"Exelixis, Inc.",Healthcare,Biotechnology,United States,USD,12200775958.942451,-10.695491,-3.26175075,2.56,2.8610142499999998,5.136107,4.88,-1.5630000000000006,0.285985005,0.159365,0.22790999699999998,0.21683249750000003,0.51238,0.022000000000000006,0.329,0.319,-50.22650000000001,1.22925,3.01,-191138592.0,777206976.0,169540992.0,11593109504.0,,0.0,,,,,0.385,52.959999084472656,33.7599983215332,48.540000915527344,49.64706,2.1,17.0,10.6,0.16379999,0.01822,1.07531,False,False,,0.5,2667117.0,2483600.0,1.19,16.16,25.0,,,0.0,0.3722,51.3,11.16,,False,0.37053289535260775,,1.0,US,True,True,,93.22482288396456,89.21832884097034,70.92513589358542,67.83736304997922,84.07557354925777,12.172774869109947,30.342577487765087,50.0,8.51063829787234,50.0,72.52807598775077,standard,1,120553946,False,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,-0.9,-0.12406053394079208,0.5,0.875,2026-06-04,0
MU,"Micron Technology, Inc.",Technology,Semiconductors,United States,USD,1200021776136.5303,12.631366999999997,-12.793077000000002,0.3667,10.162841975000001,20.647667,20.582,13.550999999999998,0.24997001749999997,0.13809999999999997,0.305910004,0.5327249949999999,0.13230999999999993,1.8290000000000002,7.348999999999999,7.708,-35.17,1.184,2.232,2073241952.0,14588999680.0,10798000128.0,1196230836224.0,0.06,0.0217,0.6,0.33,0.15,1774828800.0,1.919,1076.56005859375,96.72846036798533,1064.0999755859375,726.225,1.47727,40.0,0.77,0.0313,0.00265,0.81557,False,False,,0.5,48200663.0,54177400.0,0.77,68.63,172.01,,,0.0,0.7777,75.0,81.23,,True,1.019919055319153,,1.0,US,True,True,43.32375581004533,89.97879547458187,98.58490566037736,97.37977466243412,30.397863658916886,18.62348178137652,24.93455497382199,46.492659053833606,50.0,57.29483282674772,50.0,72.23610769606222,standard,2,57650170017,False,5,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,0.5,-0.22577999532222748,0.1,0.875,2026-06-04,0
000660.KS,SK hynix Inc.,Technology,Semiconductors,South Korea,KRW,1675257542760000.0,,-14.508263500000002,3.3411,,12.683292,12.41,-2.0069999999999997,0.4860699925,0.23488,0.43658000899999994,0.56188003,0.32550500000000004,1.847,3.7550000000000003,3.975,7.1175,0.861,2.174,25799822215168.0,54361531088896.0,21832415576064.0,1639140579868672.0,0.13,0.028399998,3000.0,1.08,375.0,1779926400.0,2.027,2407000.0,202155.24179216867,2360000.0,2076603.1,,38.0,,,0.20716,0.45203,False,False,,0.5,4934621.0,5697985.0,0.75,58.84,170.72,,,-2.75,0.7942,66.9,60.2,,True,0.8967380503864539,,1.0,Asia,True,True,,95.36765097632401,70.55256064690028,96.51298161259915,42.60077021367174,0.2699055330634278,34.29319371727749,67.86296900489397,50.0,,50.0,71.77836034898218,standard,3,9816488558,False,7,STARK,8,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,0.0,0.0035095505882054567,69.8,0.625,2026-06-04,0
WDC,Western Digital Corporation,Technology,Computer Hardware,United States,USD,194090499551.0089,-3.9311930000000004,9.154291999999998,0.486,20.520879975,16.48047,16.352,30.074,0.7109499475000001,0.08313,0.443910004,0.22657497499999998,0.0022200199999999892,0.321,4.617999999999999,5.163,-32.262,-0.22299999999999986,1.107,1254742112.0,3236999936.0,1724000000.0,192577503232.0,0.11,0.0269,0.6,3.23,0.125,1780617600.0,2.158,571.1799926757812,51.65702592460951,563.0999755859375,518.26086,1.52,23.0,3.82,0.097399995,0.0054400004,1.01205,False,False,,0.5,7860849.0,6020110.0,1.26,27.69,129.36,,,0.0,0.7402,77.6,43.45,,True,1.0228155827734613,,0.997,US,True,True,42.84345872920884,84.5572124874192,98.58490566037736,93.69060177134148,15.1531487380544,33.603238866396765,33.90052356020942,53.344208809135395,50.0,21.27659574468085,50.0,68.95341184434263,standard,4,3389923794,False,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,0.6,-0.04998962581157684,6.5,0.875,2026-06-04,0
V,Visa Inc.,Financial Services,Credit Services,United States,USD,526659167778.3186,9.9052525,9.218111,1.4736,14.265041500000002,14.025177,14.144,11.631499999999999,0.468090005,0.17257501,0.2665875275000001,0.3037575099999999,0.52572,0.11000000000000001,0.21799999999999997,0.315,-0.1805000000000021,-0.6394999999999998,0.669,20019491680.0,13912999936.0,23975999488.0,608561201152.0,0.84,0.2197,2.68,0.7,0.67,1778544000.0,0.784,372.56717031581684,293.2820187246287,317.32000732421875,398.74313,1.34211,35.0,3.54,0.0156,0.00084,0.91693,False,False,,0.5,7443055.0,9380780.0,1.256575385333724,-3.06,-0.89,-4.73,,-0.14828779182225393,0.22142653457692738,38.972341078620275,0.005481006365579244,-0.03629514345073115,False,0.09575913458202112,,0.869,US,True,True,71.55459188274159,95.90664862851563,55.49792771643046,70.91826733376058,51.683752275134985,22.807017543859647,67.60471204188482,84.99184339314844,50.0,81.91489361702128,50.0,68.58330870515746,standard,5,2976709178,False,7,STARK,8,NEDTREND,True,4,0.5714285714285714,MEDEL,EJ AKTUELL,-0.5,-0.007093101739883423,52.7,0.875,2026-06-04,0
CPRX,"Catalyst Pharmaceuticals, Inc.",Healthcare,Biotechnology,United States,USD,3826853675.8615723,-8.693193999999998,-5.279560750000001,,0.27220895,6.410591,5.149,-3.2729999999999997,0.12107501500000004,0.10173499999999999,0.24781999700000007,0.2955524975,0.38830005,-0.022,0.0040000000000000036,0.123,-58.719500000000004,5.074249999999999,6.701,-648448080.0,755859008.0,2681000.0,3073675520.0,,0.0,,,,,0.718,32.560001373291016,19.049999237060547,31.270000457763672,32.6,2.66667,5.0,2.28,0.07,0.05573,0.89406997,False,False,,0.5,2070236.0,2277720.0,0.8,1.36,28.62,,,-0.16,0.3375,65.0,11.07,,False,0.6343352686578398,,1.0,US,True,True,,89.98905436993303,80.99730458221023,55.065426253203256,70.34251677169165,94.60188933873145,12.172774869109947,4.567699836867863,50.0,26.74772036474164,50.0,68.49423505018738,standard,6,71224305,False,5,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,OK,0.2,0.0003743109991773963,66.0,0.875,2026-06-04,0
2330.TW,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,Taiwan,TWD,62885997412475.0,3.574765000000003,-0.9020085000000027,1.1622,6.043019425000001,15.323457,14.491,0.9390000000000018,0.23644999249999998,0.12922001,0.33273000900000005,0.42757999999999996,0.260815,0.21699999999999997,0.373,0.583,12.282499999999999,0.732,2.187,709926586368.0,3383596154880.0,1094369804288.0,59471241936896.0,1.01,0.2785,24.0,1.71,7.0,1781136000.0,1.264,2440.0,936.0327758789062,2425.0,2589.5757,1.33333,33.0,,,0.00022,0.43526,False,False,,0.5,36185165.0,34416835.0,0.82,3.25,25.94,,,-1.65,0.3247,63.3,11.95,,True,1.0839090352102825,,0.927,Asia,True,True,71.28485002500265,92.21516889703919,64.4878706199461,80.54752414446372,56.6395915795117,2.42914979757085,67.60471204188482,62.31647634584013,50.0,,50.0,68.3641067655231,standard,7,2587285571,False,5,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,VÄNTA,0.6,0.08494773507118225,95.7,0.875,2026-06-04,0
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,United States,USD,253845356140.13672,-11.712651000000001,-0.1722140000000003,0.9642,2.9477269749999997,5.7061853,5.829,0.9960000000000022,0.2125699975,0.06357,0.114130014,0.07707499500000001,0.09592999999999996,-0.169,1.519,1.621,5.9069999999999965,0.6530000000000002,1.448,8769366880.0,9799000064.0,15269999616.0,259316367360.0,1.53,0.38279998,3.68,2.12,0.89,1780531200.0,1.493,259.9200134277344,121.98999786376953,240.83999633789062,177.09677,2.64103,31.0,1.88,0.053600002,0.0012800001,0.84575,False,False,,0.5,19522593.0,24305780.0,0.8,34.02,82.49,,,-0.4,0.5621,62.0,45.12,,True,0.7787493239962674,,0.87,US,True,True,88.26297064441293,77.20852187474335,78.23450134770889,66.06945139360701,46.49419874476829,29.554655870445345,67.60471204188482,86.7862969004894,50.0,36.17021276595745,50.0,68.2071607115826,standard,8,5853803966,False,5,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,OK,2.1,-0.03626810759305954,12.0,0.875,2026-06-04,0
CRDO,Credo Technology Group Holding Ltd,Technology,Semiconductors,Cayman Islands,USD,42239036260.0,88.90991700000001,3.7426579999999987,,14.091626975,31.636976,30.611,67.99499999999999,0.1958199975,0.11581,0.244790004,0.213104975,0.22829007,1.436,3.205,3.622,-49.07300000000001,8.440000000000001,8.507,,1443286016.0,20617000.0,40869736448.0,,0.0,,,,,3.176,245.9499969482422,66.75,229.0,231.58556,1.33333,18.0,1.73,0.0683,0.11137,0.76583,False,False,,0.5,7243376.0,8674640.0,1.09,10.86,87.03,,,-9.08,0.9235,59.0,29.17,,True,0.8271909899181878,,1.0,US,True,True,,87.92792922207747,58.692722371967655,96.26401131718984,34.06232742194443,63.292847503373814,12.172774869109947,,50.0,27.96352583586626,50.0,68.04232202003328,standard,9,1986492560,False,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,STARK,5.9,0.007842596620321274,74.4,0.875,2026-06-04,0
NTAP,"NetApp, Inc.",Technology,Software - Infrastructure,United States,USD,34659111335.55908,-9.993071,-5.001991,1.9344,23.631820975,5.0234394,4.838,-1.2729999999999997,0.9190799975,0.03488999999999999,0.07531001400000001,0.129074995,0.25537999999999994,-0.009000000000000008,0.023999999999999994,0.188,134.014,-0.2769999999999999,1.211,578117088.0,3584000000.0,2487000064.0,33504079872.0,1.18,0.32759997,2.08,2.29,0.52,1783641600.0,1.267,192.8300018310547,93.21255900816845,175.63999938964844,163.06667,2.47368,15.0,11.04,0.1402,0.00592,1.05108,False,False,,0.878,2760187.0,5725540.0,0.59,58.65,78.25,,,0.0,0.4995,91.5,55.28,,True,1.0093342714970543,,0.893,US,True,True,,80.66457039833946,96.15902964959568,54.7993956950875,24.479010398245205,67.61133603238866,67.60471204188482,70.14681892332788,50.0,11.854103343465045,97.8,67.7468481761647,standard,10,1005633842,False,4,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,0.8,0.077091284096241,95.0,0.875,2026-06-04,0
