ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,insider_recent_date,earnings_surprise,exchange_group,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,piotroski_f,piotroski_label,piotroski_boost,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_delta_4w,predicted_return,ml_rank,data_quality,data_fetched_date,data_stale_days,_fundamentals_neutralized,data_anomaly
EXEL,"Exelixis, Inc.",Healthcare,Biotechnology,United States,USD,12200775958.942451,-13.922740999999998,-6.365380750000002,2.56,0.4330707874999997,5.136107,4.88,-4.817000000000002,0.24978500800000003,0.151885,0.22493624474999993,0.22210500500000002,0.482472515,0.022000000000000006,0.329,0.319,-47.828500000000005,1.13175,3.01,-470182400.0,777206976.0,169540992.0,11593109504.0,,0.0,,,,,0.385,52.959999084472656,33.7599983215332,48.540000915527344,49.64706,2.1,17.0,10.6,0.16379999,0.01822,1.07531,False,False,,0.5,2667117.0,2483600.0,0.36,13.85,24.17,,,0.0,0.3714,60.3,12.34,,False,0.37053289535260775,,1.0,US,True,,93.35936894352866,90.33430232558139,70.92513589358542,68.19192447466173,84.07557354925777,12.172774869109947,23.24058919803601,50.0,8.51063829787234,50.0,72.82381531366099,standard,1,120553946,False,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,-0.9,-0.02579912729561329,12.7,0.875,2026-06-05,0,True,SUSPICIOUS_FWD_PE;
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,United States,USD,948946638965.9304,7.740228999999999,5.573485249999998,1.4507,24.5478997875,13.134391,13.662,10.677999999999997,0.914505008,0.13896501,0.22395624474999995,0.3044750050000001,0.34635251499999997,0.47700000000000004,1.592,1.681,82.42849999999999,-0.6292499999999999,0.721,8057298048.0,5281999872.0,43370000384.0,987034615808.0,0.65,0.22129999,6.92,0.89,1.73,1778803200.0,0.481,1149.0999755859375,619.3983893784804,1064.1500244140625,1215.1034,1.74194,29.0,2.44,0.0095,0.00156,0.85323995,False,False,,0.5,3091704.0,3283510.0,0.74,17.71,13.81,,,0.0,0.3895,73.1,17.85,,True,0.6882827943783447,,1.0,US,True,54.99613707291783,94.10690726020428,84.26598837209303,93.47071064130999,41.97269679685317,19.298245614035086,67.60471204188482,60.06546644844517,50.0,93.16109422492401,50.0,72.38133272290862,standard,2,3494147247,False,7,STARK,8,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,0.5,-0.051385801285505295,2.8,0.875,2026-06-05,0,True,
000660.KS,SK hynix Inc.,Technology,Semiconductors,South Korea,KRW,1675257542760000.0,,-14.566085375,3.3411,,12.683292,12.41,-1.7409999999999997,0.48243999,0.226325,0.45036750499999995,0.57599503,0.312555,1.847,3.7550000000000003,3.975,7.1175,0.8005000000000002,2.174,25799822215168.0,54361531088896.0,21832415576064.0,1639140579868672.0,0.13,0.028399998,3000.0,1.08,375.0,1779926400.0,2.027,2407000.0,202155.24179216867,2360000.0,2076603.1,,38.0,,,0.20716,0.45203,False,False,,0.5,4934621.0,5697985.0,1.11,,,,,,0.7974,67.3,,,True,0.8967380503864539,,1.0,Asia,True,,95.47601989651703,,96.51298161259915,43.20504075997633,0.2699055330634278,34.29319371727749,72.50409165302783,50.0,,50.0,72.35475344739694,standard,3,9816488558,False,7,STARK,8,UPPTREND,False,2,0.2857142857142857,LÅG,OK,0.0,0.14331163465976715,95.7,0.625,2026-06-05,0,True,SUSPICIOUS_FWD_PE;
V,Visa Inc.,Financial Services,Credit Services,United States,USD,526659167778.3186,6.678002500000002,6.114480999999999,1.4736,11.837098037500002,14.025177,14.144,8.377499999999998,0.431890008,0.16509501,0.26361377525000007,0.3090300174999999,0.495812515,0.11000000000000001,0.21799999999999997,0.315,2.217500000000001,-0.7369999999999998,0.669,19740447872.0,13912999936.0,23975999488.0,608561201152.0,0.84,0.2197,2.68,0.7,0.67,1778544000.0,0.784,372.56717031581684,293.2820187246287,317.32000732421875,398.74313,1.34211,35.0,3.54,0.0156,0.00084,0.91693,False,False,,0.5,7443055.0,9380780.0,1.256575385333724,-3.06,-0.89,-4.73,,-0.14828779182225393,0.22142653457692738,38.972341078620275,0.005481006365579244,-0.03629514345073115,False,0.09575913458202112,,0.869,US,True,75.44820119750739,95.90664862851563,57.86085715131073,70.91826733376058,62.42049958133026,22.807017543859647,67.60471204188482,86.08837970540098,50.0,81.91489361702128,50.0,70.81001084848599,standard,4,2976709178,False,7,STARK,8,NEDTREND,True,5,0.7142857142857143,HÖG,EJ AKTUELL,-0.5,0.008398648351430893,66.0,0.875,2026-06-05,0,True,
2330.TW,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,Taiwan,TWD,62885997412475.0,1.8659580000000027,-0.9598303750000015,1.1622,5.620937475000001,15.323457,14.491,1.2050000000000018,0.23281998999999998,0.12066500999999999,0.34651750500000006,0.44169499999999995,0.247865,0.21699999999999997,0.373,0.583,12.282499999999999,0.6715000000000002,2.187,709926586368.0,3383596154880.0,1094369804288.0,59471241936896.0,1.01,0.2785,24.0,1.71,7.0,1781136000.0,1.264,2440.0,936.0327758789062,2425.0,2589.5757,1.33333,33.0,,,0.00022,0.43526,False,False,,0.5,36185165.0,34416835.0,1.09,,,,,,0.326,67.1,,,True,1.0839090352102825,,0.927,Asia,True,72.74440637992903,92.51546835095478,,80.54752414446372,56.63923797112834,2.42914979757085,67.60471204188482,66.12111292962356,50.0,,50.0,69.88237522962702,standard,5,2644680275,False,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,0.6,0.0351545624434948,80.2,0.875,2026-06-05,0,True,SUSPICIOUS_FWD_PE;
7974.T,"Nintendo Co., Ltd.",Communication Services,Electronic Gaming & Multimedia,Japan,JPY,8596645204241.0,0.7205334999999984,0.0,3.6088,0.515419175,3.716583,2.743,6.649499999999999,0.015297499999999978,0.0205550039999998,0.088767495,0.009785002750000042,0.11615500499999992,0.8899999999999999,0.4704999999999999,0.567,,2.4751250000000002,3.11,239468115968.0,2216856125440.0,0.0,6345204957184.0,2.95,0.60080004,219.0,2.66,177.0,1774828800.0,0.158,14463.939554412957,6849.0,7457.0,10641.074,1.85185,26.0,,,0.00733,0.51716,False,False,,0.5,11379418.0,9665050.0,1.19,,,,,,0.422,52.7,,,True,0.7769958886634084,,1.0,Japan,True,79.60288093035548,64.50021411212565,,86.83839191092102,72.50782353851912,9.041835357624832,67.60471204188482,89.36170212765957,50.0,,50.0,68.97906856051362,standard,7,449569485,False,5,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,OK,-0.3,0.08505120128393173,90.1,0.75,2026-06-05,0,True,SUSPICIOUS_FWD_PE;
PUUILO.HE,Puuilo Oyj,Consumer Cyclical,Department Stores,Finland,EUR,1103470802.2148314,-3.0141700000000036,-1.923680500000001,,7.500790350000001,2.494847,2.801,-1.8192500000000003,0.39416500499999996,0.08861001000000002,0.0662000035,0.04507499499999998,-0.05268000000000002,0.088,0.023000000000000007,0.143,100.56325000000002,1.053,0.667,-930787500.0,33000000.0,163400000.0,1238738432.0,5.02,0.69699997,0.66,,0.33,1791936000.0,0.61,14.52934106278931,11.00821617219834,13.119999885559082,14.25,,2.0,,,0.07625,0.4893,False,False,,0.5,127569.0,54204.0,2.2,10.88,20.74,,,0.0,0.2754,80.0,9.92,,True,0.7813068863759737,,0.376,Nordic,True,,72.94944559657881,88.95348837209303,45.32308395382078,60.85246490189962,98.11066126855602,67.60471204188482,,50.0,,50.0,68.79532852263407,standard,8,819966,False,3,SVAG,-8,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,0.5,-0.0038194674998521805,50.1,0.875,2026-06-05,0,True,SUSPICIOUS_FWD_PE;
CRDO,Credo Technology Group Holding Ltd,Technology,Semiconductors,Cayman Islands,USD,42239036260.0,85.68266700000001,0.639027999999997,,11.6636835125,31.636976,30.611,64.74099999999999,0.15962000050000003,0.10833,0.24181625174999996,0.2183774825,0.19838258500000006,1.436,3.205,3.622,-46.675000000000004,8.342500000000001,8.507,,1443286016.0,20617000.0,40869736448.0,,0.0,,,,,3.176,245.9499969482422,66.75,229.0,231.58556,1.33333,18.0,1.73,0.0683,0.11137,0.76583,False,False,,0.5,7243376.0,8674640.0,1.08,13.08,83.59,,,-9.79,0.9195,65.5,24.76,,True,0.8271909899181878,,1.0,US,True,,87.62777947996666,60.68313953488372,96.26401131718984,34.20192592538411,63.292847503373814,12.172774869109947,,50.0,27.96352583586626,50.0,68.51725606062244,standard,9,1986492560,False,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,OK,5.9,0.0897059440612793,90.8,0.875,2026-06-05,0,True,SUSPICIOUS_FWD_PE;
6857.T,Advantest Corporation,Technology,Semiconductor Equipment & Materials,Japan,JPY,20064178889820.0,19.13838150000001,86.230139,2.0344,20.053466049999997,17.777779,16.636,17.719499999999996,0.4648949924999999,0.25859000299999974,0.25091750399999996,0.3717250027500001,0.3665449649999999,0.27799999999999997,1.993,2.171,-8.616999999999999,0.48312500000000025,1.722,203025381376.0,339966001152.0,20192000000.0,18775801856000.0,0.23,0.1149,60.0,0.82,30.0,1774828800.0,1.199,32400.0,7138.927068884628,27660.0,32795.0,1.75,20.0,,,0.00279,0.66172,False,False,,0.5,9835703.0,8475320.0,0.87,,,,,,0.6723,60.1,,,False,0.5818596212937603,,1.0,Japan,True,55.28682233585101,95.04376433664791,,92.8385510646237,35.037286003211086,5.937921727395412,67.60471204188482,65.13911620294598,50.0,,50.0,67.67842001170213,standard,10,1462301270,False,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,OK,4.6,-0.02608511969447136,12.5,0.875,2026-06-05,0,True,
9999.HK,"NetEase, Inc.",Communication Services,Electronic Gaming & Multimedia,China,HKD,624697582470.0,-0.16728500000000324,-0.7338103749999978,1.3184,0.9861720999999999,5.46119,4.167,0.05900000000000105,0.0695525075,0.064890001,0.166957496,0.232475,0.286015,0.0,-0.0695,0.036,-26.999000000000002,2.0335000000000005,3.089,24916981760.0,170903830528.0,10955459584.0,476627959808.0,2.28,0.3966,4.51,1.89,0.144,1780531200.0,0.799,247.55646464252385,168.8000030517578,195.0,250.04669,1.30435,22.0,,,0.44055998,0.26652,False,False,,0.5,6616351.0,10107891.0,0.89,,,,,,0.3408,63.1,,,True,0.8146181087866764,,0.506,Asia,True,95.1378455032479,84.7502279771359,,37.47928242548536,64.290651618165,21.45748987854251,67.60471204188482,93.45335515548283,50.0,,50.0,67.13982530023296,standard,11,251584490,False,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,-1.5,0.11886972188949585,93.6,0.875,2026-06-05,0,True,SUSPICIOUS_FWD_PE;
