ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,insider_recent_date,earnings_surprise,exchange_group,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,piotroski_f,piotroski_label,piotroski_boost,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_delta_4w,predicted_return,ml_rank,_fundamentals_neutralized,data_quality,data_anomaly,data_fetched_date,data_stale_days
EXEL,"Exelixis, Inc.",Healthcare,Biotechnology,United States,USD,13246413065.86871,-12.329975500000003,-5.950968,2.56,1.4213384749999998,5.5762844,5.32,-3.809249999999999,0.24798000650000002,0.15150999999999998,0.22518499250000001,0.2192950150000001,0.48183251499999996,0.018000000000000002,0.324,0.319,-48.123,1.140125,3.01,-475216704.0,777206976.0,169540992.0,12638746624.0,,0.0,,,,,0.435,52.97999954223633,33.7599983215332,52.70000076293945,49.64706,2.1,17.0,10.6,0.16379999,0.01821,1.0753,False,False,,0.803,2646884.0,2497150.0,0.24,6.01,26.23,,,0.0,0.3658,66.0,11.54,,True,1.0016617971973654,,1.0,US,True,,93.25144755785516,91.53627311522047,70.4707083349473,67.54689420094341,82.14765100671141,12.190352020860495,23.895253682487724,50.0,8.761329305135952,90.30000000000001,73.73072729444677,standard,1,131599807,False,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,1.3,-0.014998098835349083,24.9,True,0.875,SUSPICIOUS_FWD_PE;,2026-06-09,0
V,Visa Inc.,Financial Services,Credit Services,United States,USD,537032354853.3186,8.004976499999994,6.525639000000002,1.4618,12.685393125,14.301421,14.417,8.942749999999998,0.4287475065,0.16476001,0.2615825225,0.30411254,0.4951725150000001,0.11000000000000001,0.21999999999999997,0.315,2.103500000000011,-0.729875,0.669,19735413568.0,13912999936.0,23975999488.0,620338937856.0,0.83,0.2197,2.68,0.7,0.67,1778544000.0,0.765,372.56717031581684,293.2820187246287,323.57000732421875,398.63916,1.33333,36.0,3.54,0.0156,0.00084,0.91694,False,False,,0.683,7502390.0,8994570.0,0.8786716938988683,1.71,2.17,-1.43,,-0.131512293340458,0.22335091665523274,47.62009152622784,0.022374160102517138,-0.016309450391939206,False,0.4518116799000119,,0.869,US,True,73.66418964938853,95.89634479853643,59.79088893863139,70.97895445051682,61.97989601413671,22.818791946308725,67.34028683181225,85.27004909983633,50.0,82.02416918429003,68.30000000000001,70.97572909492459,standard,2,2910373081,False,7,STARK,8,NEDTREND,True,5,0.7142857142857143,HÖG,EJ AKTUELL,5.3,-0.012505747377872467,29.2,True,0.875,,2026-06-09,0
CRDO,Credo Technology Group Holding Ltd,Technology,Semiconductors,Cayman Islands,USD,38160847974.02069,75.36326274999999,-1.0390549999999994,,10.517715100000002,28.58242,27.553,55.93875,0.16130500650000001,0.10823000000000002,0.24299499750000003,0.21949748500000002,0.19774258500000005,1.436,3.2039999999999997,3.622,-46.9695,8.380625,8.507,,1443286016.0,20617000.0,36786397184.0,,0.0,,,,,3.229,245.9499969482422,66.75,206.88999938964844,256.30304,1.33333,18.0,1.73,0.0683,0.11137,0.76611,False,False,,0.605,7252263.0,8815920.0,1.02,8.65,97.05,,,-3.23,0.9249,72.8,29.98,,False,0.5440891825292328,,1.0,US,True,,87.65059024974246,65.04267425320056,96.29355896815423,33.97553530891735,65.50335570469798,12.190352020860495,,50.0,28.700906344410875,60.5,70.04463131625423,standard,3,1823925683,False,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,5.5,0.06053939089179039,85.6,True,0.875,SUSPICIOUS_FWD_PE;,2026-06-09,0
2330.TW,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,Taiwan,TWD,61330055208455.0,3.425215250000001,0.08032474999999994,1.1678,5.687721975,14.94432,14.397,1.2800000000000011,0.23764749749999997,0.1218600098,0.347062503,0.4461674925,0.247865,0.21699999999999997,0.372,0.583,12.282499999999999,0.7185,2.187,709926586368.0,3383596154880.0,1094369804288.0,59082257989632.0,1.01,0.2785,24.0,1.71,7.0,1781136000.0,1.25,2440.0,976.4299642131556,2365.0,2589.5757,1.33333,33.0,,,0.00022,0.43507,False,False,,0.5,35449288.0,33738465.0,0.95,,,,,,0.3284,62.0,,,True,0.7785328973620411,,0.927,Asia,True,72.65123867806568,92.59988366248228,,80.374372275938,56.56920997431039,2.4161073825503356,67.34028683181225,66.12111292962356,50.0,,50.0,69.8284035717741,standard,4,2524567078,False,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,7.0,0.7100117802619934,98.9,True,0.875,SUSPICIOUS_FWD_PE;,2026-06-09,0
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,United States,USD,1008934100764.3748,10.383699499999999,6.461766000000001,1.5167,26.917522475,13.964679,14.492,12.281750000000002,0.9127000064999999,0.13859000999999999,0.22420499250000003,0.30166501500000004,0.345712515,0.47300000000000003,1.587,1.681,82.134,-0.6208749999999998,0.721,8052263744.0,5281999872.0,43370000384.0,1047022075904.0,0.61,0.22129999,6.92,0.89,1.73,1778803200.0,0.517,1166.2900390625,619.3984502312096,1131.4200439453125,1215.1034,1.74194,29.0,2.44,0.0095,0.00156,0.85327005,False,False,,0.42,3102606.0,3169140.0,0.6,18.53,14.64,,,-0.43,0.3881,73.3,16.48,,True,0.8891682484574605,,1.0,US,True,52.94019578940948,94.1575886878978,61.16642958748221,93.42823487894404,41.150422464762556,19.06040268456376,67.34028683181225,58.59247135842881,50.0,93.202416918429,42.0,67.87524159715086,standard,6,3585628518,False,7,STARK,8,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,8.8,-0.04043368250131607,6.4,True,0.875,,2026-06-09,0
6857.T,Advantest Corporation,Technology,Semiconductor Equipment & Materials,Japan,JPY,19414958350905.0,18.884733749999995,83.53164350000002,2.1208,19.773486675,17.20254,16.922,18.118499999999997,0.46923500250000005,0.25890000149999987,0.25354,0.37719999400000004,0.37737996499999993,0.27799999999999997,1.9920000000000002,2.171,-10.628499999999997,0.49749999999999994,1.722,202976600064.0,339966001152.0,20192000000.0,19098656309248.0,0.22,0.1149,60.0,0.82,30.0,1774828800.0,1.199,32400.0,7489.7444940560135,26765.0,32845.0,1.75,20.0,,,0.00279,0.65973,False,False,,0.5,9763473.0,8467830.0,1.05,,,,,,0.6826,48.3,,,False,0.45269525654200754,,1.0,Japan,True,54.226753819723285,95.22510860613224,,92.86400275382022,34.6843129960771,6.174496644295302,67.34028683181225,64.1571194762684,50.0,,50.0,67.48275742777132,standard,7,1413787696,False,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,OK,1.6,0.11204355955123901,93.6,True,0.875,,2026-06-09,0
000660.KS,SK hynix Inc.,Technology,Semiconductors,South Korea,KRW,1469399624370000.0,,-13.820790249999998,2.9268,,11.124752,10.855,-3.7699999999999996,0.48726749750000004,0.2275199998,0.45091250299999996,0.5804675225,0.312555,1.847,3.754,3.975,7.1175,0.8475,2.174,25799822215168.0,54361531088896.0,21832415576064.0,1433734440026112.0,0.14,0.028399998,3000.0,1.08,375.0,1779926400.0,2.027,2407000.0,221076.1845768374,2070000.0,2076603.1,,38.0,,,0.20716,0.45224,False,False,,0.5,4863821.0,5697985.0,1.14,15.56,106.85,,,-19.13,0.8203,53.9,29.5,,False,0.571953600162036,,1.0,Asia,True,,95.57578119924642,52.63157894736842,96.54170549044474,43.12414116526205,0.2684563758389262,34.419817470664924,74.14075286415712,50.0,,50.0,67.01587409532466,standard,8,8610225134,False,7,STARK,8,UPPTREND,False,2,0.2857142857142857,LÅG,OK,14.9,0.010922778397798538,68.0,True,0.625,SUSPICIOUS_FWD_PE;,2026-06-09,0
SPG,"Simon Property Group, Inc.",Real Estate,REIT - Retail,United States,USD,68199728121.01611,-19.721475000000005,4.46372,4.58,9.83800616,12.019625,14.765,-2.60225,1.0295950015,0.019379999500000005,0.44478999750000003,0.055037494999999964,0.33321251500000004,0.136,-0.07150000000000001,0.159,367.338,-0.5073749999999999,0.195,1390354496.0,542955008.0,28989048832.0,98165899264.0,4.18,0.60150003,8.8,5.11,2.2,1780963200.0,1.346,211.22999572753906,150.01148310449148,210.30999755859375,214.4,2.19048,20.0,0.0,0.0,0.01799,0.95075,False,False,,0.328,1585788.0,1701550.0,0.49,5.3,11.66,,,0.0,0.197,70.6,5.09,,True,1.0885792091304753,,0.0,US,True,,84.41565320402684,83.92603129445234,41.547909646163795,33.89966048607215,54.09395973154363,67.34028683181225,69.88543371522094,50.0,99.0,32.800000000000004,65.6707742648687,standard,9,357852976,False,4,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,3.5,-0.006202071905136108,44.1,True,0.875,,2026-06-09,0
CSX,CSX Corporation,Industrials,Railroads,United States,USD,87313947962.26437,-5.393832,-1.063725999999999,2.1433,0.048243874999999825,6.170161,7.465,-4.187250000000001,0.04594999650000001,0.008094999000000002,0.10803499750000001,0.22598751500000003,-0.01444745499999996,-0.046,0.193,0.249,69.27000000000001,-0.5126249999999999,0.775,25538880.0,1108999936.0,19428999168.0,105639944192.0,1.19,0.3252,0.56,1.31,0.14,1780012800.0,1.222,47.25,31.396510299924657,46.9900016784668,46.15909,2.0,22.0,2.63,0.0182,0.00233,0.82019997,False,False,,0.738,13000001.0,13952790.0,0.33,5.73,17.26,,,0.0,0.2292,59.8,6.28,,False,0.9106524001752726,,0.714,US,True,,68.13545192754741,87.33997155049786,52.50450926578223,41.81223724291177,48.053691275167786,67.34028683181225,49.42716857610475,50.0,78.54984894259819,73.8,65.391450484049,standard,10,655641626,False,4,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,OK,10.0,-0.005878644064068794,44.7,True,0.875,SUSPICIOUS_FWD_PE;,2026-06-09,0
VICI,VICI Properties Inc.,Real Estate,REIT - Diversified,United States,USD,29999096667.03447,-24.795389000000007,-17.401345,,-3.2601141399999998,7.424723,11.738,-10.689250000000001,0.0070050014999999966,0.0175699995,0.5071499975,0.6961873949999999,0.5088025150000001,-0.021999999999999992,0.36549999999999994,0.605,-28.281999999999993,10.416625,11.119,180943936.0,486896000.0,17701677056.0,47428169728.0,6.46,0.6104,1.8,5.15,0.45,1781740800.0,0.676,32.478809197109385,26.549999237060547,27.860000610351562,34.17391,1.79167,23.0,3.68,0.031,0.0028400002,0.98072,False,False,,0.734,8410315.0,8554640.0,0.41,-3.25,0.05,,,-6.34,0.1802,44.3,-0.79,,False,0.32474517249743023,,0.723,US,True,,83.68692544130269,34.28165007112375,60.84292285434378,86.40723302001493,69.26174496644295,67.34028683181225,53.0278232405892,50.0,58.76132930513596,73.4,64.12415842198281,standard,11,238332276,False,5,NEUTRAL,0,VARNING,False,4,0.5714285714285714,MEDEL,VÄNTA,1.3,-0.0017904716078191996,53.3,True,0.875,SUSPICIOUS_FWD_PE;,2026-06-09,0
