ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,total_assets,total_assets_prev,revenue_ttm,revenue_prev,revenue_2y_ago,operating_income_ttm,operating_income_prev,net_income_ttm,operating_cashflow_ttm,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,insider_recent_date,earnings_surprise,exchange_group,_fundamentals_neutralized,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,mews_score,mews_flag,mews_fcf_yield,mews_small_size,mews_low_ps,mews_operating_leverage,mews_revenue_accel,mews_clean_accruals,piotroski_f,piotroski_label,piotroski_boost,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_delta_4w
MU,"Micron Technology, Inc.",Technology,Semiconductors,United States,USD,1106014698987.7625,-12.915924,-13.9834408,0.1457,9.5297497,12.251754,12.034,-2.8610000000000007,0.52448,0.289309999,0.452290002,0.65993753,0.27362999999999993,3.3274999999999997,13.483,13.983,-42.8865,1.7389999999999999,2.927,6798242592.0,26022000640.0,6376000000.0,1086368710656.0,82798000000.0,,37378000000.0,,,9809000000.0,,8539000000.0,17525000000.0,0.05,0.0112,0.53,0.33,0.15,1783296000.0,2.142,1254.8069810301963,103.21433303891678,979.2999877929688,1486.0,1.42222,42.0,0.55,0.028099999,0.0025499999,0.81311995,False,False,,0.456,51537644.0,55761390.0,0.5883329872591259,4.65,132.37,188.58,,-0.21956125316663155,0.7598337366056439,40.4435338385203,0.08941349841853374,1.109195811123985,False,0.2819974941534497,,1.0,US,True,True,,95.25316859568613,78.49829351535836,98.20665383073782,31.64329298641088,16.638078902229847,24.582637729549248,54.472361809045225,50.0,68.61804222648752,45.6,77.64191589257497,standard,6,54607128546,False,42.1,False,62.93823038397329,16.193656093489146,9.515859766277128,50.04173622704508,50.04173622704508,50.04173622704508,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,OK,11.1
000660.KS,SK hynix Inc.,Technology,Semiconductors,South Korea,KRW,1547483662380000.0,,-11.010115199999998,2.9836,,11.715922,11.445,-0.5625000000000018,0.492269995,0.238979999,0.438355004,0.56259253,0.32550500000000004,1.8515000000000001,3.7640000000000002,3.975,7.760999999999999,0.8839999999999999,2.174,25799822215168.0,54361531088896.0,21832415576064.0,1511647160041472.0,176107659000000.0,,97146675000000.0,,,47206319000000.0,,42919287000000.0,53373126000000.0,0.14,0.028399998,3000.0,1.06,375.0,1779926400.0,2.027,2987000.0,243980.453125,2180000.0,3221475.2,1.43243,37.0,,,0.20716,0.41442,False,False,,0.5,5355752.0,5892603.0,0.813441774059846,3.76,111.07,213.85,,-0.27017073987278206,0.7799759924875282,33.22741715842034,0.017299310097006915,1.026495190887326,False,0.1933437583743126,,1.0,Asia,True,True,,96.07508303543803,75.45506257110353,96.42266540982807,42.57063408160599,0.17152658662092624,34.14023372287146,69.54773869346734,50.0,,50.0,84.42762566804967,standard,1,9377488414,False,42.6,False,72.95492487479132,2.5459098497495827,9.93322203672788,50.04173622704508,50.04173622704508,50.04173622704508,7,STARK,8,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,12.5
2330.TW,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,Taiwan,TWD,62626673711805.0,6.522662999999998,3.0314075000000003,1.1813,6.674689800000001,15.260266,14.713,4.091499999999998,0.24264999499999998,0.13332000900000002,0.33450500400000005,0.42829249999999996,0.260815,0.22149999999999997,0.38199999999999995,0.583,12.925999999999998,0.7549999999999999,2.187,709926586368.0,3383596154880.0,1094369804288.0,60378876739584.0,7932842500000.0,,3809054300000.0,,,1936095600000.0,,1697604000000.0,2274975600000.0,0.99,0.2785,24.0,1.7,7.0,1789516800.0,1.246,2535.0,1070.727733037243,2415.0,2833.9707,1.32353,34.0,,,0.00022,0.43839002,False,False,,0.5,33980625.0,25832127.0,0.0,7.38,21.07,58.78,,-0.047337278106508895,0.3037418990058625,40.59405940594059,0.03533469201613637,0.33605861553596217,False,0.47881798919215207,,0.927,Asia,True,True,63.4956360751124,93.14776766777935,85.80773606370876,82.30684247738739,57.28124122149095,1.8867924528301887,67.15358931552588,62.51256281407035,50.0,,50.0,74.97286130374728,standard,10,1943505664,False,41.0,False,68.03005008347245,2.5459098497495827,7.262103505843072,50.04173622704508,50.04173622704508,50.04173622704508,5,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,OK,6.0
BNS.TO,BNS.TO,Unknown,Unknown,Unknown,USD,,,,,,,,,,,,,,,,,,,,,,,,1460042000000.0,,37097000000.0,,,,,7789000000.0,5407000000.0,,,,,,,,124.30000305175781,71.1762556605677,124.13999938964844,,,,,,,,False,False,,0.5,,,0.8007086081909512,10.04,24.24,25.94,,-0.0012872377971121507,0.15700515992608965,56.28412534954426,0.09652869893218297,0.24169473677003062,False,0.9299521709377832,,0.904,Canada,True,True,,,87.95506257110354,81.92821368948246,99.01877133105802,,12.186978297161936,,50.0,,50.0,66.23604816152279,standard,52,,True,44.6,False,28.17195325542571,50.04173622704508,50.04173622704508,50.04173622704508,50.04173622704508,50.04173622704508,1,SVAG,-8,UPPTREND,False,3,0.42857142857142855,LÅG,OK,8.1
CRDO,Credo Technology Group Holding Ltd,Technology,Semiconductors,Cayman Islands,USD,48072138918.85907,73.58569,9.0475335,,17.9696087,36.816055,34.944,78.48400000000001,0.20218,0.11976999900000003,0.246970002,0.21285748000000002,0.22829007,1.4405000000000001,3.23,3.622,-47.98349999999999,8.467,8.507,-590447056.0,1443286016.0,25448000.0,46654300160.0,2295619000.0,,1335116000.0,,,445005000.0,,472279000.0,464292000.0,,0.0,,,,,3.202,308.6700134277344,86.48500061035156,257.7900085449219,269.81342,,19.0,0.45,0.0321,0.10946,0.76171994,False,False,,0.5,8779331.0,11001510.0,0.4068920222482195,10.02,138.85,82.83,,-0.16483624151824028,0.8971433792826367,46.935840348425266,0.1462468907884673,0.6010315082956594,False,0.46531334935751767,,1.0,US,True,True,29.045150564854342,89.65051538707436,81.47042093287827,96.23270327354676,34.07396852999624,53.859348198970835,12.186978297161936,38.5929648241206,50.0,62.66794625719769,50.0,73.72805198326995,standard,13,2836079357,False,38.2,False,28.17195325542571,55.09181969949917,2.5459098497495827,50.04173622704508,50.04173622704508,50.04173622704508,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,STARK,12.4
EXEL,"Exelixis, Inc.",Healthcare,Biotechnology,United States,USD,14201562189.5,-10.017319999999998,-2.3948789999999995,2.56,3.607924,5.9783688,5.723,-0.04100000000000037,0.28175500000000003,0.15905,0.22630500299999998,0.22421499000000003,0.51238,0.0155,0.323,0.319,-49.73525000000001,1.23,3.01,-212137824.0,777206976.0,169540992.0,13593895936.0,2844423000.0,,2320126000.0,,,892701000.0,,782570000.0,884267000.0,,0.0,,,,,0.424,57.56999969482422,33.7599983215332,56.5,50.375,2.26316,16.0,10.18,0.15439999,0.01821,1.0683999,False,False,,0.463,2726155.0,2935470.0,1.124499394820079,6.62,24.42,22.32,,-0.018586063930801422,0.38992717593315157,70.14924873259315,0.10364065047623483,0.26694113498329775,True,0.8353716327547671,,1.0,US,True,True,,94.57762500717203,84.92605233219568,74.23903144106035,64.78743279127929,75.04288164665523,12.186978297161936,36.482412060301506,50.0,11.708253358925145,46.300000000000004,73.06694813131402,standard,15,165854055,False,44.5,False,28.17195325542571,75.70951585976627,23.78964941569282,50.04173622704508,50.04173622704508,50.04173622704508,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,6.7
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,United States,USD,115399444041.85219,27.921230999999995,25.448223499999997,3.6939,111.13181770000001,16.231724,15.848,28.928999999999995,1.18202,0.076470009,0.16814000199999998,0.1690575,0.35097999999999996,0.07150000000000001,0.08399999999999996,0.233,8.093500000000002,-0.5329999999999999,1.034,971792800.0,3294899968.0,567200000.0,112671744000.0,10389200000.0,,6799600000.0,,,2084700000.0,,1853400000.0,2590600000.0,,0.0,,,,,1.09,165.27999877929688,70.12000274658203,157.50999450683594,113.89189,2.75,37.0,2.12,0.0249,0.17386,0.72240996,False,False,,0.5,6308293.0,5881900.0,0.5514310029480495,13.82,95.28,96.84,,-0.04701115882047191,0.45425267925652646,62.529410567938115,0.173056089807208,0.6563575339016448,False,0.7181127974474992,,1.0,US,True,True,45.65419201269504,91.04033343784002,92.73321956769057,73.25115668445973,38.87658439817953,36.79245283018868,12.186978297161936,57.8894472361809,50.0,73.41650671785028,50.0,81.03568409527323,standard,2,926458037,False,45.0,False,64.60767946577629,35.80968280467446,6.67779632721202,50.04173622704508,50.04173622704508,50.04173622704508,8,STARK,8,UPPTREND,False,3,0.42857142857142855,LÅG,OK,16.5
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,United States,USD,235414326582.37637,27.855724,21.322311499999998,2.3587,11.6887117,24.174097,22.973,33.86,0.17330998,0.084199999,0.27640000200000003,0.28362748000000004,0.18330999999999997,0.22149999999999997,0.04799999999999999,0.257,,1.1430000000000002,2.176,3520980256.0,12353200128.0,0.0,223067324416.0,19448600000.0,,9005700000.0,,,3856100000.0,,3511400000.0,4371900000.0,,0.0,,,,,1.601,189.81700134277344,104.68099975585938,186.9600067138672,190.0881,1.3,27.0,2.62,0.0208,0.1727,0.72852,False,False,,0.5,9833406.0,9709990.0,0.6554244023267144,22.87,28.01,43.73,,-0.015051310518529704,0.5485833991783043,59.391643981536276,0.16597716145831742,0.29880059051616215,True,1.0592116053627512,,0.941,US,True,True,51.99871538141837,88.72183954328524,91.04095563139931,74.78519536843172,35.28109721363538,26.58662092624357,12.186978297161936,67.8391959798995,50.0,79.65451055662189,50.0,72.7453386839418,standard,17,1815379796,False,44.6,False,71.45242070116862,25.87646076794658,2.5459098497495827,50.04173622704508,50.04173622704508,50.04173622704508,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,OK,3.7
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,United States,USD,1059905961155.6252,14.370410000000003,9.962903,1.5739,30.243093999999996,14.670181,15.197,16.488999999999997,0.946475,0.14613001,0.225325003,0.30658499000000006,0.37625999999999993,0.47050000000000003,1.586,1.681,80.52174999999998,-0.5309999999999999,0.721,8315342624.0,5281999872.0,43370000384.0,1097994010624.0,112476000000.0,,65179000000.0,,,29696000000.0,,20640000000.0,16813000000.0,0.57,0.22129999,6.92,0.89,1.73,1786665600.0,0.506,1249.449951171875,619.3983893784804,1188.5799560546875,1240.4642,1.76667,28.0,2.74,0.0105,0.00155,0.85236,False,False,,0.284,3300485.0,3388710.0,0.6416728014857707,3.84,24.65,7.63,,-0.04871743366758852,0.3886482121478428,65.50344861227103,0.09409816232836787,0.19581609623963492,False,0.6187632893317456,,1.0,US,True,True,47.37713001095703,95.10766591206684,73.37883959044369,93.26276568642622,39.48990051620061,16.9811320754717,67.15358931552588,55.67839195979899,50.0,92.51439539347409,28.4,80.51191889741088,standard,3,4027752783,False,42.2,False,64.27378964941569,16.52754590984975,7.595993322203673,50.04173622704508,50.04173622704508,50.04173622704508,7,STARK,8,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,10.0
005930.KS,"Samsung Electronics Co., Ltd.",Technology,Consumer Electronics,South Korea,KRW,1642794692355000.0,,-11.4964205,0.2002,,4.8191686,4.566,-4.4415,0.069099995,0.062459999,0.084045004,0.2747525,0.11886503000000004,0.5625,4.719,4.867,0.26099999999999923,0.806,1.959,67558971344896.0,147378078220288.0,28138794909696.0,1773107723370496.0,566942110000000.0,,333605938000000.0,,,43601051000000.0,,44260956000000.0,85315148000000.0,0.52,0.1344,1488.0,2.19,372.0,1774828800.0,1.479,374500.0,59717.220081967214,285000.0,487814.5,1.35135,36.0,,,0.0967,0.48836,False,False,,0.5,30006587.0,29967982.0,0.645722258640581,-4.68,35.39,106.8,,-0.23898531375166887,0.6312373010478989,37.148217636022515,-0.06046020966572163,0.5739731659722145,False,0.1548706429000624,,0.838,Asia,True,True,,79.8154848444797,74.68714448236632,90.45156092317822,49.207213075154314,0.08576329331046312,67.15358931552588,87.23618090452261,50.0,,50.0,71.93803461017238,standard,19,6234838655,False,49.2,False,86.81135225375625,2.5459098497495827,30.550918196994992,50.04173622704508,50.04173622704508,50.04173622704508,6,NEUTRAL,0,VARNING,False,4,0.5714285714285714,MEDEL,OK,9.0
