ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,total_assets,total_assets_prev,revenue_ttm,revenue_prev,revenue_2y_ago,operating_income_ttm,operating_income_prev,net_income_ttm,operating_cashflow_ttm,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,insider_recent_date,earnings_surprise,exchange_group,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,mews_score,mews_flag,mews_fcf_yield,mews_small_size,mews_low_ps,mews_operating_leverage,mews_revenue_accel,mews_clean_accruals,piotroski_f,piotroski_label,piotroski_boost,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_delta_4w,_fundamentals_neutralized,data_quality,data_anomaly,data_fetched_date,data_stale_days
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,United States,USD,395745687083.09424,97.47735750000001,51.74933874999999,2.1481,34.51530838749999,67.14653,65.67,131.3195,0.18744000299999997,0.10120999,0.3827487734999999,0.32741998224999996,0.37039,0.764,1.879,2.25,-49.545625,5.491999999999999,7.095,948729536.0,9409098752.0,211400000.0,404263075840.0,8900392000.0,,4475446000.0,,,1414015000.0,,1625033000.0,2134473000.0,,0.0,,,,,1.563,207.52000427246094,106.37000274658203,172.00999450683594,189.90222,1.8125,27.0,1.73,0.0364,0.03492,0.61912,False,False,,0.583,43388227.0,59936790.0,1.29,35.67,24.83,,,0.0,0.6876,70.0,29.72,,True,1.1193433667718231,,1.0,US,True,37.5151844015613,92.99797065269401,91.28476247019687,94.33012590488757,39.85685743377766,25.13863216266174,12.30398069963812,51.74050632911392,50.0,53.333333333333336,58.3,70.76136652937673,standard,1,10309726919,False,44.1,False,76.04690117252932,14.656616415410383,2.554438860971524,50.041876046901166,50.041876046901166,50.041876046901166,9,STARK,8,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,9.2,True,0.875,,2026-08-10,0
DIVISLAB.NS,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,India,INR,,44.642911999999995,29.733178499999994,,7.19773755,19.561464,19.274,18.426499999999997,,,0.13126999600000006,0.16348497,0.20128995,0.19100000000000003,0.511,0.655,-18.1815,,,,32330000384.0,70000000.0,2164492468224.0,200330000000.0,,104760000000.0,,,29790000000.0,,25680000000.0,27380000000.0,0.36,0.3101,30.0,0.62,30.0,1784851200.0,0.22,8585.0,5613.352076705792,,8152.276,2.68966,29.0,,,0.52,0.29999,False,False,,0.5,446222.0,730024.0,0.42,19.74,20.03,,,-3.62,0.2351,76.6,16.82,,True,,,0.838,India,True,,80.8688387635756,55.23775362113973,78.11346903576319,87.27307348974404,,66.70687575392039,,50.0,,50.0,70.51683098552708,standard,2,,True,39.7,False,36.97654941373534,50.041876046901166,2.554438860971524,50.041876046901166,50.041876046901166,50.041876046901166,4,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,17.3,True,0.75,,2026-08-10,0
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,United States,USD,222323956604.0039,-6.130822500000001,-3.3109870000000043,2.1139,13.129491612499999,5.8359694,6.969,-2.1854999999999993,0.7475174960000001,0.01914499899999999,0.1176937555,0.16696001775000002,0.24134000000000003,0.008000000000000007,0.503,0.659,431.02362500000004,-0.536,0.95,7435249856.0,13989000192.0,57303998464.0,265485025280.0,90586000000.0,,36751000000.0,,,9080000000.0,,7711000000.0,9958000000.0,2.49,0.6087,10.08,3.07,2.52,1787270400.0,0.413,418.3999938964844,264.0224916487972,410.95001220703125,374.68967,2.47059,29.0,4.66,0.0238,0.0021600001,0.84912,False,False,,0.451,2731166.0,3152540.0,0.58,13.09,24.83,,,0.0,0.2549,78.7,13.53,,True,0.9840365722869604,,0.98,US,True,,82.16444287015418,91.28476247019687,72.82848210956708,44.93957030421427,31.608133086876155,66.70687575392039,82.91139240506328,50.0,69.27536231884058,45.1,70.47366180577957,standard,3,1295536351,False,51.5,False,90.87102177554439,18.174204355108877,23.785594639865998,50.041876046901166,50.041876046901166,50.041876046901166,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,10.7,True,0.875,SUSPICIOUS_FWD_PE;,2026-08-10,0
V,Visa Inc.,Financial Services,Credit Services,United States,USD,617740851575.0,11.9830975,7.898030499999997,1.6714,14.424149212499998,15.213195,15.214,9.3425,0.43385999799999997,0.16471999999999998,0.2455912505,0.27672249275,0.4996799999999999,0.04949999999999999,-0.09950000000000002,0.068,-0.4383750000000042,-0.7434999999999999,0.627,19193625792.0,13792000000.0,23857999872.0,676844994560.0,99627000000.0,,40000000000.0,,,26556000000.0,,20058000000.0,23059000000.0,0.72,0.22129999,2.68,0.7,0.67,1786406400.0,0.759,373.9700012207031,293.2820187246287,362.5,415.38947,1.375,37.0,2.42,0.0139,0.00081,0.88995004,False,False,,0.494,8205303.0,7441970.0,0.7134087652427853,4.11,13.06,10.59,,-0.03067091259529653,0.21912667346976525,52.19168074833619,0.05291163742411964,0.09807529514982027,False,0.5278064421166848,,0.862,US,True,71.14133805128952,95.0695384582451,73.53544938811842,50.81263562076494,51.54380204573812,21.626617375231053,66.70687575392039,83.22784810126582,50.0,87.10144927536231,49.4,69.40347938528551,standard,4,2697714125,False,47.7,False,89.44723618090453,12.311557788944723,6.61641541038526,50.041876046901166,50.041876046901166,50.041876046901166,6,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,-1.0,True,0.875,,2026-08-10,0
6098.T,"Recruit Holdings Co., Ltd.",Communication Services,Internet Content & Information,Japan,JPY,18327936072885.0,21.250669124999998,23.420461749999994,3.3472,9.482641450000001,4.957045,4.805,15.466249999999999,0.16588999899999984,0.111830004,0.028289999999999982,0.029534989999999997,0.32096000499999994,0.054000000000000006,0.5569999999999999,0.523,-28.691000000000003,0.3115000000000001,1.559,383167074304.0,725578022912.0,186275004416.0,17765209473024.0,2789018000000.0,,3697351000000.0,,,630567000000.0,,496912000000.0,610363000000.0,0.2,0.0719,26.0,0.36,13.0,1790640000.0,0.905,13320.0,6028.418262645158,13165.0,13018.75,1.4375,16.0,,,0.04445,0.54161,False,False,,0.5,5235990.0,4207370.0,1.37,32.07,107.24,,,0.0,0.5927,74.9,36.14,,False,0.9787677943739819,,1.0,Japan,True,61.89654543464779,77.19647160690381,98.12039995099565,77.72847130989015,42.3928774365688,4.805914972273567,66.70687575392039,75.9493670886076,50.0,,50.0,69.02435317314176,standard,6,349360309,False,48.8,False,86.18090452261306,2.554438860971524,29.061976549413735,50.041876046901166,50.041876046901166,50.041876046901166,6,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,VÄNTA,15.6,True,0.875,,2026-08-10,0
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,United States,USD,3712698417529.997,-7.993601499999997,-1.7458602500000033,1.6106,0.6775613875000008,11.188252,11.345,-1.1264999999999992,0.146860033,0.06916,0.29574875349999996,0.30732001225,0.20187000000000002,0.012999999999999984,0.04199999999999998,0.313,-22.566625000000005,-0.506,1.099,15335125184.0,76842999808.0,128812998656.0,3764668596224.0,758376000000.0,,331839000000.0,,,155237000000.0,,133749000000.0,182935000000.0,0.73,0.1983,3.64,0.79,0.91,1787184000.0,1.099,550.2351530342114,349.20001220703125,499.989990234375,563.34906,1.35714,53.0,1.99,0.0124,0.00087,0.75991994,False,False,,0.667,41354858.0,49430540.0,0.58,29.83,20.71,,,0.0,0.3801,81.4,22.84,,True,0.9111016565290813,,0.948,US,True,,87.632696756932,89.17262729354556,62.17587742918167,31.57802994727399,12.199630314232902,66.70687575392039,53.95569620253164,50.0,88.98550724637681,66.7,68.49029824818857,standard,7,24714775212,False,44.1,False,76.63316582914574,6.448911222780569,9.966499162479062,50.041876046901166,50.041876046901166,50.041876046901166,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,-1.2,True,0.875,SUSPICIOUS_FWD_PE;,2026-08-10,0
2914.T,Japan Tobacco Inc.,Consumer Defensive,Tobacco,Japan,JPY,12619241763936.0,0.39395387499999845,2.65354725,1.4094,0.43141557499999994,3.349984,3.584,0.08525000000000116,-0.0024799860000001206,0.025710000000000004,0.08678999599999998,0.22808499,0.29914996499999996,0.1315,0.394,0.446,-40.02100000000001,0.7355000000000003,0.948,226488438784.0,1033343991808.0,1886878040064.0,13502451286016.0,8419240000000.0,,3467675000000.0,,,853707000000.0,,510175000000.0,514056000000.0,3.83,0.7925,272.0,5.32,136.0,1798502400.0,0.152,7218.0,4445.145995782941,7108.0,7106.154,1.92308,13.0,,,0.34127998,0.20311001,False,False,,0.5,4855962.0,5691290.0,0.49,15.99,17.44,,,-0.56,0.2593,69.3,13.71,,True,0.8921066753191061,,0.661,Japan,True,80.13620362601685,74.26855875843351,60.87119391591982,68.56116863975112,81.01562220900098,6.099815157116451,66.70687575392039,71.99367088607595,50.0,,50.0,67.32672078029222,standard,8,255152677,False,50.3,False,84.58961474036852,2.554438860971524,41.541038525963145,50.041876046901166,50.041876046901166,50.041876046901166,6,NEUTRAL,0,UPPTREND,False,6,0.8571428571428571,HÖG,VÄNTA,6.1,True,0.875,,2026-08-10,0
O39.SI,Oversea-Chinese Banking Corporation Limited,Financial Services,Banks - Regional,Singapore,SGD,136046906977.30411,2.618181999999999,0.0,2.9898,0.5942182499999995,9.636415,7.253,,,,0.037099999999999966,0.037922520000000036,0.0,-0.0455,,0.048,,,,,75255996416.0,44814000128.0,102402465792.0,675688000000.0,,14533000000.0,,,,,7422000000.0,9125000000.0,2.86,0.4967,0.84,4.76,0.47,1776902400.0,0.203,30.5,15.774320909726464,30.299999237060547,27.1775,2.1875,16.0,,,0.28120002,0.1856,False,False,,0.5,6748343.0,6890099.0,1.75,10.46,35.69,,,0.0,0.2007,65.0,14.77,,False,1.0853172016976778,,0.923,Singapore,True,,58.1453634085213,94.85619104162544,47.49569286604241,92.62304890907092,38.447319778188536,66.70687575392039,,50.0,,50.0,66.64746315214414,standard,10,163227799,False,36.9,False,36.97654941373534,22.278056951423785,11.725293132328309,50.041876046901166,50.041876046901166,50.041876046901166,1,SVAG,-8,UPPTREND,False,3,0.42857142857142855,LÅG,OK,-4.5,True,0.625,EXTREME_EARNINGS_GROWTH;SUSPICIOUS_FWD_PE;,2026-08-10,0
ROST,"Ross Stores, Inc.",Consumer Cyclical,Apparel Retail,United States,USD,81872952656.95538,7.1189705,9.836407999999999,2.97,7.416571812500001,3.4435034,3.468,5.458000000000002,0.20315998300000004,0.048869996999999984,0.015253741499999994,0.02342500775000001,-0.15016997,0.131,0.271,0.356,-2.1568749999999994,0.13149999999999984,0.884,837208512.0,4130980096.0,4723149824.0,82465120256.0,15548737000.0,,22750559000.0,,,2707357000.0,,2145044000.0,3026883000.0,0.7,0.2318,1.78,1.04,0.445,1780963200.0,0.877,257.0,142.48134316237557,255.22999572753906,254.61111,1.8,18.0,3.15,0.0373,0.02128,0.96001,False,False,,0.491,3071893.0,2168010.0,0.56,14.51,13.25,,,0.0,0.2966,75.7,10.09,,True,0.7937064215016848,,0.946,US,True,62.743087221391306,62.50303766582117,82.79781930583434,74.95253218188412,57.273479522010184,51.20147874306839,66.70687575392039,63.4493670886076,50.0,51.8840579710145,49.1,66.4239922721947,standard,11,553341183,False,53.5,False,82.32830820770519,28.97822445561139,40.45226130653266,50.041876046901166,50.041876046901166,50.041876046901166,5,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,VÄNTA,3.9,True,0.875,,2026-08-10,0
WSM,"Williams-Sonoma, Inc.",Consumer Cyclical,Specialty Retail,United States,USD,29646241573.846344,-0.6310734999999958,4.562066999999999,3.0094,10.2763178125,3.7611828,3.868,-0.09799999999999898,0.35341000300000003,0.10082000699999998,0.05595374649999999,0.051385007750000024,-0.016949980000000003,-0.031,-0.06,0.0,2.8101249999999993,-0.07850000000000013,0.449,-324912832.0,651601024.0,1493564032.0,30488205312.0,5411912000.0,,7806816000.0,,,1415722000.0,,1088437000.0,1314889000.0,1.23,0.30719998,3.04,1.72,0.76,1784246400.0,1.47,252.99000549316406,164.9592141343307,251.77999877929688,215.15,2.21739,20.0,5.05,0.0545,0.01121,0.9967,False,False,,0.459,1157604.0,943660.0,1.06,13.92,38.73,,,0.0,0.3592,73.8,12.33,,True,0.9640599038300917,,0.924,US,True,,73.42144410292225,95.47063036574218,44.51949753947673,49.62052679407748,69.68576709796673,66.70687575392039,39.24050632911392,50.0,36.231884057971016,45.9,66.35580619356588,standard,12,237594714,False,49.0,False,36.97654941373534,76.96817420435511,37.68844221105528,50.041876046901166,50.041876046901166,50.041876046901166,2,SVAG,-8,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,-7.2,True,0.875,,2026-08-10,0
