ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,total_assets,total_assets_prev,revenue_ttm,revenue_prev,revenue_2y_ago,operating_income_ttm,operating_income_prev,net_income_ttm,operating_cashflow_ttm,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,insider_recent_date,earnings_surprise,bb_position,exchange_group,_fundamentals_neutralized,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,mews_score,mews_flag,mews_fcf_yield,mews_small_size,mews_low_ps,mews_operating_leverage,mews_revenue_accel,mews_clean_accruals,piotroski_f,piotroski_label,piotroski_boost,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_delta_4w
DIVISLAB.NS,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,India,INR,2452664210620.0,57.8817315,38.98071075,,9.410812575000001,21.840286,21.553,41.5385,,,0.13031500200000004,0.1744149825,0.19540996,0.19050000000000003,0.49550000000000005,0.655,-15.9545,,,,32330000384.0,70000000.0,2420404125696.0,200330000000.0,,104760000000.0,,,29790000000.0,,25680000000.0,27380000000.0,0.33,0.3101,30.0,0.62,30.0,1784851200.0,0.22,9270.0,5613.352076705792,9239.0,8447.0,2.72414,29.0,,,0.51993,0.30234,False,False,,0.5,440086.0,360473.0,1.5566557464045776,17.92,42.0,45.06,,-0.003344120819849028,0.23488397468618738,82.53638253638253,0.20599543126201048,0.3825552676792896,True,,1.0,1.1392942892269364,India,True,True,,81.62393162393163,96.81284898676203,84.44180839993582,86.76968410811196,39.38053097345133,66.4010067114094,,50.0,,50.0,78.85913648551697,standard,2,34917280,False,35.8,False,47.23154362416108,7.466442953020135,2.5587248322147653,50.041946308724825,50.041946308724825,50.041946308724825,4,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,VÄNTA,1.3
PETR4.SA,Petróleo Brasileiro S.A. - Petrobras,Energy,Oil & Gas Integrated,Brazil,BRL,,-4.244229500000003,-1.3230712499999981,4.1495,0.5168087499999999,1.0848721,1.575,1.820500000000001,0.15949750000000001,0.02524249949999999,0.1751900005,0.23467499500000003,0.20711001000000007,0.11099999999999999,-0.10200000000000009,0.968,12.052499999999991,-0.544,0.535,91592332544.0,53764001792.0,366532984832.0,864021905408.0,222337000000.0,,89195000000.0,,,27758000000.0,,19634000000.0,36047000000.0,10.16,0.2872,4.34,22.25,1.348143,1787529600.0,-0.218,47.66194994758826,26.715398393522193,,55.56667,1.61538,12.0,,,0.0,0.58638,False,False,,0.5,40051769.0,51912120.0,0.9000380708911841,,,,,,0.25589549343494117,69.63115928329049,,,True,,0.768,,LatAm,True,True,91.60737253236101,83.36793549858223,,65.64908865019439,67.36862023784164,,66.4010067114094,96.85534591194968,50.0,,50.0,76.52425011840563,standard,7,,True,53.8,False,47.23154362416108,50.041946308724825,79.61409395973155,50.041946308724825,50.041946308724825,50.041946308724825,4,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,VÄNTA,1.2
MU,"Micron Technology, Inc.",Technology,Semiconductors,United States,USD,,-12.555898000000003,-14.003486,0.1374,4.8026970250000005,11.670754,11.485,-3.5380000000000003,0.50686,0.2816749985,0.447435002,0.65256753,0.2700699999999999,3.2874999999999996,13.368,13.983,-45.569,1.754,2.927,6730003072.0,26022000640.0,6376000000.0,1036777029632.0,82798000000.0,,37378000000.0,,,9809000000.0,,8539000000.0,17525000000.0,0.06,0.0112,0.53,0.33,0.15,1783296000.0,2.213,1254.8069810301963,114.06691350045408,,1513.409,1.3617,44.0,0.7,0.026600001,0.00238,0.79977,False,False,,0.443,45729582.0,26929110.0,0.7487507244821405,,,,,,0.8177361720385723,57.728705131888994,,,True,,1.0,,US,True,True,,95.01792732959453,,98.01478044232663,31.657535547628445,,24.07718120805369,54.71698113207547,50.0,65.7088122605364,44.3,76.27472838638681,standard,8,,True,43.4,False,47.23154362416108,50.041946308724825,10.234899328859061,50.041946308724825,50.041946308724825,50.041946308724825,6,NEUTRAL,0,UPPTREND,False,2,0.2857142857142857,LÅG,OK,0.5
O39.SI,Oversea-Chinese Banking Corporation Limited,Financial Services,Banks - Regional,Singapore,SGD,139524390790.7434,6.3019055,3.1103450000000006,2.282,0.7552342499999998,9.492101,6.985,,0.018292500000000017,0.03009,0.06075499000000001,0.05086500750000009,-0.12784,0.06450000000000002,0.04050000000000001,0.223,,,,,90186997760.0,52214001664.0,102675300352.0,675688000000.0,,14533000000.0,,,,,7422000000.0,9125000000.0,3.03,0.477,0.94,4.76,0.47,1786924800.0,0.203,31.729999542236328,15.541104883943515,31.06999969482422,31.27188,2.1875,16.0,,,0.28972,0.18562001,False,False,,0.5,6592607.0,5488880.0,0.6574046899185365,5.9,34.77,51.04,93.24,-0.020800499745787016,0.1720252014750886,63.86283055585225,0.10521086309738115,0.38689915966141886,False,,0.923,0.6504218261175995,Singapore,True,True,,60.94455062865852,95.36420101637493,66.29400477236611,94.42168309054556,80.08849557522124,66.4010067114094,,50.0,,50.0,64.55785452249904,standard,69,133808944,False,50.9,False,47.23154362416108,97.5251677852349,13.003355704697986,50.041946308724825,50.041946308724825,50.041946308724825,3,SVAG,-8,UPPTREND,False,5,0.7142857142857143,HÖG,VÄNTA,-1.3
NVDA,NVIDIA Corporation,Technology,Semiconductors,United States,USD,,-4.885028000000002,-5.8075589999999995,0.6279,21.304253025,17.338943,18.057,8.446000000000002,1.01259,0.46869499849999996,0.5250050020000001,0.51123747,0.29112004,0.8895,0.9610000000000001,1.259,-34.928,2.9180000000000006,2.918,40900378240.0,62469001216.0,38860001280.0,5470708826112.0,206803000000.0,,215938000000.0,,,130387000000.0,,120067000000.0,102718000000.0,0.44,0.0354,1.0,0.05,0.25,1788998400.0,2.215,236.26463268418732,163.8517783946414,,305.7931,1.27869,58.0,2.35,0.0123000005,0.04008,0.71496004,False,False,,0.601,139350258.0,129691750.0,1.5177750041362605,,,,,,0.3788452865318297,53.5041735543126,,,False,,0.897,,US,True,True,52.179251182932724,96.01226080459098,,87.89702265984818,45.061439775901384,,66.4010067114094,56.289308176100626,50.0,88.2183908045977,60.099999999999994,80.36056148536075,standard,1,,True,42.7,False,47.23154362416108,50.041946308724825,5.704697986577181,50.041946308724825,50.041946308724825,50.041946308724825,7,STARK,8,UPPTREND,False,3,0.42857142857142855,LÅG,OK,14.2
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,United States,USD,,-16.451978,-7.75393975,2.3666,1.8133914250000003,2.7650945,3.456,-5.8980000000000015,0.348714985,0.045744999999999994,0.07370000199999999,0.15007500249999997,0.26098999999999994,-0.030499999999999992,1.3695,1.532,143.645,-0.3365,1.29,7204878464.0,11066999808.0,45053001728.0,169989947392.0,90038000000.0,,48195000000.0,,,13724000000.0,,7054000000.0,14156000000.0,3.76,0.5529,2.52,3.96,0.63,1782950400.0,0.225,68.63999938964844,41.13020877721675,,66.20833,2.46429,24.0,3.74,0.0225,0.00098,0.84700996,False,False,,0.787,11965812.0,8135440.0,0.5248445556886828,,,,,,0.27606074140406545,58.88445377129545,,,True,,1.0,,US,True,True,,83.83969744190738,,78.15577795793453,51.29210249204725,,66.4010067114094,86.47798742138365,50.0,72.70114942528735,78.7,63.72622047552467,standard,87,,True,50.0,False,47.23154362416108,50.041946308724825,54.61409395973155,50.041946308724825,50.041946308724825,50.041946308724825,3,SVAG,-8,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,-5.1
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,United States,USD,,-4.225384000000002,-0.18260474999999854,2.2941,15.720037125000001,6.136766,7.274,1.1689999999999987,0.797455005,0.025224999999999997,0.11450001199999998,0.1613750225,0.26329,0.007500000000000007,0.48750000000000004,0.659,432.067,-0.49750000000000005,0.95,7736128128.0,13989000192.0,57303998464.0,277095088128.0,90586000000.0,,36751000000.0,,,9080000000.0,,7711000000.0,9958000000.0,2.31,0.6087,10.08,3.07,2.52,1787270400.0,0.413,447.0299987792969,262.4884685425957,,388.48276,2.47059,29.0,4.58,0.0223,0.00225,0.85123,False,False,,0.574,2702185.0,2369600.0,0.6723191248395907,,,,,,0.2768502430672209,70.2236655338147,,,True,,0.98,,US,True,True,80.16175597169615,84.33854103142372,,74.69536675751266,42.50824606359251,,66.4010067114094,78.0922431865828,50.0,72.98850574712644,57.4,71.48554750057386,standard,15,,True,45.3,False,47.23154362416108,50.041946308724825,23.406040268456376,50.041946308724825,50.041946308724825,50.041946308724825,4,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,2.9
6861.T,Keyence Corporation,Technology,Scientific & Technical Instruments,Japan,JPY,20119885282560.0,16.044162499999995,20.911745000000003,2.4629,1.938515875,16.033901,14.897,,,,0.32193500199999997,0.4585975,0.53750005,0.1585,0.193,0.51,,9.779000000000002,11.111,,1426593939456.0,0.0,18693287313408.0,3670655000000.0,,1169289000000.0,,,595759000000.0,,445185000000.0,430680000000.0,0.66,0.2996,550.0,0.51,275.0,1789603200.0,1.001,87920.0,51271.96903921346,82960.0,97366.664,1.6,15.0,,,0.22763,0.37429002,False,False,,0.5,634263.0,464400.0,0.6858090164330205,6.92,3.56,30.76,,-0.05641492265696091,0.40791669207712916,44.128891316220646,0.047056982315136775,0.24889972729723997,False,,1.0,0.45005775327599395,Japan,True,True,,97.82051282051282,71.62557249513772,79.5146203474008,55.55114436271285,10.176991150442479,66.4010067114094,,50.0,,50.0,71.04021715246678,standard,17,240734228,False,35.7,False,47.23154362416108,2.5587248322147653,6.375838926174497,50.041946308724825,50.041946308724825,50.041946308724825,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,-6.2
6098.T,"Recruit Holdings Co., Ltd.",Communication Services,Internet Content & Information,Japan,JPY,24694599721400.0,34.388749,40.303442,1.5796,12.1389657,6.39117,6.242,21.563000000000002,0.23215500500000003,0.13907,0.08414,0.11979999999999998,0.29867999999999995,0.14,0.6859999999999999,0.675,-37.815,0.559,1.845,462837512192.0,853046001664.0,178827001856.0,24119456301056.0,2789018000000.0,,3697351000000.0,,,630567000000.0,,496912000000.0,610363000000.0,0.15,0.0719,26.0,0.36,13.0,1790640000.0,0.905,17810.0,6028.418262645158,17800.0,15850.0,1.4375,16.0,,,0.03763,0.54244,False,False,,0.5,4312039.0,3481620.0,1.2949389969984069,35.88,68.4,189.38,,-0.0005614823133071045,0.5231542924169345,80.513495720869,0.33296389764634515,0.8950396860565335,True,,1.0,0.8253629977760811,Japan,True,True,54.76077815930553,86.15001847176043,99.13168956647218,84.30168684283704,44.3354558876704,8.849557522123893,66.4010067114094,69.70649895178197,50.0,,50.0,78.72669455012424,standard,3,387238259,False,50.7,False,97.5251677852349,2.5587248322147653,22.818791946308725,50.041946308724825,50.041946308724825,50.041946308724825,7,STARK,8,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,11.6
MA,Mastercard Incorporated,Financial Services,Credit Services,United States,USD,,14.962722,12.896282999999999,1.8128,90.07498995000002,14.864427,15.236,15.11,2.2722325,0.21829,0.19627498999999998,0.21035501249999997,0.54438,0.03649999999999999,0.036500000000000005,0.186,370.357,-0.497,0.666,16051753600.0,11608999936.0,24643000320.0,534517710848.0,54157000000.0,,32791000000.0,,,19514000000.0,,14968000000.0,17648000000.0,0.59,0.17930001,3.48,0.54,0.87,1783555200.0,0.735,601.22998046875,463.74259988972767,,669.4595,1.375,37.0,2.4,0.0083,0.00112,0.9128,False,False,,0.687,3497620.0,3006400.0,0.6563824533653885,,,,,,0.2259164506438255,71.42642925108306,,,True,,0.907,,US,True,True,64.05119551921207,95.63619242852262,,63.006029997630414,41.629792924706024,,66.4010067114094,80.083857442348,50.0,93.5823754789272,68.7,70.33202342773588,standard,18,,True,42.9,False,47.23154362416108,50.041946308724825,7.2147651006711415,50.041946308724825,50.041946308724825,50.041946308724825,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,-1.0
