ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,total_assets,total_assets_prev,revenue_ttm,revenue_prev,revenue_2y_ago,operating_income_ttm,operating_income_prev,net_income_ttm,operating_cashflow_ttm,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,insider_recent_date,earnings_surprise,bb_position,exchange_group,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,mews_score,mews_flag,mews_fcf_yield,mews_small_size,mews_low_ps,mews_operating_leverage,mews_revenue_accel,mews_clean_accruals,piotroski_f,piotroski_label,piotroski_boost,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_delta_4w,data_warnings,_fundamentals_neutralized,data_quality,data_anomaly,data_fetched_date,data_stale_days,predicted_return,ml_rank
NVDA,NVIDIA Corporation,Technology,Semiconductors,United States,USD,,,,0.6279,19.50572079,17.338943,18.057,5.702000000000002,0.9825075000000001,0.46487499849999997,0.5237824982500001,0.52627621375,0.27410504,0.8895,0.9610000000000001,1.259,0.0,2.8475000000000006,2.918,40697233472.0,62469001216.0,38860001280.0,5470708826112.0,206803000000.0,,215938000000.0,,,130387000000.0,,120067000000.0,102718000000.0,0.0044,0.0354,1.0,0.05,0.25,1788998400.0,2.215,236.26463268418732,163.8517783946414,,305.7931,1.27869,58.0,2.35,0.0123000005,0.04008,0.71496004,False,False,,0.601,139350258.0,129691750.0,1.5177750041362605,,,,,,0.3788452865318297,53.5041735543126,,,False,,0.897,,US,True,59.114276801497354,95.32925201152547,,88.24784933240618,45.37108873847941,,70.45454545454545,58.8135593220339,50.0,87.0,60.099999999999994,85.9522872269285,standard,1,,True,42.7,False,47.23154362416108,50.041946308724825,5.704697986577181,50.041946308724825,50.041946308724825,50.041946308724825,7,STARK,8,UPPTREND,False,3,0.42857142857142855,LÅG,OK,14.2,,True,0.875,SUSPICIOUS_FWD_PE;,2026-08-30,0,0.056143082678318024,81.1
DIVISLAB.NS,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,India,INR,2452664210620.0,48.926103,35.21649825,,8.557301562500001,21.840286,21.553,23.936625,,,0.13257501200000005,0.17173247125,0.20488995999999998,0.19050000000000003,0.49550000000000005,0.655,0.0,,,,32330000384.0,70000000.0,2420404125696.0,200330000000.0,,104760000000.0,,,29790000000.0,,25680000000.0,27380000000.0,0.0033,0.3101,30.0,0.62,30.0,1784851200.0,0.22,9270.0,5613.352076705792,9239.0,8447.0,2.72414,29.0,,,0.51993,0.30234,False,False,,0.5,440086.0,360473.0,1.5566557464045776,17.92,42.0,45.06,,-0.003344120819849028,0.23488397468618738,82.53638253638253,0.20599543126201048,0.3825552676792896,True,,1.0,1.1392942892269364,India,True,,80.16304347826087,92.70400339742478,83.5309218641352,86.21791941230255,28.000000000000004,70.45454545454545,,50.0,,50.0,77.70326707982856,standard,6,34917280,False,35.8,False,47.23154362416108,7.466442953020135,2.5587248322147653,50.041946308724825,50.041946308724825,50.041946308724825,4,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,VÄNTA,1.3,,True,0.75,,2026-08-30,0,0.09656375646591187,92.8
APP,AppLovin Corporation,Communication Services,Advertising Agencies,United States,USD,,,,0.8823,28.136876915000002,15.631308,15.639,4.905999999999997,1.8448324999999999,0.40445000000000003,0.53761743625,0.59726874375,0.41200499999999995,0.47900000000000004,0.5189999999999999,0.545,31.295749999999998,3.1165,4.166,2067314752.0,3053306112.0,3515072000.0,106800463872.0,7259610000.0,,5480717000.0,,,4151914000.0,,3333764000.0,3971094000.0,,0.0,,,,,2.529,745.6099853515625,297.5,,525.5806,1.60606,31.0,1.59,0.039100002,0.14314,0.76091003,False,False,,0.577,5970979.0,4698510.0,1.0154776359194184,,,,,,0.7439711591991626,32.482327157851515,,,True,,0.883,,US,True,71.409899136945,97.83848960236178,,81.52033174200244,40.89916989598926,,12.5,74.40677966101696,50.0,45.714285714285715,57.699999999999996,82.8036031112187,standard,2,,True,42.8,False,47.23154362416108,50.041946308724825,6.62751677852349,50.041946308724825,50.041946308724825,50.041946308724825,8,STARK,8,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,20.5,,True,0.875,SUSPICIOUS_FWD_PE;,2026-08-30,0,0.019551126286387444,60.8
6098.T,"Recruit Holdings Co., Ltd.",Communication Services,Internet Content & Information,Japan,JPY,24694599721400.0,34.759910999999995,39.944779999999994,1.5796,12.032612,6.39117,6.242,19.931,0.21986499400000004,0.138720001,0.06946500000000001,0.08262499799999995,0.33142000499999996,0.14,0.6859999999999999,0.675,0.0,0.6027500000000001,1.845,449648136192.0,853046001664.0,178827001856.0,24119456301056.0,2789018000000.0,,3697351000000.0,,,630567000000.0,,496912000000.0,610363000000.0,0.0015,0.0719,26.0,0.36,13.0,1790640000.0,0.905,17810.0,6028.418262645158,17800.0,15850.0,1.4375,16.0,,,0.03763,0.54244,False,False,,0.5,4312039.0,3481620.0,1.2949389969984069,35.88,68.4,189.38,,-0.0005614823133071045,0.5231542924169345,80.513495720869,0.33296389764634515,0.8950396860565335,True,,1.0,0.8253629977760811,Japan,True,59.34023084121867,82.68396339506106,97.90966989341386,83.26630821299504,45.8280572470402,7.199999999999999,70.45454545454545,73.72881355932203,50.0,,50.0,82.56191505960241,standard,3,387238259,False,50.7,False,97.5251677852349,2.5587248322147653,22.818791946308725,50.041946308724825,50.041946308724825,50.041946308724825,7,STARK,8,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,11.6,,True,0.875,,2026-08-30,0,0.04341284930706024,76.4
AVGO,Broadcom Inc.,Technology,Semiconductors,United States,USD,,24.796733500000002,,0.4176,12.558160790000002,23.249825,23.85,21.288000000000004,0.18320747999999998,0.0503450025,0.27563249824999997,0.35378624375,0.29020499999999994,0.3095,0.5369999999999999,0.875,23.38525,0.4965,1.929,26099607616.0,19627999232.0,64907001856.0,1799826964480.0,171092000000.0,,63887000000.0,,,26075000000.0,,23126000000.0,27537000000.0,0.006999999999999999,0.41259998,2.6,1.8,0.65,1782086400.0,1.473,494.21781760890264,285.08122171732384,,525.97394,1.32653,46.0,3.03,0.012,0.01948,0.80147004,False,False,,0.496,25962909.0,22355110.0,0.8491755806040601,,,,,,0.4840996097321414,22.866812361496386,,,False,,0.857,,US,True,55.5192887594884,88.960586972026,,82.32431357652078,42.999411216166315,,70.45454545454545,69.32203389830508,50.0,87.71428571428571,49.6,73.3529678623069,standard,12,,True,42.2,False,47.23154362416108,50.041946308724825,2.5587248322147653,50.041946308724825,50.041946308724825,50.041946308724825,5,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,15.4,,True,0.875,SUSPICIOUS_FWD_PE;,2026-08-30,0,-0.021992068737745285,11.2
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,United States,USD,,122.75816350000001,58.51830999999999,2.49,38.34185378999999,72.72093,71.245,143.23700000000002,0.19136749999999997,0.10208498850000002,0.37720251825,0.33511621375,0.375325,0.7585000000000001,1.837,2.25,0.0,5.4865,7.095,1046463040.0,9409098752.0,211400000.0,438578741248.0,8900392000.0,,4475446000.0,,,1414015000.0,,1625033000.0,2134473000.0,,0.0,,,,,1.563,207.52000427246094,106.37000274658203,,191.68,1.8125,27.0,1.52,0.0318,0.03477,0.64865994,False,False,,0.438,42122983.0,30930350.0,0.5300757776697016,,,,,,0.6025620715513103,62.86030626402493,,,True,,1.0,,US,True,35.985650410731,92.56414116649854,,94.07195510881928,41.042922836644514,,12.5,49.83050847457628,50.0,54.142857142857146,43.8,80.90790600877133,standard,4,,True,42.2,False,47.23154362416108,50.041946308724825,2.5587248322147653,50.041946308724825,50.041946308724825,50.041946308724825,8,STARK,8,UPPTREND,False,2,0.2857142857142857,LÅG,OK,5.6,,True,0.875,,2026-08-30,0,0.10939691960811615,94.8
6857.T,Advantest Corporation,Technology,Semiconductor Equipment & Materials,Japan,JPY,25474870339040.0,39.659972499999995,124.48903300000002,1.5935,20.652571875,20.672504,20.473,26.438,0.42901999399999996,0.24224499949999995,0.288270002,0.398732498,0.390930005,0.2235,0.6359999999999999,0.938,0.0,0.62175,1.77,305855139840.0,413124001792.0,108165996544.0,25229340442624.0,1171816000000.0,,1128610000000.0,,,499120000000.0,,375353000000.0,335182000000.0,0.0017000000000000001,0.1145,60.0,0.79,30.0,1774828800.0,1.185,38730.0,10414.880027539153,35270.0,41361.906,1.52381,21.0,,,0.00279,0.66331,False,False,,0.5,8983204.0,8202220.0,1.0906001957774467,39.96,34.77,32.67,,-0.08933643170668737,0.7547373173343942,61.257309941520475,0.11072270982329835,0.35980315001818663,False,,1.0,0.6099479579003968,Japan,True,51.26484350629094,95.29345634703478,79.3481291989039,86.90126002592089,35.28141647301163,6.4,70.45454545454545,65.08474576271186,50.0,,50.0,80.77619034458026,standard,5,1807647570,False,47.7,False,97.5251677852349,2.5587248322147653,2.5587248322147653,50.041946308724825,50.041946308724825,50.041946308724825,7,STARK,8,UPPTREND,False,4,0.5714285714285714,MEDEL,STARK,11.9,,True,0.875,,2026-08-30,0,0.13066063821315765,97.2
MA,Mastercard Incorporated,Financial Services,Credit Services,United States,USD,,12.198253500000002,10.938281,1.8128,88.27645771500002,14.864427,15.236,12.366,2.2421499999999996,0.21447000000000002,0.19505248625,0.22539375624999997,0.527365,0.03649999999999999,0.036500000000000005,0.186,,0.0,0.666,15848608832.0,11608999936.0,24643000320.0,534517710848.0,54157000000.0,,32791000000.0,,,19514000000.0,,14968000000.0,17648000000.0,0.0059,0.17930001,3.48,0.54,0.87,1783555200.0,0.735,601.22998046875,463.74259988972767,,669.4595,1.375,37.0,2.4,0.0083,0.00112,0.9128,False,False,,0.687,3497620.0,3006400.0,0.6563824533653885,,,,,,0.2259164506438255,71.42642925108306,,,True,,0.907,,US,True,69.4424456691276,95.06675047192701,,57.820869587356356,41.3851375785741,,70.45454545454545,83.55932203389831,50.0,93.14285714285714,68.7,72.73400661102089,standard,14,,True,42.9,False,47.23154362416108,50.041946308724825,7.2147651006711415,50.041946308724825,50.041946308724825,50.041946308724825,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,-1.0,,True,0.875,,2026-08-30,0,0.013604674488306046,55.1
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,United States,USD,,5.587775500000001,5.003426250000003,1.4794,24.829742890000002,13.147996,13.719,8.583999999999998,0.875502505,0.13830501,0.21905747825,0.3631537462500001,0.36135503999999996,0.38949999999999996,0.10050000000000003,0.253,105.12325,0.0,0.679,9953258560.0,8949999616.0,54907998208.0,1092954947584.0,112476000000.0,,65179000000.0,,,29696000000.0,,20640000000.0,16813000000.0,0.0059,0.2169,6.92,0.89,1.73,1786665600.0,0.506,1292.6500244140625,707.5873304141257,,1315.0406,1.7,29.0,2.46,0.0074,0.00156,0.85420996,False,False,,0.42,2890514.0,2578790.0,0.8583139904679632,,,,,,0.3598261526518235,48.81219024891491,,,False,,1.0,,US,True,57.135385255277114,94.2786477700118,,75.15610866339972,41.07998302942674,,70.45454545454545,62.03389830508475,50.0,93.71428571428572,42.0,72.70697628402421,standard,15,,True,43.1,False,47.23154362416108,50.041946308724825,8.473154362416107,50.041946308724825,50.041946308724825,50.041946308724825,5,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,OK,5.8,,True,0.875,,2026-08-30,0,0.0582156740128994,82.1
WDC,Western Digital Corporation,Technology,Computer Hardware,United States,USD,,,,0.8796,,12.822241,12.863,11.744,1.1189275,0.13673499849999998,0.61662249825,0.29998624375000005,0.015875,0.26849999999999996,9.524,10.33,0.0,0.0,0.85,1156108608.0,1579000064.0,1191000064.0,166181912576.0,13861000000.0,,12919000000.0,,,4599000000.0,,9298000000.0,3929000000.0,0.0013,0.0186,0.6,3.23,0.15,1788825600.0,2.217,799.8699951171875,77.6894646679901,,664.9167,1.53846,24.0,2.44,0.0631,0.00535,0.92002,False,False,,0.407,8584120.0,7066610.0,0.5477563923449797,,,,,,0.8042055984805194,55.3794783350817,,,True,,0.982,,US,True,52.38203181865447,88.4210279745259,,93.71810020599962,10.903110928881114,,40.66985645933015,58.13559322033899,50.0,27.42857142857143,40.699999999999996,71.65627310153779,standard,16,,True,43.2,False,47.23154362416108,50.041946308724825,8.808724832214764,50.041946308724825,50.041946308724825,50.041946308724825,5,NEUTRAL,0,UPPTREND,False,2,0.2857142857142857,LÅG,OK,13.7,,True,0.75,SUSPICIOUS_FWD_PE;,2026-08-30,0,0.08433037996292114,89.5
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,United States,USD,,,6.395223000000003,0.9232,1.264219615,9.506832,9.274,9.062999999999997,0.29473250000000006,0.06943999000000001,0.4395674962500001,0.16081874375000005,0.136335,0.193,2.889,2.979,0.0,1.5405000000000002,2.471,21552359488.0,242473992192.0,120790999040.0,4135135739904.0,595281000000.0,,402836000000.0,,,129039000000.0,,132170000000.0,164713000000.0,0.0026,0.042600002,0.88,,0.22,1788480000.0,1.237,408.36608091552193,205.61343524607918,,428.06668,1.35938,54.0,2.35,0.0124,0.01596,0.81044996,False,False,,0.609,31675664.0,20530230.0,1.0346928425570332,,,,,,0.3273902172680713,33.7306082066615,,,False,,0.837,,US,True,51.73099719247166,85.39898245100265,,85.45070074884309,52.81248576823506,,70.45454545454545,54.57627118644067,50.0,86.42857142857143,60.9,71.61787069389995,standard,17,,True,43.8,False,47.23154362416108,50.041946308724825,12.919463087248323,50.041946308724825,50.041946308724825,50.041946308724825,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,6.7,,True,0.875,,2026-08-30,0,-0.001979796914383769,37.7
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,United States,USD,,,6.145015000000003,0.9152,1.1913264149999998,9.405068,9.173,8.800999999999997,0.29473250000000006,0.06943999000000001,0.4395674962500001,0.16081874375000005,0.136335,0.193,2.889,2.979,0.0,1.5405000000000002,2.471,21552359488.0,242473992192.0,120790999040.0,4089762283520.0,595281000000.0,,402836000000.0,,,129039000000.0,,132170000000.0,164713000000.0,0.0026,0.042600002,0.88,,0.22,1788480000.0,1.237,404.2267181336527,206.37069184883856,,422.336,1.36508,15.0,2.1,,0.00522,0.62264,False,False,,0.595,21448259.0,14531340.0,1.0523664392598997,,,,,,0.32271184374131356,28.851307521442564,,,False,,0.837,,US,True,52.17895393573879,85.39898245100265,,85.45070074884309,53.433603780657414,,70.45454545454545,55.08474576271186,50.0,,59.5,71.07839991139609,standard,18,,True,43.8,False,47.23154362416108,50.041946308724825,13.171140939597315,50.041946308724825,50.041946308724825,50.041946308724825,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,6.9,,True,0.875,,2026-08-30,0,-0.005794420372694731,31.2
2881.TW,"Fubon Financial Holding Co., Ltd.",Financial Services,Insurance - Life,Taiwan,TWD,1967863954320.0,4.420603249999999,4.480900999999999,1.36,0.6780465274999998,1.879633,1.479,-3.015500000000001,0.07061999499999999,0.010580000000000003,-0.10607000600000002,0.09466503500000001,0.12786999999999998,1.6515,,,57.13375,0.0,1.007,1142517186048.0,1336526110720.0,836762796032.0,1548880707584.0,12875478154000.0,,379304535000.0,,,,,120943979000.0,14407546000.0,0.029500000000000002,0.4954,4.25,3.79,4.25,1782864000.0,0.665,144.5,79.16734313964844,144.0,132.97726,2.0,11.0,,,0.40671003,0.22738001,False,False,,0.5,33009189.0,24350375.0,0.8416469727020833,16.13,34.74,58.05,,-0.0034602076124568004,0.271053605776137,69.62025316455696,0.12364814752461695,0.42082423217578,True,,1.0,1.070197334262422,Asia,True,,57.93093133884522,93.00846802751808,97.07376345126696,51.75203088621194,31.2,70.45454545454545,99.0677966101695,50.0,,50.0,70.9017935033036,standard,19,110865492,False,58.0,False,97.5251677852349,8.305369127516778,66.02348993288591,50.041946308724825,50.041946308724825,50.041946308724825,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,3.0,,True,0.875,EXTREME_EARNINGS_GROWTH;,2026-08-30,0,0.01688849925994873,57.8
MU,"Micron Technology, Inc.",Technology,Semiconductors,United States,USD,,,,0.1374,3.0041647900000004,11.670754,11.485,-6.282,0.47677749999999997,0.2778549985,0.44621249825000003,0.66760627375,0.2530549999999999,3.2874999999999996,13.368,13.983,0.0,1.6835,2.927,6526858304.0,26022000640.0,6376000000.0,1036777029632.0,82798000000.0,,37378000000.0,,,9809000000.0,,8539000000.0,17525000000.0,0.06,0.0112,0.53,0.33,0.15,1783296000.0,2.213,1254.8069810301963,114.06691350045408,,1513.409,1.3617,44.0,0.7,0.026600001,0.00238,0.79977,False,False,,0.443,45729582.0,26929110.0,0.7487507244821405,,,,,,0.8177361720385723,57.728705131888994,,,True,,1.0,,US,True,,94.07871315206,,98.06171013589274,31.408849422208377,,33.07416267942584,56.61016949152542,50.0,62.857142857142854,44.3,70.77164529411642,standard,20,,True,43.4,False,47.23154362416108,50.041946308724825,10.234899328859061,50.041946308724825,50.041946308724825,50.041946308724825,6,NEUTRAL,0,UPPTREND,False,2,0.2857142857142857,LÅG,OK,0.5,,True,0.875,SUSPICIOUS_FWD_PE;,2026-08-30,0,0.11831194162368774,96.0
3008.TW,"Largan Precision Co., Ltd.",Technology,Electronic Components,Taiwan,TWD,924089261805.0,8.910565249999998,17.829166999999998,5.7099,0.8369116024999999,14.415274,12.278,8.283500000000002,-0.0031425050000000107,0.0131049985,0.257470006,0.23634750250000003,0.11737001999999996,0.0015000000000000013,3.308,3.525,0.0,3.1085000000000003,4.54,-10885142016.0,139100323840.0,166635008.0,787100598272.0,220787020000.0,,61147888000.0,,,23558264000.0,,21275407000.0,26080226000.0,0.0132,0.4255,93.5,4.04,41.5,1786579200.0,1.046,7270.0,1959.0568552276234,7065.0,4864.4443,1.94737,18.0,,,0.28965,0.35706002,False,False,,0.5,2441592.0,2899577.0,1.8445007230170893,91.91,85.91,189.08,,-0.028198074277854146,0.5718268646951172,89.61360260701855,0.5476225318533323,1.3095752143510029,True,,0.72,1.0489773822855153,Asia,True,40.08942497660392,72.54809707794172,95.6182896492777,72.60615031631174,47.71802326802521,38.0,70.45454545454545,37.28813559322034,50.0,,50.0,70.69692308573806,standard,21,647701726,False,61.0,False,94.46308724832215,91.61073825503355,7.38255033557047,50.041946308724825,50.041946308724825,50.041946308724825,6,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,25.3,,True,0.875,,2026-08-30,0,0.20188231766223907,99.1
6861.T,Keyence Corporation,Technology,Scientific & Technical Instruments,Japan,JPY,20119885282560.0,16.415324499999993,20.553083000000004,2.4629,1.8321621750000001,16.033901,14.897,,,,0.307260002,0.421422498,0.570240055,0.1585,0.193,0.51,,9.822750000000001,11.111,,1426593939456.0,0.0,18693287313408.0,3670655000000.0,,1169289000000.0,,,595759000000.0,,445185000000.0,430680000000.0,0.0066,0.2996,550.0,0.51,275.0,1789603200.0,1.001,87920.0,51271.96903921346,82960.0,97366.664,1.6,15.0,,,0.22763,0.37429002,False,False,,0.5,634263.0,464400.0,0.6858090164330205,6.92,3.56,30.76,,-0.05641492265696091,0.40791669207712916,44.128891316220646,0.047056982315136775,0.24889972729723997,False,,1.0,0.45005775327599395,Japan,True,,97.46376811594205,67.19758148511006,77.75594106070876,57.595560223534825,8.4,70.45454545454545,,50.0,,50.0,70.53660221992872,standard,22,240734228,False,35.7,False,47.23154362416108,2.5587248322147653,6.375838926174497,50.041946308724825,50.041946308724825,50.041946308724825,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,-6.2,,True,0.625,,2026-08-30,0,0.04815947636961937,78.8
CRDO,Credo Technology Group Holding Ltd,Technology,Semiconductors,Cayman Islands,USD,,59.71361349999999,3.4940550000000012,,13.461680790000003,32.762543,31.447,66.055,0.1544775,0.10831499850000002,0.24089249825,0.22052622375000003,0.20771507000000003,1.4005,3.1149999999999998,3.622,0.0,8.4115,8.507,-861831344.0,1443286016.0,25448000.0,41984892928.0,2295619000.0,,1335116000.0,,,445005000.0,,472279000.0,464292000.0,,0.0,,,,,3.233,308.6700134277344,86.48500061035156,,283.23447,1.31579,19.0,1.17,0.0369,0.09436,0.73563004,False,False,,0.478,7521667.0,4119220.0,0.8286460736187024,,,,,,0.9353757284406959,46.72303975264267,,,False,,1.0,,US,True,26.06821254029323,86.72829781126697,,96.37899778891273,33.90739614748728,,12.5,33.559322033898304,50.0,48.42857142857142,47.8,70.20403023967718,standard,23,,True,42.2,False,47.23154362416108,50.041946308724825,2.5587248322147653,50.041946308724825,50.041946308724825,50.041946308724825,6,NEUTRAL,0,UPPTREND,False,2,0.2857142857142857,LÅG,OK,10.5,,True,0.875,,2026-08-30,0,0.08302050828933716,89.0
2330.TW,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,Taiwan,TWD,62756335562140.0,,,0.9039,5.7685576025000005,14.132742,13.591,2.501500000000002,0.2632275249999999,0.1358450085,0.373060006,0.46304755249999996,0.27538999999999997,0.19049999999999997,0.457,0.774,10.094749999999996,0.7115000000000001,2.132,708940578304.0,3518010228736.0,1068558516224.0,60348837134336.0,7932842500000.0,,3809054300000.0,,,1936095600000.0,,1697604000000.0,2274975600000.0,0.0116,0.2573,28.0,1.69,7.0,1789516800.0,1.258,2535.0,1129.9384980426837,2420.0,3229.3333,1.30303,33.0,,,0.00023,0.433,False,False,,0.5,29134405.0,15186694.0,0.7024086723056316,9.75,3.03,22.02,,-0.04536489151873768,0.326589407897998,56.666666666666664,0.010860484544695126,0.21998337136469015,True,,0.95,0.7830640697692485,Asia,True,69.01112613081001,92.55697358854549,65.80998611732673,81.97532249598828,57.30915276875328,2.0,70.45454545454545,64.40677966101694,50.0,,50.0,69.80151927984151,standard,24,1162001933,False,48.5,False,97.5251677852349,2.5587248322147653,7.802013422818792,50.041946308724825,50.041946308724825,50.041946308724825,5,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,OK,2.3,,True,0.875,SUSPICIOUS_FWD_PE;,2026-08-30,0,0.09993200749158859,93.3
