ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,total_assets,total_assets_prev,revenue_ttm,revenue_prev,revenue_2y_ago,operating_income_ttm,operating_income_prev,net_income_ttm,operating_cashflow_ttm,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,insider_recent_date,earnings_surprise,data_warnings,roe_raw,roa_raw,pe_trailing_raw,pe_forward_raw,revenue_growth_raw,earnings_growth_raw,debt_to_equity_raw,current_ratio_raw,exchange_group,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,piotroski_f,piotroski_label,piotroski_boost,mews_score,mews_flag,mews_fcf_yield,mews_small_size,mews_low_ps,mews_operating_leverage,mews_revenue_accel,mews_clean_accruals,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_delta_4w,data_quality,data_anomaly,data_fetched_date,data_stale_days,predicted_return,ml_rank,_fundamentals_neutralized
DIVISLAB.NS,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,India,INR,28989168936.0,,,,4.830244924999999,21.5117,21.224,20.634999999999998,,,0.137030022,0.16061497900000002,,0.19050000000000003,0.49550000000000005,0.655,0.0,,,,32330000384.0,70000000.0,2383503949824.0,200330000000.0,,104760000000.0,,,29790000000.0,,25680000000.0,27380000000.0,0.0032967032967032967,0.2722,30.0,0.62,30.0,1784851200.0,0.245,9467.0,5613.352076705792,9100.0,8447.0,2.58621,29.0,,,0.51993,0.30326,False,False,,0.5,456498.0,514090.0,0.5830459877924848,9.0,35.31,43.57,,-0.03876624062533007,0.23883997113323907,67.36871665262566,0.14994810683931115,0.34791878597940795,False,0.7156060212442537,,1.0,['market_cap: INR -> USD (x0.012) 2415764078000.0 -> 28989168936'],,,93.68887,60.47557,0.278,0.657,0.042,,India,True,,82.19895287958116,89.31332184086895,85.03256462814565,81.22174698532933,65.64102564102564,35.66433566433567,,50.0,,50.0,77.62502423753882,standard,3,48966074,False,4,NEUTRAL,0,38.4,False,29.48825503355705,53.85906040268457,2.5587248322147653,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,-1.9,0.625,MISSING_CRITICAL;,2026-09-11,0,0.023986300453543663,82.1,True
FLRY3.SA,Fleury S.A.,Healthcare,Diagnostics & Research,Brazil,BRL,10964940656.835388,,,,,1.2472422,1.661,,,,,,,0.144,,0.457,,,1.737,,1899128960.0,5408985088.0,14603612160.0,13220481000.0,,8291182000.0,,,1240911000.0,,612831000.0,2133775000.0,0.07982151680268228,1.0424,1.61,5.37,0.400733,1786492800.0,,20.459999084472656,12.905558653361407,20.170000076293945,18.34167,2.75,12.0,,,0.55372,0.28867,False,False,,0.5,3092230.0,4403290.0,0.7151943797421418,18.75,41.1,28.6,,-0.014173950203096308,0.2783580203664636,77.65662703512892,0.17883282154860702,0.27132073422286473,True,1.0327899677094434,,1.0,"['market_cap: valuta BRL saknas i FX-tabell, lämnas oförändrad']",,,,,,,,,,,,,88.81216440502611,81.05065745030987,58.31265508684863,81.28205128205128,89.04428904428904,,50.0,,50.0,68.81769234118609,standard,16,17394458,False,1,SVAG,-8,,,,,,,,,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,,0.125,EXTREME_EARNINGS_GROWTH;MISSING_CRITICAL;,2026-09-11,0,0.005357248242944479,68.4,True
NVDA,NVIDIA Corporation,Technology,Semiconductors,United States,USD,5562502934738.159,,,0.5745,10.830472,18.359913,18.246,6.9985000000000035,0.9594650050000002,0.4625149995999999,0.5197200095000001,0.5249049700000001,,0.8895,0.96,1.259,0.0,2.8265000000000002,2.918,40323021440.0,62469001216.0,38860001280.0,5528066981888.0,206803000000.0,,215938000000.0,,,130387000000.0,,120067000000.0,102718000000.0,0.004341031417565744,0.0354,1.0,0.05,0.25,1788998400.0,2.217,236.26463268418732,163.8517783946414,230.36000061035156,327.12808,1.28333,57.0,2.35,0.0123000005,0.04007,0.71545,False,False,,0.498,135569020.0,155653700.0,1.0469122454942141,5.19,12.32,29.7,,-0.024991603723137135,0.3808635825515924,53.67799225919933,0.09400170738457336,0.1721638890912831,True,0.918735345609844,,0.897,[],1.17211,0.53572,29.159492,14.902219,1.059,1.278,16.971,4.589,US,True,60.71614583333333,98.31065737292607,74.97397847725219,88.78350013965989,44.88428730517395,8.461538461538462,37.76223776223776,60.546875,50.0,82.6470588235294,49.8,81.98384994738535,standard,1,35856386427,False,7,STARK,8,39.8,False,66.10738255033557,2.5587248322147653,2.5587248322147653,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,3.8,0.75,,2026-09-11,0,-0.006396987941116095,50.0,True
HALO,"Halozyme Therapeutics, Inc.",Healthcare,Biotechnology,United States,USD,12506344897.094727,,,,75.4827213,7.5170155,8.688,-3.2634999999999987,1.564660015,0.1868649996,0.128249997,0.40916502999999993,,0.38949999999999996,0.2675,0.392,,0.74825,1.994,-1149544864.0,231003008.0,2178533120.0,14453874688.0,2525323000.0,,1396611000.0,,,802593000.0,,316889000.0,651558000.0,,0.0,,,,,0.882,111.1500015258789,61.22999954223633,110.19000244140625,99.55556,1.66667,9.0,6.6,0.169,0.01107,1.12289,False,False,,0.735,1980388.0,1543900.0,0.5079119371367257,28.49,54.05,63.56,,-0.008636968702597336,0.37036887131288315,68.655944076986,0.21533716330124286,0.4848203359918368,False,0.8160064679572879,,0.66,['debt_to_equity: 1517.687 > 200 -> None'],1.73674,0.25492,32.31378,10.602268,0.477,0.429,,2.709,US,True,,93.23344143567934,84.44470532661205,70.1086464105031,55.35511364949102,79.48717948717949,11.421911421911423,17.1875,50.0,7.647058823529412,73.5,63.93422660084886,standard,29,170122345,False,3,SVAG,-8,42.7,False,29.48825503355705,70.38590604026845,14.76510067114094,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,8.9,0.625,,2026-09-11,0,0.017189670354127884,79.4,True
6857.T,Advantest Corporation,Technology,Semiconductor Equipment & Materials,Japan,JPY,162522016578.624,,,1.4982,16.873148674999996,19.394758,19.193,14.391000000000005,0.316134995,0.19453874824999995,0.24987002449999998,0.3174175,,0.2235,0.635,0.938,0.0,0.0,1.77,0.0,413124001792.0,108165996544.0,23651093053440.0,1171816000000.0,,1128610000000.0,,,499120000000.0,,375353000000.0,335182000000.0,0.001813236627379873,0.1145,60.0,0.78,30.0,1774828800.0,1.182,38730.0,10688.956675938198,33090.0,41361.906,1.52381,21.0,,,0.00279,0.66448,False,False,,0.5,8979769.0,8236190.0,0.9274774945471917,-1.87,23.63,28.8,,-0.1456235476374903,0.7513743515228243,30.277544154751894,0.036754822680147514,0.2609167931181544,False,0.23832397167247862,,1.0,['market_cap: JPY -> USD (x0.0068) 23900296555680.0 -> 162522016579'],0.56895,0.2925,64.10306,139.19153,0.393,0.953,10.374,2.666,Japan,True,45.442708333333336,92.29393286588312,74.63819117643774,88.4352393508919,36.89982164784405,27.692307692307693,33.7995337995338,47.65625,50.0,,50.0,71.47473503641103,standard,9,1770182554,False,4,NEUTRAL,0,50.0,False,97.5251677852349,17.869127516778523,2.5587248322147653,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,9.6,0.75,,2026-09-11,0,0.23103122413158417,98.3,True
2330.TW,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,Taiwan,TWD,62497011861470.0,,,0.7127,4.662570999999998,14.074343,13.532,1.863500000000001,0.261805025,0.13376500959999998,0.33847001449999997,0.40719004999999997,,0.19049999999999997,0.456,0.774,9.206000000000001,0.7137500000000001,2.132,677434107904.0,3518010228736.0,1068558516224.0,60089511706624.0,7932842500000.0,,3809054300000.0,,,1936095600000.0,,1697604000000.0,2274975600000.0,0.011618257261410789,0.2573,28.0,1.67,7.0,1789516800.0,1.247,2535.0,1144.7412109375,2410.0,3229.3333,1.30303,33.0,,,0.00023,0.4328,False,False,,0.5,28275477.0,16106225.0,0.7910581646569267,1.9,5.29,28.27,,-0.04930966469428011,0.32789452629755045,51.515151515151516,0.007440849427305496,0.20061916242153788,True,0.6240780754692477,,0.95,"['market_cap: valuta TWD saknas i FX-tabell, lämnas oförändrad']",0.39969003,0.19002001,28.17066,16.956417,0.36,0.774,16.504,2.458,Asia,True,71.78385416666666,92.4960208286307,68.48009552816325,83.20712825314985,49.05975360388821,3.3333333333333335,52.21445221445221,64.453125,50.0,,50.0,70.72195029594806,standard,13,1226452724,False,5,NEUTRAL,0,41.1,False,68.8758389261745,2.5587248322147653,6.543624161073826,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,2.1,0.75,,2026-09-11,0,0.1358885020017624,97.0,True
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,United States,USD,236380537485.7106,,,2.1326,8.1842753,6.205028,7.342,-0.8234999999999992,0.7426500150000002,0.0186149996,0.10917001699999998,0.16661502000000003,,0.007500000000000007,0.48750000000000004,0.659,,0.0,0.95,7158771328.0,13989000192.0,57303998464.0,279695523840.0,90586000000.0,,36751000000.0,,,9080000000.0,,7711000000.0,9958000000.0,0.023054227172697884,0.6087,10.08,3.07,2.52,1787270400.0,0.426,447.0299987792969,262.4884685425957,437.2300109863281,389.68967,2.47059,29.0,4.58,0.0223,0.00225,0.85135,False,False,,0.453,2673777.0,2129420.0,0.7370124355203519,8.63,25.8,19.91,,-0.021922438806633915,0.2764140073880223,62.8159238701891,0.10602887764472935,0.2343595629297237,False,0.6439765300649659,,0.98,['debt_to_equity: 490.281 > 200 -> None'],0.91473,0.08667,27.17402,17.913734,0.095,0.649,,1.371,US,True,,79.98123430096513,81.07423645590366,73.59449447591008,56.58016574943048,21.28205128205128,70.62937062937063,81.25,50.0,64.70588235294117,45.300000000000004,70.30942523490354,standard,14,931046330,False,5,NEUTRAL,0,47.2,False,79.11073825503355,12.835570469798657,19.88255033557047,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,3.3,0.625,,2026-09-11,0,-0.02608414739370346,20.6,True
6098.T,"Recruit Holdings Co., Ltd.",Communication Services,Internet Content & Information,Japan,JPY,153159237081.074,,,1.5224,8.60323755,5.82925,5.678,7.416000000000004,0.10590500500000002,0.09096374824999999,0.031020019999999995,0.002407499999999986,,0.14150000000000001,0.6859999999999999,0.675,0.0,0.0,1.845,143792996352.0,853046001664.0,178827001856.0,21940706213888.0,2789018000000.0,,3697351000000.0,,,630567000000.0,,496912000000.0,610363000000.0,0.0016014782876501387,0.0719,26.0,0.36,13.0,1790640000.0,0.946,18215.0,6028.418262645158,16235.0,17193.75,1.4375,16.0,,,0.03763,0.53541,False,False,,0.5,4293911.0,4458910.0,1.3650250737069003,27.63,53.23,139.77,,-0.10870161954433155,0.5299296587291035,48.81439084219133,0.16463414634146334,0.686816871633843,False,0.4437507401169714,,1.0,['market_cap: JPY -> USD (x0.0068) 22523417217805.0 -> 153159237081'],0.36222,0.17828,46.72884,53.646366,0.189,0.737,10.003,2.089,Japan,True,59.479166666666664,68.53660360199835,86.247505798967,84.66955184047637,43.75248914164058,28.205128205128204,33.1002331002331,59.375,50.0,,50.0,70.07236049567005,standard,15,470192754,False,6,NEUTRAL,0,52.8,False,97.5251677852349,18.37248322147651,21.2248322147651,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,3,0.42857142857142855,LÅG,OK,8.1,0.75,,2026-09-11,0,0.035055678337812424,87.6,True
000660.KS,SK hynix Inc.,Technology,Semiconductors,South Korea,KRW,853465633998.21,,,0.1728,,6.1802998,6.005,-16.0765,3.402664995,0.5121950296000002,0.6954300145000001,0.56703003,,2.3985,12.406,12.408,64.779,15.497750000000002,11.472,55714707417088.0,38724377247744.0,3194454016000.0,1135924092076032.0,176107659000000.0,,97146675000000.0,,,47206319000000.0,,42919287000000.0,53373126000000.0,0.0009107468123861566,0.013200001,1500.0,1.03,375.0,1787875200.0,2.389,2986352.5777339735,263722.62653013185,1647000.0,3189709.0,1.34211,38.0,,,0.20212,0.39359,False,False,,0.5,5396027.0,3248151.0,0.7302088573921358,-1.24,-20.42,94.07,,-0.4484911084243999,0.9183278155154324,50.14886876949101,-0.10632081099373314,0.26153938662904697,True,0.5870464913003707,,1.0,['market_cap: KRW -> USD (x0.00073) 1169131005477000.0 -> 853465633998'],3.54055,0.56845003,,3.502961,2.568,12.724,72.077,17.242,Asia,True,,99.05428343524902,51.12628043201343,97.94565874118217,31.335192293100192,12.564102564102564,31.7016317016317,89.84375,50.0,,50.0,77.99401099654798,standard,2,3905284429,False,8,STARK,8,51.0,False,97.5251677852349,7.466442953020135,20.050335570469798,50.041946308724825,50.041946308724825,50.041946308724825,VARNING,False,2,0.2857142857142857,LÅG,OK,0.1,0.625,,2026-09-11,0,0.015822065994143486,78.1,True
MA,Mastercard Incorporated,Financial Services,Credit Services,United States,USD,503602329153.5861,,,1.5293,79.7575529,14.462666,14.834,11.985,2.2180200100000005,0.21213000000000004,0.19116998500000001,0.22802999999999995,,0.03699999999999999,0.04150000000000001,0.186,,,0.666,15474396800.0,11608999936.0,24643000320.0,520422719488.0,54157000000.0,,32791000000.0,,,19514000000.0,,14968000000.0,17648000000.0,0.006008183332442902,0.17930001,3.48,0.55,0.87,1783555200.0,0.735,601.22998046875,463.74259988972767,579.2100219726562,670.91895,1.375,37.0,2.4,0.0083,0.00112,0.91222,False,False,,0.495,3331750.0,2787440.0,0.646288241422774,0.57,18.14,11.26,,-0.036624851074335774,0.22545216563569592,60.508365932050886,0.03880410709053517,0.09475735716597433,False,0.49119737605647623,,0.907,"['debt_to_equity: 439.583 > 200 -> None'
 'gross_margin: None för sektor Financial Services'
 'current_ratio: None för sektor Financial Services']",2.41202,0.24063,32.250004,25.154816,0.141,0.221,,,US,True,73.84114583333333,93.6383040907751,70.33336087951227,59.05269074396115,69.82816377171216,14.871794871794872,41.49184149184149,85.546875,50.0,87.6470588235294,49.5,77.25309566994845,standard,4,1614513184,False,7,STARK,8,51.1,False,78.7751677852349,9.060402684563758,50.041946308724825,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,-2.1,0.625,,2026-09-11,0,-0.026389876380562782,19.4,True
