ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,total_assets,total_assets_prev,revenue_ttm,revenue_prev,revenue_2y_ago,operating_income_ttm,operating_income_prev,net_income_ttm,operating_cashflow_ttm,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,insider_recent_date,earnings_surprise,data_warnings,roe_raw,roa_raw,pe_trailing_raw,pe_forward_raw,revenue_growth_raw,earnings_growth_raw,debt_to_equity_raw,current_ratio_raw,exchange_group,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,piotroski_f,piotroski_label,piotroski_boost,mews_score,mews_flag,mews_fcf_yield,mews_small_size,mews_low_ps,mews_operating_leverage,mews_revenue_accel,mews_clean_accruals,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_delta_4w,_fundamentals_neutralized,data_quality,data_anomaly,data_fetched_date,data_stale_days,predicted_return,ml_rank
DIVISLAB.NS,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,India,INR,29696377233.12,28.404324000000003,13.390792375000004,,9.36752995,22.036493,21.749,27.204499999999996,,,0.12767002200000002,0.16061497900000002,0.02474246999999996,0.19050000000000003,0.49550000000000005,0.655,0.0,,,,32330000384.0,70000000.0,2442438115328.0,200330000000.0,,104760000000.0,,,29790000000.0,,25680000000.0,27380000000.0,0.0032181935207037118,0.2722,30.0,0.62,30.0,1784851200.0,0.245,9615.0,5613.352076705792,9322.0,8447.0,2.58621,29.0,,,0.51992,0.30374,False,False,,0.5,462992.0,489879.0,1.15651707429084,9.67,39.45,49.0,,-0.030473218928757095,0.24089055752658095,68.47048300536673,0.13732011684425416,0.3654212893922768,False,0.691504517305043,,1.0,['market_cap: INR -> USD (x0.012) 2474698102760.0 -> 29696377233'],,,84.41547,61.95091,0.278,0.657,0.042,,India,True,,74.0525818671514,93.016576245641,84.03526618174173,84.49394939493949,60.22584692597239,35.15439429928741,,50.0,,50.0,76.23804278863892,standard,7,47798323,False,4,NEUTRAL,0,38.2,False,29.404362416107382,52.76845637583892,2.5587248322147653,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,0.3,True,0.75,,2026-09-14,0,-0.009931426495313644,39.7
NTAP,"NetApp, Inc.",Technology,Software - Infrastructure,United States,USD,39142379076.63071,,,2.0355,18.6710013,5.295952,5.155,-2.678000000000001,0.950242495,0.04357750479999998,0.0751899955,0.11080749875000002,0.05748993999999996,0.12949999999999998,0.309,0.609,128.54749999999999,0.0,0.994,75684864.0,3576000000.0,2534000128.0,38100377600.0,10744000000.0,,6925000000.0,,,1695000000.0,,1276000000.0,2067000000.0,0.010437575334911586,0.2938,2.08,2.23,0.52,1791504000.0,1.432,209.05999755859375,92.93030836511167,199.27999877929688,195.125,2.3,16.0,4.53,0.054899998,0.00417,1.01958,False,False,,0.589,2702375.0,2793480.0,1.0508973654052596,-1.37,24.56,107.27,,-0.046780823177594355,0.4406092933316612,56.36693380402283,0.09850067334654633,0.5130768479315899,False,0.7727390247824103,,0.966,[],1.14818,0.116560005,28.186703,18.041443,0.299,0.635,169.498,1.242,US,True,,78.47230685539537,89.84815147097605,77.83945168270492,16.266964761864585,54.57967377666249,50.3562945368171,50.16129032258064,50.0,33.33333333333333,58.9,73.30836331404953,standard,11,556684691,False,4,NEUTRAL,0,48.9,False,65.18456375838926,43.624161073825505,23.657718120805367,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,3,0.42857142857142855,LÅG,OK,14.1,True,0.75,,2026-09-14,0,0.1157587394118309,96.5
MU,"Micron Technology, Inc.",Technology,Semiconductors,United States,USD,1101451975473.49,,,0.1436,3.477767300000001,12.20121,11.984,-5.0070000000000014,0.4684424949999999,0.2757174998,0.4424000055,0.64783752875,0.07691996999999995,3.2874999999999996,13.359,13.983,0.0,1.6619999999999997,2.927,6543809664.0,26022000640.0,6376000000.0,1081805963264.0,82798000000.0,,37378000000.0,,,9809000000.0,,8539000000.0,17525000000.0,0.0005434448195280456,0.0112,0.53,0.33,0.15,1783296000.0,2.222,1254.8069810301963,152.96449541817447,975.260009765625,1513.1111,1.34694,45.0,0.95,0.026400002,0.00238,0.7988,False,False,,0.458,41244370.0,25957350.0,0.831659385633082,7.02,-2.05,140.74,,-0.2227808543390979,0.8151312280771738,51.32284673692853,0.05023977604559904,0.5681122975735138,True,0.5972383482340254,,1.0,[],0.66638,0.3487,22.024843,6.24902,3.457,13.685,6.33,3.425,US,True,,91.14407496744987,66.33840024484124,97.99042212169294,43.1666237046706,11.041405269761606,30.641330166270787,55.96774193548387,50.0,64.40677966101694,45.800000000000004,73.20769553881901,standard,12,25315165414,False,6,NEUTRAL,0,40.9,False,64.51342281879194,6.795302013422819,8.221476510067115,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,3,0.42857142857142855,LÅG,OK,-0.8,True,0.75,,2026-09-14,0,0.15072017908096313,98.1
6857.T,Advantest Corporation,Technology,Semiconductor Equipment & Materials,Japan,JPY,155793241640.192,23.905331499999996,95.485577,1.4604,17.880319675,18.591772,18.388,23.097,0.430174989,0.24259499849999994,0.279380022,0.38560500000000003,0.14278999999999997,0.2235,0.627,0.938,0.0,0.6324999999999998,1.77,316077138944.0,413124001792.0,108165996544.0,22659259695104.0,1171816000000.0,,1128610000000.0,,,499120000000.0,,375353000000.0,335182000000.0,0.0018915510718789407,0.1145,60.0,0.78,30.0,1774828800.0,1.182,38730.0,13255.302299555202,31720.0,41838.094,1.52381,21.0,,,0.00279,0.64681,False,False,,0.5,9078201.0,8979790.0,1.2916533048228933,-11.74,16.08,31.93,,-0.18099664342886657,0.7522126788149088,39.43768996960486,-0.007493859415823145,0.19347887368636818,False,0.05865105967206937,,1.0,['market_cap: JPY -> USD (x0.0068) 22910770829440.0 -> 155793241640'],0.56895,0.2925,61.728878,133.42868,0.393,0.953,10.374,2.666,Japan,True,53.64573732718894,92.67236290649537,74.17716923818767,87.06599667936078,46.2628171428443,26.59974905897114,33.2541567695962,67.58064516129032,50.0,,50.0,72.24617095228432,standard,13,1840460993,False,6,NEUTRAL,0,50.0,False,97.5251677852349,18.120805369127517,2.5587248322147653,50.041946308724825,50.041946308724825,50.041946308724825,VARNING,False,3,0.42857142857142855,LÅG,OK,8.9,True,0.875,,2026-09-14,0,0.2528547942638397,99.8
6098.T,"Recruit Holdings Co., Ltd.",Communication Services,Internet Content & Information,Japan,JPY,146386859634.4,16.961173999999993,17.582376000000004,1.4428,9.92163915,5.5714927,5.414,16.563000000000002,0.21986499400000004,0.13907,0.0605300175,0.07059499999999996,0.08327999999999991,0.14150000000000001,0.6859999999999999,0.675,0.0,0.614,1.845,459870135296.0,853046001664.0,178827001856.0,20917461712896.0,2789018000000.0,,3697351000000.0,,,630567000000.0,,496912000000.0,610363000000.0,0.0016774193548387097,0.0719,26.0,0.36,13.0,1790640000.0,0.946,18215.0,6028.418262645158,15500.0,17568.75,1.4375,16.0,,,0.03763,0.53626,False,False,,0.5,4196698.0,4694500.0,1.1857213445986605,-7.68,43.65,135.37,,-0.14905297831457587,0.5329191389817902,41.5907207953604,0.07781100062582569,0.5794250598132733,False,0.19965032836614843,,1.0,['market_cap: JPY -> USD (x0.0068) 21527479358000.0 -> 146386859634'],0.36222,0.17828,44.642857,51.21766,0.189,0.737,10.003,2.089,Japan,True,61.27880184331797,78.51503196981182,85.23492259586527,83.70003062298369,53.482122099396996,27.352572145545796,32.541567695961994,75.80645161290323,50.0,,50.0,71.9581549424435,standard,16,470162839,False,6,NEUTRAL,0,53.0,False,97.5251677852349,18.79194630872483,22.063758389261746,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,10.4,True,0.875,,2026-09-14,0,0.04338903725147247,88.2
NVDA,NVIDIA Corporation,Technology,Semiconductors,United States,USD,5271048467880.249,,,0.5547,15.5652843,17.39792,17.286,5.157,0.9741724950000001,0.46273749979999995,0.5199700055,0.50650746875,0.09797001000000005,0.8895,0.952,1.259,0.0,2.8260000000000005,2.918,40714184832.0,62469001216.0,38860001280.0,5237179940864.0,206803000000.0,,215938000000.0,,,130387000000.0,,120067000000.0,102718000000.0,0.004581062031044217,0.0354,1.0,0.05,0.25,1788998400.0,2.217,236.00055597235212,163.89537828689438,218.2899932861328,327.6544,1.28333,57.0,2.33,0.0128999995,0.04007,0.71410006,False,False,,0.591,132796621.0,146731290.0,0.6953779508103108,-2.48,6.67,19.47,,-0.07504458035384509,0.38102213572372606,52.56797141869234,0.027942868317126335,0.10747966660063524,False,0.4323251574428025,,0.897,[],1.17211,0.53572,27.631645,14.022135,1.059,1.278,16.971,4.589,US,True,60.316820276497694,93.03135948758853,69.24436785555451,88.21233416199577,53.721611018790405,6.900878293601004,37.76722090261283,58.87096774193549,50.0,86.7231638418079,59.099999999999994,79.89573769611118,standard,1,32029972309,False,7,STARK,8,39.8,False,66.19127516778524,2.5587248322147653,2.5587248322147653,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,4,0.5714285714285714,MEDEL,STARK,-1.8,True,0.75,,2026-09-14,0,0.0047095175832509995,66.0
6861.T,Keyence Corporation,Technology,Scientific & Technical Instruments,Japan,JPY,125336990284.79999,,,2.2472,1.0492253750000005,14.688724,13.552,,,,0.29837002199999996,0.408295,0.32210004999999997,0.1585,0.184,0.51,,9.8335,11.111,,1426593939456.0,0.0,17005312737280.0,3670655000000.0,,1169289000000.0,,,595759000000.0,,445185000000.0,430680000000.0,0.007236842105263158,0.2996,550.0,0.52,275.0,1789603200.0,1.003,87920.0,51271.96903921346,76000.0,97866.664,1.46667,15.0,,,0.22763,0.37428,False,False,,0.5,629180.0,567390.0,1.5425619554366683,-12.27,4.65,25.89,,-0.13557779799818015,0.4121233318490353,33.33333333333333,-0.04153435216550172,0.12461683938388646,False,0.14398631768158432,,1.0,['market_cap: JPY -> USD (x0.0068) 18431910336000.0 -> 125336990285'],,,41.322315,40.698513,0.328,0.51,,11.867,Japan,True,,96.70054504491593,68.92184531356784,77.6971604654721,57.494134819906115,30.363864491844417,43.34916864608076,,50.0,,50.0,71.8569473693528,standard,17,278626569,False,5,NEUTRAL,0,33.9,False,29.404362416107382,21.140939597315437,5.956375838926174,50.041946308724825,50.041946308724825,50.041946308724825,VARNING,False,3,0.42857142857142855,LÅG,VÄNTA,4.0,True,0.625,,2026-09-14,0,0.17786726355552673,98.6
MSAB-B.ST,Micro Systemation AB (publ),Technology,Software - Application,Sweden,SEK,153005745.57161286,,,,6.000325925000001,3.3330204,3.192,-3.6495000000000015,0.401365,0.12104999929999999,0.034630001500000014,-0.05543250500000001,0.3451099999999999,0.35250000000000004,,,16.5385,0.0,1.495,-1240888088.0,145300000.0,73300000.0,1630749568.0,318067000.0,,461784000.0,,,67843000.0,,49172000.0,101888000.0,0.01301518481257258,0.3989,1.2,4.0,0.6,1794441600.0,0.416,98.0,53.37512753821798,92.19999694824219,99.0,1.0,2.0,,,0.2339,0.56356996,False,False,,0.5,26000.0,28073.0,0.20317344165554477,1.1,27.0,49.48,,-0.059183704609773624,0.4804154312509694,55.395682860923834,0.04501968848673954,0.29050975124655665,False,0.49310779849388203,,0.52,['market_cap: SEK -> USD (x0.095) 1610586795.4906616 -> 153005746'],0.59636,0.19253,24.327177,29.26984,0.522,,51.439,1.612,Nordic,True,,76.3830696562896,76.3167511457778,67.94604767138182,46.162983053845814,99.37264742785446,56.53206650831354,,50.0,,50.0,70.96406675258048,standard,19,264506,False,4,NEUTRAL,0,49.8,False,29.404362416107382,97.5251677852349,35.151006711409394,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,3,0.42857142857142855,LÅG,OK,13.0,True,0.75,EXTREME_EARNINGS_GROWTH;SUSPICIOUS_FWD_PE;,2026-09-14,0,0.02206379733979702,78.7
2330.TW,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,Taiwan,TWD,62497011861470.0,,,0.7209,5.593617325000001,14.074343,13.532,2.7780000000000005,0.25528752625000006,0.13503875867499995,0.37381750425,0.46172755,0.072300015,0.19049999999999997,0.448,0.774,9.206000000000001,0.7990000000000003,2.132,720273493504.0,3518010228736.0,1068558516224.0,60089511706624.0,7932842500000.0,,3809054300000.0,,,1936095600000.0,,1697604000000.0,2274975600000.0,0.011618257261410789,0.2573,28.0,1.67,7.0,1789516800.0,1.247,2535.0,1218.7544919906122,2410.0,3230.8484,1.30303,33.0,,,0.00023,0.43330002,False,False,,0.5,27067086.0,18964548.0,1.0628612538810118,-1.03,1.47,29.99,,-0.04930966469428011,0.3279048011381661,55.73770491803279,0.006935739951533293,0.18571288155708365,True,0.49228096233987684,,0.95,"['market_cap: valuta TWD saknas i FX-tabell, lämnas oförändrad']",0.39969003,0.19002001,28.17066,16.957918,0.36,0.774,16.504,2.458,Asia,True,68.21543778801843,89.44231378714203,73.25654583373417,82.28571968547581,48.758098110034126,2.258469259723965,52.612826603325416,64.03225806451613,50.0,,50.0,70.8565632682954,standard,21,1438834028,False,5,NEUTRAL,0,41.0,False,68.6241610738255,2.5587248322147653,6.124161073825504,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,1.6,True,0.75,,2026-09-14,0,0.20989006757736206,99.3
6701.T,NEC Corporation,Technology,Information Technology Services,Japan,JPY,45140792274.577995,,,0.34,,1.8005489,1.831,,,,,,,0.145,1.586,1.574,,,0.985,,434699010048.0,591366979584.0,6752000540672.0,4466784000000.0,,3582733000000.0,,,359913000000.0,,270228000000.0,438463000000.0,0.007992007992007992,0.1872,40.0,1.32,20.0,1790640000.0,0.344,6159.847439939296,3586.1172275143363,5005.0,6190.909,1.5,11.0,,,0.049629997,0.5498,False,False,,0.5,7190149.0,6398120.0,0.9954778864912136,5.59,12.88,22.3,,-0.18747987692868529,0.5016532985199975,52.92993630573248,0.11782625786163536,0.07227581172444109,True,0.8537157383233964,,1.0,['market_cap: JPY -> USD (x0.0068) 6638351805085.0 -> 45140792275'],,,,,,,,,,,,,69.98459629860837,88.36903118333589,52.10969013568023,51.06649937264742,45.13064133016627,,50.0,,50.0,62.8486118503193,standard,70,206911067,False,2,SVAG,-8,,,,,,,,,UPPTREND,False,2,0.2857142857142857,LÅG,VÄNTA,0.0,True,0.25,MISSING_CRITICAL;,2026-09-14,0,0.030543895438313484,84.7
