ticker,name,current_price,day_change_pct,week_change_pct,avg_volume,market_cap,ev_to_ebitda,price_to_book,debt_to_equity,current_ratio,total_cash,total_debt,free_cash_flow,operating_cashflow,book_value,gross_margin,operating_margin,revenue_growth,earnings_growth,return_12m,return_6m,shares_change_pct,piotroski_score,insider_pct,insider_net_buy_6m,insider_buy_count,insider_sell_count,insider_signal,sc_insider,sc_fcf,sc_piotroski,sc_growth,sc_balance,sc_valuation,sc_momentum,sc_liquidity,sc_composite,sc_bonus,sc_penalty,sc_total,sc_rank,sc_stars,sector,predicted_return,ml_rank
TAGM-B.ST,TagMaster AB (publ),35.8,0.0170454545454543,0.0688622494606314,21005,524381408.0,7.955,2.048758,34.013,1.59,69373000.0,94000000.0,57499124.0,80135000.0,17.474,0.69871,0.06098,0.106,,1.926229616481431,1.2312500476837158,,7,0.69316,0,0,0,,79.64285714285714,89.28571428571429,85.0,66.42857142857143,40.35714285714286,42.85714285714285,98.21428571428572,21.428571428571427,69.90357142857141,6.0,0.0,75.90357142857141,1,★★★★,Industri & Verkstad,0.05085247,75.0
CANTA.ST,Cantargia AB (publ),3.37,-0.0117302052785923,-0.0143678023109885,1672401,837821248.0,3.59,3.152479,,9.797,281820000.0,0.0,195990368.0,150134000.0,1.069,1.0,-3.9172502,,,1.24183015091273,0.0473282341606713,,5,0.16965,0,0,0,,31.42857142857143,98.21428571428572,55.0,55.71428571428572,54.01785714285714,60.71428571428571,92.85714285714286,92.85714285714286,63.63214285714286,8.0,0.0,71.63214285714287,2,★★★★,MedTech & Life Science,-0.019132582,7.1
ALCA.ST,Alcadon Group AB (publ),34.3,0.0,-0.0338028383926606,36246,840728192.0,11.499,1.0656806,45.925,1.656,83000000.0,362300000.0,162475008.0,143900000.0,32.186,0.27234,0.05268,-0.104,0.309,0.5879628995972581,0.5176990556683321,,7,0.38303003,0,0,0,,55.0,98.21428571428572,85.0,54.285714285714285,40.0,28.57142857142857,82.14285714285714,53.57142857142857,63.721428571428575,3.0,0.0,66.72142857142858,3,★★★★,Mjukvara & SaaS,0.024662787,64.3
FERRO.ST,Ferroamp AB (publ),3.11,0.0668953687821611,-0.0451713330851601,265332,335555616.0,-24.515,1.6080661,7.731,2.445,16308000.0,16136000.0,-34005000.0,-51484000.0,1.934,0.33011,-0.07116,0.458,,0.5717948627033023,0.7564470193954538,,3,0.73773,0,0,0,,79.64285714285714,32.142857142857146,15.0,80.35714285714286,65.35714285714286,78.57142857142857,85.71428571428571,28.57142857142857,58.58928571428572,8.0,0.0,66.58928571428572,4,★★★★,Övrigt,0.03109551,67.9
ENRO.ST,Eniro Group AB (publ),0.63,-0.0186915887850467,0.0095389225432438,2123451,458644480.0,5.284,1.5403422,10.703,0.941,175000000.0,35000000.0,18687500.0,80000000.0,0.409,0.29874,-0.00415,0.017,,0.4497716890316769,0.4767441393040923,,3,0.69263,0,0,0,,76.42857142857143,75.0,15.0,62.142857142857146,42.142857142857146,57.14285714285714,78.57142857142857,57.14285714285714,57.92857142857142,8.0,0.0,65.92857142857142,5,★★★★,Övrigt,0.050153386,71.4
UPSALE.ST,Upsales Technology AB (publ),30.0,0.0169491525423728,0.0067796868793035,88202,505151296.0,14.328,27.54821,12.399,0.792,42822000.0,2638000.0,18551500.0,39736000.0,1.089,0.60078,0.08765,0.155,-0.053,-0.0643035003303196,-0.0325732890927867,,5,0.54107,0,0,0,,74.28571428571429,71.42857142857143,55.0,57.14285714285714,37.767857142857146,17.857142857142858,39.285714285714285,78.57142857142857,54.61785714285715,11.0,0.0,65.61785714285715,6,★★★★,Mjukvara & SaaS,-0.013131519,14.3
CTM.ST,Catena Media plc,2.39,-0.0041666666666665,-0.0220000267028808,222980,180803840.0,13.341,1.3052977,,4.468,13654000.0,0.0,12440625.0,8880000.0,1.831,0.38551998,0.14037,0.258,,0.1811594261322204,0.1267280402213226,,7,0.26545,0,0,0,,42.142857142857146,78.57142857142857,85.0,77.14285714285714,45.17857142857143,21.428571428571427,64.28571428571429,5.357142857142857,56.98214285714285,8.0,0.0,64.98214285714286,7,★★★,Mjukvara & SaaS,0.06603101,82.1
SAFETY-B.ST,mySafety Group AB,19.84,0.0091556459816886,-0.0100501939409379,38785,446008928.0,7.338,3.3017142,62.189,1.011,60176000.0,84307000.0,42990500.0,43201000.0,6.009,0.45202,-0.09052,0.056,,0.9103962086812314,0.2820568073558482,,4,0.42949,0,0,0,,65.71428571428572,85.71428571428571,40.0,64.28571428571428,29.642857142857142,46.42857142857143,89.28571428571429,25.0,58.31428571428571,6.0,0.0,64.31428571428572,8,★★★,Mjukvara & SaaS,-0.015202325,10.7
SINT.ST,SinterCast AB (publ),104.0,0.0048309178743961,0.0049019607843137,5448,732400128.0,26.218,9.624283,,4.276,10500000.0,0.0,16712500.0,28600000.0,10.806,0.70444,0.252,-0.077,-0.329,0.0528587623787437,-0.0096618357487923,,7,0.48555002,0,0,0,,72.14285714285714,67.85714285714286,85.0,20.35714285714285,43.57142857142857,10.714285714285714,53.57142857142857,5.357142857142857,50.84285714285714,11.0,0.0,61.84285714285714,9,★★★,Industri & Verkstad,-0.011759171,17.9
ACTI.ST,Active Biotech AB (publ),0.0654,0.0480769230769231,0.1708185423734858,30032470,172398784.0,-2.355,3.1142857,3.12,4.67,65099000.0,1735000.0,-7028000.0,-32399000.0,0.021,0.0,0.0,,,-0.1096075187348328,-0.1826086417295268,,4,0.39591998,0,0,0,,57.14285714285714,32.142857142857146,40.0,55.71428571428572,84.10714285714286,64.28571428571429,35.714285714285715,64.28571428571429,52.90714285714286,8.0,0.0,60.90714285714286,10,★★★,MedTech & Life Science,-0.13873588,3.6
