ticker,name,current_price,day_change_pct,week_change_pct,avg_volume,market_cap,ev_to_ebitda,price_to_book,debt_to_equity,current_ratio,total_cash,total_debt,free_cash_flow,operating_cashflow,book_value,gross_margin,operating_margin,revenue_growth,earnings_growth,return_12m,return_6m,shares_change_pct,piotroski_score,insider_pct,insider_net_buy_6m,insider_buy_count,insider_sell_count,insider_signal,sc_insider,sc_fcf,sc_piotroski,sc_growth,sc_balance,sc_valuation,sc_momentum,sc_liquidity,sc_composite,sc_bonus,sc_penalty,sc_total,sc_rank,sc_stars,sector_signal,sector_adjustment,sector
TAGM-B.ST,TagMaster AB (publ),35.9,0.005602240896358424,-0.002777735392252567,21910,525846208.0,8.062,1.9026924,34.013,1.59,69373000.0,94000000.0,57499124.0,80135000.0,18.868,0.69871,0.06098,0.106,,2.5900001525878906,1.316129130701865,,7,0.69316,0,0,0,N/A,60.36363636363635,90.9090909090909,85.0,66.18181818181819,43.72727272727272,49.09090909090909,98.18181818181819,61.81818181818181,69.83000000000001,6.0,0.0,75.83000000000001,1,★★★★,NEUTRAL,0,Industri & Verkstad
MAGI.ST,MAG Interactive AB (publ),7.54,-0.013089005235602049,0.013440847293478164,49773,199769680.0,-26.115,0.67183465,10.892,3.325,84308000.0,32388000.0,7102500.0,54683000.0,11.223,0.56942004,0.01926,-0.006,,-0.06218905502143335,-0.15090091613948775,,6,0.57289004,0,0,0,N/A,58.18181818181818,67.27272727272727,70.0,42.18181818181819,69.90909090909092,89.0909090909091,49.09090909090909,29.09090909090909,62.17272727272727,11.0,0.0,83.17272727272727,2,★★★★,STARK UPPTREND,10,Övrigt
CTM.ST,Catena Media plc,2.47,-0.011999999999999922,0.00406503671064562,209800,186855840.0,8.54,2.4287121,,4.468,13654000.0,0.0,18860624.0,8880000.0,1.017,0.38551998,0.99894994,0.258,,0.1990291734073928,0.33513513339358236,,7,0.26545,0,0,0,N/A,38.54545454545454,87.27272727272727,85.0,72.72727272727272,48.13636363636363,45.45454545454545,80.0,45.45454545454545,63.809999999999995,8.0,0.0,81.81,3,★★★★,STARK UPPTREND,10,Mjukvara & SaaS
CANTA.ST,Cantargia AB (publ),3.11,0.057104010876954346,-0.07164179593105591,1624912,773182208.0,2.865,3.3049946,,8.09,258034000.0,0.0,90059248.0,158088992.0,0.941,1.0,-72.61811,,,0.9103193212627338,-0.09855076750394898,,5,0.16965,0,0,0,N/A,34.18181818181818,92.72727272727272,55.0,47.63636363636364,53.04545454545455,69.0909090909091,90.9090909090909,98.18181818181819,63.1790909090909,8.0,0.0,71.1790909090909,4,★★★★,NEUTRAL,0,MedTech & Life Science
MEKKO.HE,Marimekko Oyj,10.4,0.015625000000000014,0.011695895017749036,47177,421006336.0,12.047,5.679956,39.922,3.103,32700000.0,30900000.0,29512500.0,37500000.0,1.831,0.60763,0.12319,0.045,0.229,-0.11841339310787125,-0.11841339310787125,,7,0.25234,0,0,0,N/A,37.81818181818181,78.18181818181819,85.0,77.45454545454544,59.09090909090909,25.454545454545453,41.81818181818181,41.81818181818181,58.13545454545454,11.0,0.0,79.13545454545454,5,★★★★,STARK UPPTREND,10,Övrigt
ALCA.ST,Alcadon Group AB (publ),33.3,0.012158054711246157,0.006042319400583196,39074,816217152.0,11.147,1.0346112,45.925,1.656,83000000.0,362300000.0,162475008.0,143900000.0,32.186,0.27234,0.05268,-0.104,0.309,0.6323529343016556,0.4799999660915799,,7,0.38303003,0,0,0,N/A,44.36363636363636,98.18181818181819,85.0,47.27272727272728,43.363636363636374,30.909090909090907,92.72727272727272,76.36363636363637,63.66636363636364,3.0,0.0,76.66636363636364,6,★★★★,STARK UPPTREND,10,Mjukvara & SaaS
ADTR.ST,Adtraction Group AB,38.9,0.002577319587628903,-0.01269035483847858,10459,646017920.0,9.406,3.070972,,1.192,123546488.0,0.0,80387368.0,68807704.0,12.667,0.08149,0.0125899995,0.032,,0.2811892968310754,0.5477454266320259,,5,0.76807,0,0,0,N/A,64.72727272727273,94.54545454545455,55.0,56.36363636363636,18.681818181818187,38.18181818181819,85.45454545454545,34.54545454545455,58.59727272727273,8.0,0.0,76.59727272727272,7,★★★★,STARK UPPTREND,10,Mjukvara & SaaS
ADMCM.HE,Admicom Oyj,30.35,0.0033057851239669893,0.0016502028273328584,19923,149907248.0,8.569,4.6829195,0.5,1.628,7191000.0,160000.0,9761478.0,9988776.0,6.481,0.49543998,0.1444,0.038,0.357,-0.400132752250387,-0.2871345320047416,,7,0.052410003,0,0,0,N/A,29.818181818181817,76.36363636363637,85.0,76.9090909090909,69.54545454545456,43.63636363636363,18.181818181818183,54.54545454545454,58.27909090909091,8.0,0.0,76.27909090909091,8,★★★★,STARK UPPTREND,10,Övrigt
OGUN-B.ST,Ogunsen AB (publ),28.4,0.014285714285714235,-0.017301038290651327,11221,305535712.0,13.501,4.763502,10.731,1.755,36296000.0,6883000.0,24965000.0,28975000.0,5.962,0.14394,0.05274,0.007,0.756,0.07232365037351474,0.049668898215501134,,7,0.22045,0,0,0,N/A,36.36363636363636,81.81818181818183,85.0,71.63636363636363,57.0,20.0,63.63636363636363,18.181818181818183,57.57545454545455,8.0,0.0,65.57545454545455,9,★★★★,NEUTRAL,0,Tjänster & Konsult
NTEK-B.ST,Novotek AB,57.9,-0.005154639175257805,0.00346621768275468,6178,613740032.0,8.975,2.6781998,0.452,1.252,139900000.0,1100000.0,28613500.0,55085000.0,21.619,0.62076,0.0665,0.014,-0.459,-0.20135500063089118,-0.19694864422693437,,6,0.50657004,0,0,0,N/A,53.81818181818181,72.72727272727273,70.0,36.36363636363636,63.81818181818183,40.0,36.36363636363637,23.636363636363637,53.463636363636354,11.0,0.0,64.46363636363635,10,★★★,NEUTRAL,0,Industri & Verkstad
IVSO.ST,INVISIO AB,272.0,0.01644245142002981,0.07850913279678307,103751,,34.178,10.70192,6.003,3.793,431400000.0,73500000.0,50237500.0,200700000.0,25.416,0.57370996,0.09175,0.286,0.17,-0.2656885014770849,0.0401394897830456,,7,0.02665,0,0,0,N/A,28.363636363636363,50.90909090909091,85.0,89.81818181818181,78.36363636363637,7.2727272727272725,40.0,98.18181818181819,56.46272727272728,8.0,0.0,64.46272727272728,11,★★★,NEUTRAL,0,Försvar & Rymd
SAFETY-B.ST,mySafety Group AB,21.55,0.048661800486618,0.031100460784409423,42530,484450176.0,7.653,3.5862873,62.189,1.011,60176000.0,84307000.0,42990500.0,43201000.0,6.009,0.45202,-0.09052,0.056,,0.910673232756299,0.37632021281643313,,4,0.43038,0,0,0,N/A,48.72727272727273,85.45454545454545,40.0,62.909090909090914,28.727272727272727,52.72727272727272,94.54545454545455,63.63636363636363,58.087272727272726,6.0,0.0,74.08727272727273,12,★★★,STARK UPPTREND,10,Mjukvara & SaaS
